GHG emissions per sector per period (metric ton)
t_periods,emissions_comm,main_sector,Emisions
2024,N2O,Transportation,247.43109165279245
2024,N2O,Waste,137.51927386036323
2025,CH4,Building,962.5959795748067
2025,CH4,Energy,8.949861587070844
2025,CH4,Transportation,730.7504171236681
2025,CH4,Waste,16316.260559073135
2025,CO2,Building,5836434.891028404
2025,CO2,Energy,421956.063052457
2025,CO2,Transportation,5176342.563687864
2025,CO2,Waste,130647.25895161454
2025,CO2e,Building,5897895.618308164
2025,CO2e,Energy,1964283.6455518159
2025,CO2e,Transportation,5288846.72192647
2025,CO2e,Waste,448775.2492031741
2025,N2O,Building,138.41010640499383
2025,N2O,Energy,8.466085285067011
2025,N2O,Transportation,241.87641868269486
2025,N2O,Waste,107.3688982635551
2030,CH4,Building,864.2490132980869
2030,CH4,Energy,7.086081649427574
2030,CH4,Transportation,1193.9845648608314
