"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2018,CO2e,Commercial,Water Heating,307090.88469969254
2018,CO2e,Industry,Industrial Processes,633463.5742960194
2018,CO2e,Industry,Space Cooling,1473.2872544627862
2018,CO2e,Industry,Space Heating,40675.66636545293
2018,CO2e,Industry,Water Heating,153594.33404370488
2018,CO2e,Public,Auxiliary Equipment,18737.40413012962
2018,CO2e,Public,Space Cooling,10831.2784788042
2018,CO2e,Public,Space Heating,378668.04196529434
2018,CO2e,Public,Water Heating,48058.01082545375
2018,CO2e,Residential,Clothe Dryer,4506.080583455612
2018,CO2e,Residential,Range,4585.6108137916835
2018,CO2e,Residential,Space Heating,2862291.848757274
2018,CO2e,Residential,Water Heating,967287.2509020171
2018,N2O,Commercial,Auxiliary Equipment,10.697579993595586
2018,N2O,Commercial,Space Cooling,0.12797484195238723
2018,N2O,Commercial,Space Heating,37.1331932687601
2018,N2O,Commercial,Water Heating,6.068164792815923
2018,N2O,Industry,Industrial Processes,11.449817653758007
2018,N2O,Industry,Space Cooling,0.02715083395659216
2018,N2O,Industry,Space Heating,0.8089447490362832
2018,N2O,Industry,Water Heating,3.1186119030130746
2018,N2O,Public,Auxiliary Equipment,0.3475209723885508
2018,N2O,Public,Space Cooling,0.26107467495904724
2018,N2O,Public,Space Heating,6.8675780220774305
2018,N2O,Public,Water Heating,0.9292726924956738
2018,N2O,Residential,Clothe Dryer,0.08304140645066413
2018,N2O,Residential,Range,0.08450704872228725
2018,N2O,Residential,Space Heating,54.201245824501164
2018,N2O,Residential,Water Heating,26.409351587069622
2019,CH4,Commercial,Auxiliary Equipment,4.427894094286886
2019,CH4,Commercial,Space Cooling,0.14570160494738824
2019,CH4,Commercial,Space Heating,35.72187850560672
2019,CH4,Commercial,Water Heating,6.050909250051328
2019,CH4,Industry,Industrial Processes,12.640745580168804
2019,CH4,Industry,Space Cooling,0.028735536902204806
2019,CH4,Industry,Space Heating,0.7672934195480399
2019,CH4,Industry,Water Heating,2.933433847361676
2019,CH4,Public,Auxiliary Equipment,0.3696761586865238
2019,CH4,Public,Space Cooling,0.29136098244856246
2019,CH4,Public,Space Heating,7.244452472280969
2019,CH4,Public,Water Heating,0.9800751230424743
2019,CH4,Residential,Clothe Dryer,0.08778768966219438
2019,CH4,Residential,Range,0.0893373461968463
2019,CH4,Residential,Space Heating,212.1025132648681
2019,CH4,Residential,Water Heating,817.6492591326045
2019,CO2,Commercial,Auxiliary Equipment,246840.91666965248
2019,CO2,Commercial,Space Cooling,6551.718646576502
2019,CO2,Commercial,Space Heating,1825800.0746711884
2019,CO2,Commercial,Water Heating,308617.339670661
2019,CO2,Industry,Industrial Processes,630515.4409380414
2019,CO2,Industry,Space Cooling,1466.289018144937
2019,CO2,Industry,Space Heating,40465.29606577901
2019,CO2,Industry,Water Heating,152780.1154968779
2019,CO2,Public,Auxiliary Equipment,18683.870219103992
2019,CO2,Public,Space Cooling,11139.3391990376
2019,CO2,Public,Space Heating,378248.02736360417
2019,CO2,Public,Water Heating,48094.25240966948
2019,CO2,Residential,Clothe Dryer,4479.544813033054
2019,CO2,Residential,Range,4558.619178909348
