regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2028,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2028,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2028,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2028,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2028,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2028,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2028,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2028,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2029,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2029,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2029,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2029,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2029,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2029,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2029,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2029,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2029,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2029,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2029,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2029,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2029,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2029,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2030,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2030,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2030,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2030,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2030,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2030,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2030,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2030,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2030,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2030,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2030,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2030,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2030,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2030,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2031,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2031,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2031,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2031,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2031,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2031,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2031,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2031,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2031,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2031,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2031,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
