regions,periods,tech,vintage,cost_fixed,cost_fixed_units,cost_fixed_notes
TO,2028,RESBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2028,RESBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2028,RESBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AveragePipe
TO,2028,RESBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,2028,RESBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,2029,COMBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,2029,COMBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2029,COMBDGDCOPRDDLAENWELC_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2029,COMBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2029,COMBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2029,COMBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AveragePipe
TO,2029,COMBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2029,COMBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2029,PUBBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AveragePipe
TO,2029,PUBBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,2029,PUBBDGDCOPRDHEPMEDELC_EX,2015,0.70945,k$/TJ,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2029,PUBBDGDCOPRDHEPMEDHWP_EX,2015,0.08276916666666666,k$/TJ,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2029,PUBBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict HeatingToronto AveragePipe
TO,2029,PUBBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,2029,PUBBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,2029,RESBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingToronto AveragePipe
TO,2029,RESBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,2029,RESBDGDCOPRDDLAENWELC_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2029,RESBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2029,RESBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2029,RESBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AveragePipe
TO,2029,RESBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,2029,RESBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,2030,COMBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,2030,COMBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2030,COMBDGDCOPRDDLAENWELC_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2030,COMBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2030,COMBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2030,COMBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AveragePipe
TO,2030,COMBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AverageSubstation
