"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,NewOld,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2017,Residential,Old,Space Cooling,Room,___,Electricity,Standard,TJ,602.482998131289
2017,Residential,Old,Space Cooling,___,___,District Cooling,___,TJ,49.8728529927252
2017,Residential,Old,Space Heating,Furnace,___,Biomass,Standard,TJ,158.03156229730453
2017,Residential,Old,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.3520025943628428
2017,Residential,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.2971464468872721
2017,Residential,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,486.25207627947117
2017,Residential,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,38598.29162465541
2017,Residential,Old,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12415.763522403464
2017,Residential,Old,Space Heating,Furnace,___,Propane,Standard,TJ,0.33847612794520193
2017,Residential,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3902.0958039614056
2017,Residential,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,2069.9785985531657
2017,Residential,Old,Space Heating,___,___,District Heating,___,TJ,49.22560068937738
2017,Residential,Old,Water Heating,___,___,Biomass,Standard,TJ,10.166960031243434
2017,Residential,Old,Water Heating,___,___,Wood Pellet,Standard,TJ,10.534696430076675
2017,Residential,Old,Water Heating,___,___,District Heating,___,TJ,994.8095669447406
2017,Residential,Old,Water Heating,___,___,Electricity,Standard,TJ,714.2537854732079
2017,Residential,Old,Water Heating,___,___,Kerosene,Standard,TJ,10.264885692938268
2017,Residential,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,96.72931834587251
2017,Residential,Old,Water Heating,___,___,Natural Gas,Standard,TJ,15771.018000230619
2017,Residential,Old,Water Heating,___,___,Propane,Standard,TJ,10.392123073914501
2018,Commercial,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17414.503494629058
2018,Commercial,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1744.5487447921412
2018,Commercial,Old,Auxiliary Equipment,___,___,Propane,Standard,TJ,970.7481765504376
2018,Commercial,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,2180.1263511472966
2018,Commercial,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1322.844360427916
2018,Commercial,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9716.895424159915
2018,Commercial,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2845.316430880642
2018,Commercial,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9138.187774086928
2018,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,42.05949954412987
2018,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,65.59748470742717
2018,Commercial,Old,Space Cooling,___,___,District Cooling,___,TJ,1298.1089418940578
2018,Commercial,Old,Space Cooling,___,___,Electricity,Standard,TJ,9454.812377334254
2018,Commercial,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,440.63542296897396
2018,Commercial,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,2.2014817392294592
2018,Commercial,Old,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,3.5192575640864487
2018,Commercial,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,3.517875512813134
2018,Commercial,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,154.71102653556125
2018,Commercial,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,9.048208924096581
2018,Commercial,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,29034.241476257383
2018,Commercial,Old,Space Heating,Furnace,___,Propane,Standard,TJ,825.3481059366187
2018,Commercial,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,1551.6536790565915
2018,Commercial,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,910.0302588402632
2018,Commercial,Old,Space Heating,___,___,District Heating,___,TJ,3323.886682500395
2018,Commercial,Old,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1472.5265732007388
2018,Commercial,Old,Water Heating,___,___,District Heating,___,TJ,553.640364275947
2018,Commercial,Old,Water Heating,___,___,Electricity,Standard,TJ,169.65527665185715
2018,Commercial,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,21.41943854330669
2018,Commercial,Old,Water Heating,___,___,Kerosene,Standard,TJ,21.415561828376372
2018,Commercial,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,183.8578770440507
2018,Commercial,Old,Water Heating,___,___,Natural Gas,Standard,TJ,4906.722901270618
2018,Commercial,Old,Water Heating,___,___,Propane,Standard,TJ,69.44670234901864
2018,Industry,,Industrial Processes,Self produced,,Mix Energy,,TJ,30598.656635350726
2018,Industry,,Lighting,Self produced,,Mix Energy,,TJ,651.0352475588542
2018,Industry,,Space Cooling,Self produced,,Mix Energy,,TJ,1410.5763697108514
2018,Industry,,Space Heating,Self produced,,Mix Energy,,TJ,1562.4845942055417
2018,Industry,,Water Heating,Self produced,,Mix Energy,,TJ,4088.501354735864
2018,Public,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2036.666626467646
2018,Public,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,251.87818524620656
2018,Public,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,514.1646985058761
2018,Public,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.3927305059491
2018,Public,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,636.9827474355282
2018,Public,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,186.4516508286895
2018,Public,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,598.8301261999213
2018,Public,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.756307203318956
2018,Public,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.998311443896624
2018,Public,Old,Space Cooling,___,___,District Cooling,___,TJ,253.68416655795045
2018,Public,Old,Space Cooling,___,___,Electricity,Standard,TJ,4174.426049052392
2018,Public,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,582.9982915637747
2018,Public,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,282.0373879995136
2018,Public,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,269.8181193744076
