regions,periods,tech,maxact,maxact_unites,max_act_notes
TO,2040,COMBDGEDSNewSHFUR___STDLFO_16,0,,
TO,2040,COMBDGEDSNewSHFUR___STDLFO_23,0,,
TO,2040,COMBDGEDSNewSHFUR___STDNGA_16,0,,
TO,2040,COMBDGEDSNewSHFUR___STDNGA_23,0,,
TO,2040,COMBDGEDSNewSHFUR___STDPRO_16,0,,
TO,2040,COMBDGEDSNewSHFUR___STDPRO_23,0,,
TO,2040,COMBDGEDSNewSHFURLARSTDHH2_23,0,,
TO,2040,COMBDGEDSNewSHFURMEDSTDHH2_23,0,,
TO,2040,COMBDGEDSNewSHFURSMASTDHH2_23,0,,
TO,2040,COMBDGEDSNewSHHEP___STDNGA_23,0,,
TO,2040,COMBDGEDSNewSHPLT___STDELC_16,0,,
TO,2040,COMBDGEDSNewSHPLT1000WSTDELC_23,0,,
TO,2040,COMBDGEDSNewSHPLT1500WSTDELC_23,0,,
TO,2040,COMBDGEDSNewSHPLT500WSTDELC_23,0,,
TO,2040,COMBDGEDSNewWH______STDELC_16,0,,
TO,2040,COMBDGEDSNewWH______STDHFO_16,0,,
TO,2040,COMBDGEDSNewWH______STDKER_16,0,,
TO,2040,COMBDGEDSNewWH______STDLFO_16,0,,
TO,2040,COMBDGEDSNewWH______STDNGA_16,0,,
TO,2040,COMBDGEDSNewWH______STDPRO_16,0,,
TO,2040,COMBDGEDSNewWHSTHBCKSTDELC_23,0,,
TO,2040,COMBDGEDSNewWHSTHBCKSTDNGA_23,0,,
TO,2040,COMBDGEDSNewWHSYS___ESRPRO_23,0,,
TO,2040,COMBDGEDSNewWHSYS___STDBMA_23,0,,
TO,2040,COMBDGEDSNewWHSYS___STDBWP_23,0,,
TO,2040,COMBDGEDSNewWHSYS___STDHFO_23,0,,
TO,2040,COMBDGEDSNewWHSYS___STDKER_23,0,,
TO,2040,COMBDGEDSNewWHSYS___STDLFO_23,0,,
TO,2040,COMBDGEDSNewWHWTK___ESRNGA_23,0,,
TO,2040,COMBDGEDSNewWHWTK___HIGELC_23,0,,
TO,2040,COMBDGEDSNewWHWTK___HIGNGA_23,0,,
TO,2040,COMBDGEDSNewWHWTK___STDELC_23,0,,
TO,2040,COMBDGEDSNewWHWTK___STDNGA_23,0,,
TO,2040,COMBDGEDSOldSHFUR___ESRNGA_23,0,,
TO,2040,COMBDGEDSOldSHFUR___ESRPRO_23,0,,
TO,2040,COMBDGEDSOldSHFUR___HIGHFO_23,0,,
TO,2040,COMBDGEDSOldSHFUR___HIGLFO_23,0,,
TO,2040,COMBDGEDSOldSHFUR___HIGNGA_16,0,,
TO,2040,COMBDGEDSOldSHFUR___HIGNGA_23,0,,
TO,2040,COMBDGEDSOldSHFUR___HIGPRO_23,0,,
TO,2040,COMBDGEDSOldSHFUR___STDELC_16,0,,
TO,2040,COMBDGEDSOldSHFUR___STDELC_23,0,,
TO,2040,COMBDGEDSOldSHFUR___STDHFO_16,0,,
TO,2040,COMBDGEDSOldSHFUR___STDHFO_23,0,,
TO,2040,COMBDGEDSOldSHFUR___STDKER_16,0,,
TO,2040,COMBDGEDSOldSHFUR___STDKER_23,0,,
TO,2040,COMBDGEDSOldSHFUR___STDLFO_16,0,,
TO,2040,COMBDGEDSOldSHFUR___STDLFO_23,0,,
TO,2040,COMBDGEDSOldSHFUR___STDNGA_16,0,,
TO,2040,COMBDGEDSOldSHFUR___STDNGA_23,0,,
TO,2040,COMBDGEDSOldSHFUR___STDPRO_16,0,,
TO,2040,COMBDGEDSOldSHFUR___STDPRO_23,0,,
TO,2040,COMBDGEDSOldSHFURLARSTDHH2_23,0,,
TO,2040,COMBDGEDSOldSHFURMEDSTDHH2_23,0,,
TO,2040,COMBDGEDSOldSHFURSMASTDHH2_23,0,,
TO,2040,COMBDGEDSOldSHHEP___STDNGA_23,0,,
TO,2040,COMBDGEDSOldSHPLT___STDELC_16,0,,
TO,2040,COMBDGEDSOldSHPLT1000WSTDELC_23,0,,
TO,2040,COMBDGEDSOldSHPLT1500WSTDELC_23,0,,
TO,2040,COMBDGEDSOldSHPLT500WSTDELC_23,0,,
TO,2040,COMBDGEDSOldWH______STDELC_16,0,,
TO,2040,COMBDGEDSOldWH______STDHFO_16,0,,
TO,2040,COMBDGEDSOldWH______STDKER_16,0,,
TO,2040,COMBDGEDSOldWH______STDLFO_16,0,,
TO,2040,COMBDGEDSOldWH______STDNGA_16,0,,
TO,2040,COMBDGEDSOldWH______STDPRO_16,0,,
TO,2040,COMBDGEDSOldWHSTHBCKSTDELC_23,0,,
TO,2040,COMBDGEDSOldWHSTHBCKSTDNGA_23,0,,
TO,2040,COMBDGEDSOldWHSYS___ESRPRO_23,0,,
TO,2040,COMBDGEDSOldWHSYS___STDBMA_23,0,,
TO,2040,COMBDGEDSOldWHSYS___STDBWP_23,0,,
TO,2040,COMBDGEDSOldWHSYS___STDHFO_23,0,,
TO,2040,COMBDGEDSOldWHSYS___STDKER_23,0,,
TO,2040,COMBDGEDSOldWHSYS___STDLFO_23,0,,
TO,2040,COMBDGEDSOldWHWTK___ESRNGA_23,0,,
TO,2040,COMBDGEDSOldWHWTK___HIGELC_23,0,,
TO,2040,COMBDGEDSOldWHWTK___HIGNGA_23,0,,
TO,2040,COMBDGEDSOldWHWTK___STDELC_23,0,,
TO,2040,COMBDGEDSOldWHWTK___STDNGA_23,0,,
TO,2040,COMBDGHLCNewSHFUR___ESRNGA_23,0,,
TO,2040,COMBDGHLCNewSHFUR___ESRPRO_23,0,,
TO,2040,COMBDGHLCNewSHFUR___HIGHFO_23,0,,
TO,2040,COMBDGHLCNewSHFUR___HIGLFO_23,0,,
TO,2040,COMBDGHLCNewSHFUR___HIGNGA_16,0,,
TO,2040,COMBDGHLCNewSHFUR___HIGNGA_23,0,,
TO,2040,COMBDGHLCNewSHFUR___HIGPRO_23,0,,
TO,2040,COMBDGHLCNewSHFUR___STDELC_16,0,,
TO,2040,COMBDGHLCNewSHFUR___STDELC_23,0,,
TO,2040,COMBDGHLCNewSHFUR___STDHFO_16,0,,
TO,2040,COMBDGHLCNewSHFUR___STDHFO_23,0,,
TO,2040,COMBDGHLCNewSHFUR___STDKER_16,0,,
TO,2040,COMBDGHLCNewSHFUR___STDKER_23,0,,
