comm_name,flag,comm_desc
ADEMPASTRAEXONHRAIREG,p,Aggregated DemandPassengerTransportationExternal OUTNon Home basedRailRegional
ADEMPASTRAEXONHRAISUB,p,Aggregated DemandPassengerTransportationExternal OUTNon Home basedRailSubway
ADEMPASTRAEXONHRAITRM,p,Aggregated DemandPassengerTransportationExternal OUTNon Home basedRailTramway
ADEMPASTRAEXONHROABUS,p,Aggregated DemandPassengerTransportationExternal OUTNon Home basedRoadInter-city Buses
ADEMPASTRAEXONHROACAR,p,Aggregated DemandPassengerTransportationExternal OUTNon Home basedRoadCars
ADEMPASTRAEXONHROATRU,p,Aggregated DemandPassengerTransportationExternal OUTNon Home basedRoadTruck
ADEMPASTRAEXONHROAMOR,p,Aggregated DemandPassengerTransportationExternal OUTNon Home basedRoadMotorcycles
ADEMPASTRAEXONHROAWAL,p,Aggregated DemandPassengerTransportationExternal OUTNon Home basedRoadWalk
ADEMPASTRAEXONHROABIK,p,Aggregated DemandPassengerTransportationExternal OUTNon Home basedRoadBicycle
ADEMPASTRAINHWRAIREG___GOR,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRailRegionalGO rail
ADEMPASTRAINHWRAIREG___UPX,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRailRegionalUp Express
ADEMPASTRAINHWRAISUB___TSU,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRailSubwaySubway
ADEMPASTRAINHWRAITRM___TST,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRailTramwayStreetcar
ADEMPASTRAINHWROABUSIUBGOB,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadInter-city BusesInter Urban BusGo Bus
ADEMPASTRAINHWROABUSURBTBU,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadInter-city BusesUrban Bus TTC Bus
ADEMPASTRAINHWROABUSURBWTB,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadInter-city BusesUrban Bus TTC Wheel trans para
ADEMPASTRAINHWROABUSIUBMWAY,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadInter-city BusesInter Urban BusMiway Bus
ADEMPASTRAINHWROABUSIUBVIVA,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadInter-city BusesInter Urban BusViva Bus
ADEMPASTRAINHWROABUSIUBDURT,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadInter-city BusesInter Urban BusDurham RT
ADEMPASTRAINHWROABUSSCB___,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadInter-city BusesSchool Bus
ADEMPASTRAINHWROACAR___RSH,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadCarsPaid Ridershare
ADEMPASTRAINHWROACAR___TAX,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadCarsTaxi passenger
ADEMPASTRAINHWROACAR___ADR,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadCarsAuto driver
ADEMPASTRAINHWROACAR___APG,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadCarsAuto passenger
ADEMPASTRAINHWROATRULGTRSH,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadTruckPassenger Light TrucksPaid Ridershare
ADEMPASTRAINHWROATRULGTTAX,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadTruckPassenger Light TrucksTaxi passenger
ADEMPASTRAINHWROATRULGTADR,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadTruckPassenger Light TrucksAuto driver
ADEMPASTRAINHWROATRULGTAPG,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadTruckPassenger Light TrucksAuto passenger
ADEMPASTRAINHWROAMOR______,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadMotorcycles
ADEMPASTRAINHWROAWAL______,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadWalk
ADEMPASTRAINHWROABIK______,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadBicycle
ADEMPASTRAINHSRAIREG___GOR,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRailRegionalGO rail
ADEMPASTRAINHSRAIREG___UPX,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRailRegionalUp Express
ADEMPASTRAINHSRAISUB___TSU,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRailSubwaySubway
ADEMPASTRAINHSRAITRM___TST,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRailTramwayStreetcar
