tech,flag,sector,tech_desc,tech_category
RESBDGSDE2040LI,p,RESBDG,ResidentialBuildingSingle Detached2040Lighting,
RESBDGSDE2045LI,p,RESBDG,ResidentialBuildingSingle Detached2045Lighting,
RESBDGSAT1960LI,p,RESBDG,ResidentialBuildingSingle Attached1960Lighting,
RESBDGSAT1977LI,p,RESBDG,ResidentialBuildingSingle Attached1977Lighting,
RESBDGSAT1983LI,p,RESBDG,ResidentialBuildingSingle Attached1983Lighting,
RESBDGSAT1995LI,p,RESBDG,ResidentialBuildingSingle Attached1995Lighting,
RESBDGSAT2000LI,p,RESBDG,ResidentialBuildingSingle Attached2000Lighting,
RESBDGSAT2005LI,p,RESBDG,ResidentialBuildingSingle Attached2005Lighting,
RESBDGSAT2010LI,p,RESBDG,ResidentialBuildingSingle Attached2010Lighting,
RESBDGSAT2015LI,p,RESBDG,ResidentialBuildingSingle Attached2015Lighting,
RESBDGSAT2020LI,p,RESBDG,ResidentialBuildingSingle Attached2020Lighting,
RESBDGSAT2025LI,p,RESBDG,ResidentialBuildingSingle Attached2025Lighting,
RESBDGSAT2030LI,p,RESBDG,ResidentialBuildingSingle Attached2030Lighting,
RESBDGSAT2035LI,p,RESBDG,ResidentialBuildingSingle Attached2035Lighting,
RESBDGSAT2040LI,p,RESBDG,ResidentialBuildingSingle Attached2040Lighting,
RESBDGSAT2045LI,p,RESBDG,ResidentialBuildingSingle Attached2045Lighting,
RESBDGAPA1960SC,p,RESBDG,ResidentialBuildingApartments1960Space Cooling,
RESBDGAPA1977SC,p,RESBDG,ResidentialBuildingApartments1977Space Cooling,
RESBDGAPA1983SC,p,RESBDG,ResidentialBuildingApartments1983Space Cooling,
RESBDGAPA1995SC,p,RESBDG,ResidentialBuildingApartments1995Space Cooling,
RESBDGAPA2000SC,p,RESBDG,ResidentialBuildingApartments2000Space Cooling,
RESBDGAPA2005SC,p,RESBDG,ResidentialBuildingApartments2005Space Cooling,
RESBDGAPA2010SC,p,RESBDG,ResidentialBuildingApartments2010Space Cooling,
RESBDGAPA2015SC,p,RESBDG,ResidentialBuildingApartments2015Space Cooling,
RESBDGAPA2020SC,p,RESBDG,ResidentialBuildingApartments2020Space Cooling,
RESBDGAPA2025SC,p,RESBDG,ResidentialBuildingApartments2025Space Cooling,
RESBDGAPA2030SC,p,RESBDG,ResidentialBuildingApartments2030Space Cooling,
RESBDGAPA2035SC,p,RESBDG,ResidentialBuildingApartments2035Space Cooling,
RESBDGAPA2040SC,p,RESBDG,ResidentialBuildingApartments2040Space Cooling,
RESBDGAPA2045SC,p,RESBDG,ResidentialBuildingApartments2045Space Cooling,
RESBDGSDE1960SC,p,RESBDG,ResidentialBuildingSingle Detached1960Space Cooling,
RESBDGSDE1977SC,p,RESBDG,ResidentialBuildingSingle Detached1977Space Cooling,
RESBDGSDE1983SC,p,RESBDG,ResidentialBuildingSingle Detached1983Space Cooling,
RESBDGSDE1995SC,p,RESBDG,ResidentialBuildingSingle Detached1995Space Cooling,
RESBDGSDE2000SC,p,RESBDG,ResidentialBuildingSingle Detached2000Space Cooling,
RESBDGSDE2005SC,p,RESBDG,ResidentialBuildingSingle Detached2005Space Cooling,
RESBDGSDE2010SC,p,RESBDG,ResidentialBuildingSingle Detached2010Space Cooling,
RESBDGSDE2015SC,p,RESBDG,ResidentialBuildingSingle Detached2015Space Cooling,
RESBDGSDE2020SC,p,RESBDG,ResidentialBuildingSingle Detached2020Space Cooling,
RESBDGSDE2025SC,p,RESBDG,ResidentialBuildingSingle Detached2025Space Cooling,
RESBDGSDE2030SC,p,RESBDG,ResidentialBuildingSingle Detached2030Space Cooling,
