regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMRESBDGSAT1983SH,12.109,kunits,Aggregated DemandResidentialBuildingSingle Attached1983Space Heating
TO,2016,ADEMRESBDGSAT1995SH,3.769,kunits,Aggregated DemandResidentialBuildingSingle Attached1995Space Heating
TO,2016,ADEMRESBDGSAT2000SH,2.052,kunits,Aggregated DemandResidentialBuildingSingle Attached2000Space Heating
TO,2016,ADEMRESBDGSAT2005SH,8.907,kunits,Aggregated DemandResidentialBuildingSingle Attached2005Space Heating
TO,2016,ADEMRESBDGSAT2010SH,13.81,kunits,Aggregated DemandResidentialBuildingSingle Attached2010Space Heating
TO,2016,ADEMRESBDGSAT2015SH,22.039,kunits,Aggregated DemandResidentialBuildingSingle Attached2015Space Heating
TO,2016,ADEMRESBDGSAT2020SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2020Space Heating
TO,2016,ADEMRESBDGSAT2025SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2025Space Heating
TO,2016,ADEMRESBDGSAT2030SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2030Space Heating
TO,2016,ADEMRESBDGSAT2035SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2035Space Heating
TO,2016,ADEMRESBDGSAT2040SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2040Space Heating
TO,2016,ADEMRESBDGSAT2045SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2045Space Heating
TO,2016,ADEMRESBDGAPA1960SC,44.656,kunits,Aggregated DemandResidentialBuildingApartments1960Space Cooling
TO,2016,ADEMRESBDGAPA1977SC,237.215,kunits,Aggregated DemandResidentialBuildingApartments1977Space Cooling
TO,2016,ADEMRESBDGAPA1983SC,26.506,kunits,Aggregated DemandResidentialBuildingApartments1983Space Cooling
TO,2016,ADEMRESBDGAPA1995SC,51.516,kunits,Aggregated DemandResidentialBuildingApartments1995Space Cooling
TO,2016,ADEMRESBDGAPA2000SC,13.496,kunits,Aggregated DemandResidentialBuildingApartments2000Space Cooling
TO,2016,ADEMRESBDGAPA2005SC,14.438,kunits,Aggregated DemandResidentialBuildingApartments2005Space Cooling
TO,2016,ADEMRESBDGAPA2010SC,33.354,kunits,Aggregated DemandResidentialBuildingApartments2010Space Cooling
TO,2016,ADEMRESBDGAPA2015SC,194.291,kunits,Aggregated DemandResidentialBuildingApartments2015Space Cooling
TO,2016,ADEMRESBDGAPA2020SC,0.0,kunits,Aggregated DemandResidentialBuildingApartments2020Space Cooling
TO,2016,ADEMRESBDGAPA2025SC,0.0,kunits,Aggregated DemandResidentialBuildingApartments2025Space Cooling
TO,2016,ADEMRESBDGAPA2030SC,0.0,kunits,Aggregated DemandResidentialBuildingApartments2030Space Cooling
TO,2016,ADEMRESBDGAPA2035SC,0.0,kunits,Aggregated DemandResidentialBuildingApartments2035Space Cooling
TO,2016,ADEMRESBDGAPA2040SC,0.0,kunits,Aggregated DemandResidentialBuildingApartments2040Space Cooling
TO,2016,ADEMRESBDGAPA2045SC,0.0,kunits,Aggregated DemandResidentialBuildingApartments2045Space Cooling
