comm_name,flag,comm_desc
ADEMRESBDGSAT1977REF,d,Aggregated DemandResidentialBuildingSingle Attached1977Refrigerator
ADEMRESBDGSAT1983REF,d,Aggregated DemandResidentialBuildingSingle Attached1983Refrigerator
ADEMRESBDGSAT1995REF,d,Aggregated DemandResidentialBuildingSingle Attached1995Refrigerator
ADEMRESBDGSAT2000REF,d,Aggregated DemandResidentialBuildingSingle Attached2000Refrigerator
ADEMRESBDGSAT2005REF,d,Aggregated DemandResidentialBuildingSingle Attached2005Refrigerator
ADEMRESBDGSAT2010REF,d,Aggregated DemandResidentialBuildingSingle Attached2010Refrigerator
ADEMRESBDGSAT2015REF,d,Aggregated DemandResidentialBuildingSingle Attached2015Refrigerator
ADEMRESBDGSAT2020REF,d,Aggregated DemandResidentialBuildingSingle Attached2020Refrigerator
ADEMRESBDGSAT2025REF,d,Aggregated DemandResidentialBuildingSingle Attached2025Refrigerator
ADEMRESBDGSAT2030REF,d,Aggregated DemandResidentialBuildingSingle Attached2030Refrigerator
ADEMRESBDGSAT2035REF,d,Aggregated DemandResidentialBuildingSingle Attached2035Refrigerator
ADEMRESBDGSAT2040REF,d,Aggregated DemandResidentialBuildingSingle Attached2040Refrigerator
ADEMRESBDGSAT2045REF,d,Aggregated DemandResidentialBuildingSingle Attached2045Refrigerator
ADEMRESBDGAPA1960FRZ,d,Aggregated DemandResidentialBuildingApartments1960Freezer
ADEMRESBDGAPA1977FRZ,d,Aggregated DemandResidentialBuildingApartments1977Freezer
ADEMRESBDGAPA1983FRZ,d,Aggregated DemandResidentialBuildingApartments1983Freezer
ADEMRESBDGAPA1995FRZ,d,Aggregated DemandResidentialBuildingApartments1995Freezer
ADEMRESBDGAPA2000FRZ,d,Aggregated DemandResidentialBuildingApartments2000Freezer
ADEMRESBDGAPA2005FRZ,d,Aggregated DemandResidentialBuildingApartments2005Freezer
ADEMRESBDGAPA2010FRZ,d,Aggregated DemandResidentialBuildingApartments2010Freezer
ADEMRESBDGAPA2015FRZ,d,Aggregated DemandResidentialBuildingApartments2015Freezer
ADEMRESBDGAPA2020FRZ,d,Aggregated DemandResidentialBuildingApartments2020Freezer
ADEMRESBDGAPA2025FRZ,d,Aggregated DemandResidentialBuildingApartments2025Freezer
ADEMRESBDGAPA2030FRZ,d,Aggregated DemandResidentialBuildingApartments2030Freezer
ADEMRESBDGAPA2035FRZ,d,Aggregated DemandResidentialBuildingApartments2035Freezer
ADEMRESBDGAPA2040FRZ,d,Aggregated DemandResidentialBuildingApartments2040Freezer
ADEMRESBDGAPA2045FRZ,d,Aggregated DemandResidentialBuildingApartments2045Freezer
ADEMRESBDGSDE1960FRZ,d,Aggregated DemandResidentialBuildingSingle Detached1960Freezer
ADEMRESBDGSDE1977FRZ,d,Aggregated DemandResidentialBuildingSingle Detached1977Freezer
ADEMRESBDGSDE1983FRZ,d,Aggregated DemandResidentialBuildingSingle Detached1983Freezer
ADEMRESBDGSDE1995FRZ,d,Aggregated DemandResidentialBuildingSingle Detached1995Freezer
ADEMRESBDGSDE2000FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2000Freezer
ADEMRESBDGSDE2005FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2005Freezer
ADEMRESBDGSDE2010FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2010Freezer
ADEMRESBDGSDE2015FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2015Freezer
ADEMRESBDGSDE2020FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2020Freezer
ADEMRESBDGSDE2025FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2025Freezer
ADEMRESBDGSDE2030FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2030Freezer
ADEMRESBDGSDE2035FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2035Freezer
ADEMRESBDGSDE2040FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2040Freezer
ADEMRESBDGSDE2045FRZ,d,Aggregated DemandResidentialBuildingSingle Detached2045Freezer
ADEMRESBDGSAT1960FRZ,d,Aggregated DemandResidentialBuildingSingle Attached1960Freezer
ADEMRESBDGSAT1977FRZ,d,Aggregated DemandResidentialBuildingSingle Attached1977Freezer
ADEMRESBDGSAT1983FRZ,d,Aggregated DemandResidentialBuildingSingle Attached1983Freezer
ADEMRESBDGSAT1995FRZ,d,Aggregated DemandResidentialBuildingSingle Attached1995Freezer
ADEMRESBDGSAT2000FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2000Freezer
ADEMRESBDGSAT2005FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2005Freezer
