regions,tech,vintage,exist_cap,exist_cap_units,exist_cap_notes
TO,RESBDGSDE2000SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2000Space Cooling
TO,RESBDGSDE2005SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2005Space Cooling
TO,RESBDGSDE2010SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2010Space Cooling
TO,RESBDGSDE2015SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2015Space Cooling
TO,RESBDGSDE2020SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2020Space Cooling
TO,RESBDGSDE2025SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2025Space Cooling
TO,RESBDGSDE2030SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2030Space Cooling
TO,RESBDGSDE2035SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2035Space Cooling
TO,RESBDGSDE2040SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2040Space Cooling
TO,RESBDGSDE2045SC_b,2015,10000000000,,ResidentialBuildingSingle Detached2045Space Cooling
TO,RESBDGSAT1960SC_b,2015,10000000000,,ResidentialBuildingSingle Attached1960Space Cooling
TO,RESBDGSAT1977SC_b,2015,10000000000,,ResidentialBuildingSingle Attached1977Space Cooling
TO,RESBDGSAT1983SC_b,2015,10000000000,,ResidentialBuildingSingle Attached1983Space Cooling
TO,RESBDGSAT1995SC_b,2015,10000000000,,ResidentialBuildingSingle Attached1995Space Cooling
TO,RESBDGSAT2000SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2000Space Cooling
TO,RESBDGSAT2005SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2005Space Cooling
TO,RESBDGSAT2010SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2010Space Cooling
TO,RESBDGSAT2015SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2015Space Cooling
TO,RESBDGSAT2020SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2020Space Cooling
TO,RESBDGSAT2025SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2025Space Cooling
TO,RESBDGSAT2030SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2030Space Cooling
TO,RESBDGSAT2035SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2035Space Cooling
TO,RESBDGSAT2040SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2040Space Cooling
TO,RESBDGSAT2045SC_b,2015,10000000000,,ResidentialBuildingSingle Attached2045Space Cooling
TO,RESBDGAPA1960LI,2015,10000000000,,ResidentialBuildingApartments1960Lighting
TO,RESBDGAPA1977LI,2015,10000000000,,ResidentialBuildingApartments1977Lighting
TO,RESBDGAPA1983LI,2015,10000000000,,ResidentialBuildingApartments1983Lighting
TO,RESBDGAPA1995LI,2015,10000000000,,ResidentialBuildingApartments1995Lighting
TO,RESBDGAPA2000LI,2015,10000000000,,ResidentialBuildingApartments2000Lighting
TO,RESBDGAPA2005LI,2015,10000000000,,ResidentialBuildingApartments2005Lighting
TO,RESBDGAPA2010LI,2015,10000000000,,ResidentialBuildingApartments2010Lighting
TO,RESBDGAPA2015LI,2015,10000000000,,ResidentialBuildingApartments2015Lighting
TO,RESBDGAPA2020LI,2015,10000000000,,ResidentialBuildingApartments2020Lighting
TO,RESBDGAPA2025LI,2015,10000000000,,ResidentialBuildingApartments2025Lighting
TO,RESBDGAPA2030LI,2015,10000000000,,ResidentialBuildingApartments2030Lighting
TO,RESBDGAPA2035LI,2015,10000000000,,ResidentialBuildingApartments2035Lighting
TO,RESBDGAPA2040LI,2015,10000000000,,ResidentialBuildingApartments2040Lighting
TO,RESBDGAPA2045LI,2015,10000000000,,ResidentialBuildingApartments2045Lighting
TO,RESBDGSDE1960LI,2015,10000000000,,ResidentialBuildingSingle Detached1960Lighting
TO,RESBDGSDE1977LI,2015,10000000000,,ResidentialBuildingSingle Detached1977Lighting
TO,RESBDGSDE1983LI,2015,10000000000,,ResidentialBuildingSingle Detached1983Lighting
TO,RESBDGSDE1995LI,2015,10000000000,,ResidentialBuildingSingle Detached1995Lighting
TO,RESBDGSDE2000LI,2015,10000000000,,ResidentialBuildingSingle Detached2000Lighting
TO,RESBDGSDE2005LI,2015,10000000000,,ResidentialBuildingSingle Detached2005Lighting
