Marginal cost of local energy production (k$/TJ)
Period,Subsector,Energy,Marginal_Costs
2025,Public building,District Heating,21.2656249334009
2025,Public building,Electricity,17.303840709780136
2025,Public transportation,Bio Methane,55.0565534038838
2025,Public transportation,Electricity,182.22181181966693
2025,Residential building,Bio Methane,55.05248231275594
2025,Residential building,District Cooling,-15.269321224909257
2025,Residential building,District Heating,69.98713502089875
2025,Residential building,Electricity,57.6567258153014
2025,Solid waste,Bio Methane,8.059461293340528
2025,Solid waste,Electricity,-42.07129099709049
2025,Water waste,Bio Methane,51.44596715640846
2025,Water waste,Electricity,179.8321493242522
2030,Commercial building,Bio Methane,32.7903999170409
2030,Commercial building,District Cooling,-14.944504374555855
2030,Commercial building,District Heating,-1.4995072678987191
2030,Commercial building,Electricity,-13.266507078845692
2030,Freight transportation,Bio Methane,50.10028563284824
2030,Freight transportation,Electricity,176.0635953533629
2030,Industrial building,Bio Methane,50.14236134099641
2030,Industrial building,District Cooling,14.12508991539343
2030,Industrial building,District Heating,50.10040922058492
2030,Industrial building,Electricity,50.10105017762368
2030,Long distance transportation,Electricity,162.914625986124
2030,Passenger transportation,Bio Methane,49.09335775413588
2030,Passenger transportation,Electricity,-0.004773102233358742
2030,Public building,Bio Methane,50.162070852506574
2030,Public building,District Cooling,54.00777131796878
2030,Public building,District Heating,58.72499589836908
2030,Public building,Electricity,55.160112529306815
2030,Public transportation,Bio Methane,50.16118194312381
2030,Public transportation,Electricity,117.59425691331933
2030,Residential building,Bio Methane,50.15467238164054
2030,Residential building,District Cooling,-37.30203610047818
2030,Residential building,District Heating,63.05195737271173
2030,Residential building,Electricity,52.40883722448885
2030,Solid waste,Bio Methane,3.1169787707884806
2030,Solid waste,Electricity,-55.170169642767824
2030,Water waste,Bio Methane,47.046105853880526
2030,Water waste,Electricity,166.01072150350396
2035,Commercial building,Bio Methane,41.736618295942876
2035,Commercial building,District Cooling,14.030717937680436
2035,Commercial building,District Heating,11.630539358186185
2035,Commercial building,Electricity,7.314710055328856
2035,Freight transportation,Bio Methane,58.69800683668503
2035,Freight transportation,Electricity,98.58345899660459
2035,Industrial building,Bio Methane,56.44208167648143
