"Discounted and Undiscounted Investment and fixed Costs for building sector by end use, per vintage. (k CAD 2016)"
vintage,sector,Cost_type,Cost,EndUse,Tech_type_1,Tech_type_2,Efficiency,Energy_cat,Costs
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,62.71985350565829
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Natural Gas,7066.121609584185
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Propane,210.05998812903053
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Heat Pump,___,Standard,Electricity,358.4445243388663
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
2000,Commercial Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,923.7574604315437
2000,Commercial Building,FixedCosts,Discounted,Water Heating,___,___,___,District Heating,0.0
2000,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
2000,Commercial Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,68.41606306734677
2000,Commercial Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Natural Gas,7707.865925408134
2000,Commercial Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Propane,225.8828082711434
2000,Commercial Building,FixedCosts,Undiscounted,Space Heating,Heat Pump,___,Standard,Electricity,358.44452433886636
2000,Commercial Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
2000,Commercial Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,993.33971777398
2000,Commercial Building,FixedCosts,Undiscounted,Water Heating,___,___,___,District Heating,0.0
2000,Public Building,FixedCosts,Discounted,Space Cooling,___,___,Standard,Electricity,1463.3159195863386
2000,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
2000,Public Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Electricity,88.82237001934155
2000,Public Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,118.25392116878027
2000,Public Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Natural Gas,1450.3396692088027
2000,Public Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
2000,Public Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,421.3376069147623
2000,Public Building,FixedCosts,Discounted,Water Heating,___,___,___,District Heating,0.0
2000,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,Standard,Electricity,1484.9412780038715
2000,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
2000,Public Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Electricity,96.88920699545726
2000,Public Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,128.99372808507025
