regions,tech,group_name,act_fraction,tech_desc
TO,PUBBDGPSINewSHFUR___STDHFO_16,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFUR___STDHFO_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFUR___STDKER_16,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFUR___STDKER_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFUR___STDLFO_16,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFUR___STDLFO_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFUR___STDNGA_16,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFUR___STDNGA_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFUR___STDPRO_16,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFUR___STDPRO_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFURLARSTDHH2_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFURMEDSTDHH2_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHFURSMASTDHH2_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHHEP___ESRELC_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHHEP___ESRGEO_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHHEP___HIGELC_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHHEP___HIGGEO_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHHEP___STDELC_16,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHHEP___STDELC_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHHEP___STDGEO_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
TO,PUBBDGPSINewSHHEP___STDNGA_23,BAP-BDG-5-PUBBDGPSI-TEDI,1,
