regions,periods,tech,maxact,maxaxt_notes,maxact_notes
TO,2050,COMBDGAFSOldSHFURSMASTDHH2_23,0,,
TO,2050,COMBDGAFSOldSHHEP___STDELC_16,0,,
TO,2050,COMBDGAFSOldSHHEP___STDNGA_23,0,,
TO,2050,COMBDGAFSOldSHPLT___STDELC_16,0,,
TO,2050,COMBDGAFSOldSHPLT1000WSTDELC_23,0,,
TO,2050,COMBDGAFSOldSHPLT1500WSTDELC_23,0,,
TO,2050,COMBDGAFSOldSHPLT500WSTDELC_23,0,,
TO,2050,COMBDGAFSOldWH______STDELC_16,0,,
TO,2050,COMBDGAFSOldWH______STDHFO_16,0,,
TO,2050,COMBDGAFSOldWH______STDKER_16,0,,
TO,2050,COMBDGAFSOldWH______STDLFO_16,0,,
TO,2050,COMBDGAFSOldWH______STDNGA_16,0,,
TO,2050,COMBDGAFSOldWH______STDPRO_16,0,,
TO,2050,COMBDGAFSOldWHSTHBCKSTDELC_23,0,,
TO,2050,COMBDGAFSOldWHSTHBCKSTDNGA_23,0,,
TO,2050,COMBDGAFSOldWHSYS___ESRPRO_23,0,,
TO,2050,COMBDGAFSOldWHSYS___STDBMA_23,0,,
TO,2050,COMBDGAFSOldWHSYS___STDBWP_23,0,,
TO,2050,COMBDGAFSOldWHSYS___STDHFO_23,0,,
TO,2050,COMBDGAFSOldWHSYS___STDKER_23,0,,
TO,2050,COMBDGAFSOldWHSYS___STDLFO_23,0,,
TO,2050,COMBDGAFSOldWHWTK___ESRNGA_23,0,,
TO,2050,COMBDGAFSOldWHWTK___HIGELC_23,0,,
TO,2050,COMBDGAFSOldWHWTK___HIGNGA_23,0,,
TO,2050,COMBDGAFSOldWHWTK___STDELC_23,0,,
TO,2050,COMBDGAFSOldWHWTK___STDNGA_23,0,,
TO,2050,COMBDGEDSNewSHFUR___ESRNGA_23,0,,
TO,2050,COMBDGEDSNewSHFUR___ESRPRO_23,0,,
TO,2050,COMBDGEDSNewSHFUR___HIGHFO_23,0,,
TO,2050,COMBDGEDSNewSHFUR___HIGLFO_23,0,,
TO,2050,COMBDGEDSNewSHFUR___HIGNGA_16,0,,
TO,2050,COMBDGEDSNewSHFUR___HIGNGA_23,0,,
TO,2050,COMBDGEDSNewSHFUR___HIGPRO_23,0,,
TO,2050,COMBDGEDSNewSHFUR___STDELC_16,0,,
TO,2050,COMBDGEDSNewSHFUR___STDELC_23,0,,
TO,2050,COMBDGEDSNewSHFUR___STDHFO_16,0,,
TO,2050,COMBDGEDSNewSHFUR___STDHFO_23,0,,
TO,2050,COMBDGEDSNewSHFUR___STDKER_16,0,,
TO,2050,COMBDGEDSNewSHFUR___STDKER_23,0,,
