GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2017,CO2e,Residential,Single Detached,Old,1630248.1408079264
2017,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0138660174963827
2017,N2O,Commercial,Accommodation and Food Services,Old,2.370064640092052
2017,N2O,Commercial,Educational Services,Old,5.92308964794929
2017,N2O,Commercial,Health Care and Social Assistance,Old,3.770815600559644
2017,N2O,Commercial,Information and Cultural Industries,Old,0.3108231148640822
2017,N2O,Commercial,Offices,Old,23.953028099299395
2017,N2O,Commercial,Other Services,Old,2.357480648358479
2017,N2O,Commercial,Retail Trade,Old,7.309732419067263
2017,N2O,Commercial,Transportation and Warehousing,Old,1.344578094221422
2017,N2O,Commercial,Wholesale Trade,Old,4.763859602679577
2017,N2O,Industry,,,15.386692359115436
2017,N2O,Public,Hospital,Old,1.65318207395725
2017,N2O,Public,Municipality,Old,1.4142480657333625
2017,N2O,Public,Post-Secondary Institution,Old,2.600634222230221
2017,N2O,Public,School board,Old,2.6621449820793415
2017,N2O,Residential,Apartments,Old,25.69749107285913
2017,N2O,Residential,Single Attached,Old,13.412819106991764
2017,N2O,Residential,Single Detached,Old,30.447763766319945
2018,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8243076247632848
2018,CH4,Commercial,Accommodation and Food Services,Old,2.128578858477181
2018,CH4,Commercial,Educational Services,Old,5.332874694807462
2018,CH4,Commercial,Health Care and Social Assistance,Old,3.3809165564161767
2018,CH4,Commercial,Information and Cultural Industries,Old,0.2761558146067172
2018,CH4,Commercial,Offices,Old,18.659550009315844
2018,CH4,Commercial,Other Services,Old,2.2113736769119874
2018,CH4,Commercial,Retail Trade,Old,6.786042599951333
2018,CH4,Commercial,Transportation and Warehousing,Old,1.1940526430097704
2018,CH4,Commercial,Wholesale Trade,Old,4.241020243435253
2018,CH4,Industry,,,16.351279615747277
2018,CH4,Public,Hospital,Old,1.7041882948006577
2018,CH4,Public,Municipality,Old,1.5207077094490828
2018,CH4,Public,Post-Secondary Institution,Old,2.7520594001848107
2018,CH4,Public,School board,Old,2.838677978281175
2018,CH4,Residential,Apartments,Old,422.53284027987314
2018,CH4,Residential,Single Attached,Old,181.84355473837897
2018,CH4,Residential,Single Detached,Old,365.1574958402191
2018,CO2,Commercial,"Arts, Entertainment and Recreation",Old,92270.54530556337
2018,CO2,Commercial,Accommodation and Food Services,Old,107944.05750022743
2018,CO2,Commercial,Educational Services,Old,274775.8426635215
2018,CO2,Commercial,Health Care and Social Assistance,Old,172900.802769341
2018,CO2,Commercial,Information and Cultural Industries,Old,13414.656416804586
2018,CO2,Commercial,Offices,Old,972726.3582106682
2018,CO2,Commercial,Other Services,Old,112179.6506957946
2018,CO2,Commercial,Retail Trade,Old,349276.0604055812
2018,CO2,Commercial,Transportation and Warehousing,Old,60389.68088328666
2018,CO2,Commercial,Wholesale Trade,Old,216595.7535951443
2018,CO2,Industry,,,824272.9366034907
2018,CO2,Public,Hospital,Old,94807.3052498256
2018,CO2,Public,Municipality,Old,75577.4978992847
2018,CO2,Public,Post-Secondary Institution,Old,141459.8696483634
2018,CO2,Public,School board,Old,141687.37544624473
2018,CO2,Residential,Apartments,Old,1427514.615137044
2018,CO2,Residential,Single Attached,Old,726454.7790705635
2018,CO2,Residential,Single Detached,Old,1639256.9598088057
2018,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,92899.32090377682
2018,CO2e,Commercial,Accommodation and Food Services,Old,108684.53134737958
2018,CO2e,Commercial,Educational Services,Old,276649.31429980794
2018,CO2e,Commercial,Health Care and Social Assistance,Old,174106.00726507633
2018,CO2e,Commercial,Information and Cultural Industries,Old,13510.662068521435
2018,CO2e,Commercial,Offices,Old,980239.0839755001
2018,CO2e,Commercial,Other Services,Old,112926.23746042496
2018,CO2e,Commercial,Retail Trade,Old,351612.1447816412
2018,CO2e,Commercial,Transportation and Warehousing,Old,60813.531221443365
2018,CO2e,Commercial,Wholesale Trade,Old,218091.08126928195
2018,CO2e,Industry,,,829206.8619671178
2018,CO2e,Public,Hospital,Old,95336.6425893661
2018,CO2e,Public,Municipality,Old,76038.13523647287
2018,CO2e,Public,Post-Secondary Institution,Old,142300.37167889078
2018,CO2e,Public,School board,Old,142547.22896456532
2018,CO2e,Residential,Apartments,Old,1445657.3835211145
2018,CO2e,Residential,Single Attached,Old,734869.4033167665
2018,CO2e,Residential,Single Detached,Old,1657112.0270248014
2018,N2O,Commercial,"Arts, Entertainment and Recreation",Old,1.9814266378971788
2018,N2O,Commercial,Accommodation and Food Services,Old,2.334811044040738
2018,N2O,Commercial,Educational Services,Old,5.91101096542075
2018,N2O,Commercial,Health Care and Social Assistance,Old,3.8060578793642383
2018,N2O,Commercial,Information and Cultural Industries,Old,0.30270597184599785
2018,N2O,Commercial,Offices,Old,23.89555441152978
2018,N2O,Commercial,Other Services,Old,2.3494896557557734
2018,N2O,Commercial,Retail Trade,Old,7.360998259936474
2018,N2O,Commercial,Transportation and Warehousing,Old,1.3381719216560148
2018,N2O,Commercial,Wholesale Trade,Old,4.719014258474752
2018,N2O,Industry,,,15.404525139920572
2018,N2O,Public,Hospital,Old,1.656205991106304
2018,N2O,Public,Municipality,Old,1.4385989103682595
2018,N2O,Public,Post-Secondary Institution,Old,2.6265395406827756
2018,N2O,Public,School board,Old,2.6853734254251473
2018,N2O,Residential,Apartments,Old,31.105968920109746
2018,N2O,Residential,Single Attached,Old,15.42251542515593
2018,N2O,Residential,Single Detached,Old,34.18375772936928
2019,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8429719227476091
2019,CH4,Commercial,Accommodation and Food Services,Old,2.147706076089399
2019,CH4,Commercial,Educational Services,Old,5.3677615499276845
2019,CH4,Commercial,Health Care and Social Assistance,Old,3.4161633497291324
2019,CH4,Commercial,Information and Cultural Industries,Old,0.2786599603638555
2019,CH4,Commercial,Offices,Old,18.729218914363344
2019,CH4,Commercial,Other Services,Old,2.2381974543693026
2019,CH4,Commercial,Retail Trade,Old,6.825547488203592
2019,CH4,Commercial,Transportation and Warehousing,Old,1.2127230827110747
2019,CH4,Commercial,Wholesale Trade,Old,4.272276248838431
2019,CH4,Industry,,,16.370208384129068
2019,CH4,Public,Hospital,Old,1.7136685234086295
2019,CH4,Public,Municipality,Old,1.5454193356228993
2019,CH4,Public,Post-Secondary Institution,Old,2.763490474911456
2019,CH4,Public,School board,Old,2.8635665563412678
2019,CH4,Residential,Apartments,Old,475.17988239200906
2019,CH4,Residential,Single Attached,Old,184.36874828550353
2019,CH4,Residential,Single Detached,Old,367.8447018122063
2019,CO2,Commercial,"Arts, Entertainment and Recreation",Old,93141.39679078419
2019,CO2,Commercial,Accommodation and Food Services,Old,108858.52926908675
2019,CO2,Commercial,Educational Services,Old,276458.05066118605
2019,CO2,Commercial,Health Care and Social Assistance,Old,174541.27250066318
2019,CO2,Commercial,Information and Cultural Industries,Old,13533.483437147399
2019,CO2,Commercial,Offices,Old,976029.0055089028
2019,CO2,Commercial,Other Services,Old,113390.3748923172
2019,CO2,Commercial,Retail Trade,Old,351193.9877277375
2019,CO2,Commercial,Transportation and Warehousing,Old,61214.91455707121
2019,CO2,Commercial,Wholesale Trade,Old,218078.64439229172
2019,CO2,Industry,,,825227.1415261069
2019,CO2,Public,Hospital,Old,95212.69069311909
2019,CO2,Public,Municipality,Old,76486.25595506618
2019,CO2,Public,Post-Secondary Institution,Old,141848.4746709531
2019,CO2,Public,School board,Old,142514.8506811213
2019,CO2,Residential,Apartments,Old,1459344.3725896894
2019,CO2,Residential,Single Attached,Old,736050.2766586925
2019,CO2,Residential,Single Detached,Old,1659570.1363052644
2019,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,93780.69503066117
2019,CO2e,Commercial,Accommodation and Food Services,Old,109610.4236607789
2019,CO2e,Commercial,Educational Services,Old,278351.6914172702
2019,CO2e,Commercial,Health Care and Social Assistance,Old,175765.8200601945
2019,CO2e,Commercial,Information and Cultural Industries,Old,13631.067265381991
2019,CO2e,Commercial,Offices,Old,983585.2865819347
2019,CO2e,Commercial,Other Services,Old,114150.14272654652
2019,CO2e,Commercial,Retail Trade,Old,353552.8339334411
2019,CO2e,Commercial,Transportation and Warehousing,Old,61648.80661939873
2019,CO2e,Commercial,Wholesale Trade,Old,219591.8733108776
2019,CO2e,Industry,,,830166.778560784
2019,CO2e,Public,Hospital,Old,95745.00056376678
2019,CO2e,Public,Municipality,Old,76954.39407152231
2019,CO2e,Public,Post-Secondary Institution,Old,142692.48614021836
2019,CO2e,Public,School board,Old,143382.26426886278
2019,CO2e,Residential,Apartments,Old,1478888.7292820797
