"Transportation sector GHG emissions per subsector, per end use (metric ton)"
t_periods,emissions_comm,Sub,Mode,Tech_type_1,Tech_type_2,Name,Emisions
2018,CO2e,Passenger,Road,Inter-city Buses,Inter Urban Bus,Viva Bus,345.72130114378217
2018,CO2e,Passenger,Road,Inter-city Buses,School Bus,___,5189.0325764738955
2018,CO2e,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Bus,239548.91063578223
2018,CO2e,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Wheel trans para,22703.33751746479
2018,CO2e,Passenger,Road,Cars,___,Auto driver,1635658.1277007763
2018,CO2e,Passenger,Road,Cars,___,Auto passenger,206910.980207619
2018,CO2e,Passenger,Road,Cars,___,Paid Ridershare,13006.164969142443
2018,CO2e,Passenger,Road,Cars,___,Taxi passenger,22093.856333681546
2018,CO2e,Passenger,Road,Motorcycles,___,___,5080.889056691379
2018,CO2e,Passenger,Road,Truck,Passenger Light Trucks,Auto driver,1920340.3591030708
2018,CO2e,Passenger,Road,Truck,Passenger Light Trucks,Auto passenger,243000.9180354737
2018,CO2e,Passenger,Road,Truck,Passenger Light Trucks,Paid Ridershare,15164.315633509648
2018,CO2e,Passenger,Road,Truck,Passenger Light Trucks,Taxi passenger,8312.376836984502
2018,CO2e,Public,Marine,___,___,Fleet Services,4.674756150405884
2018,CO2e,Public,Marine,___,___,Police Services,0.8852116095851097
2018,CO2e,Public,Road,Inter-city Buses,Urban Bus ,Police Services,43.53581957394535
2018,CO2e,Public,Road,Cars,___,Fleet Services,470.78968121887317
2018,CO2e,Public,Road,Cars,___,Police Services,12132.941330585343
2018,CO2e,Public,Road,Cars,___,Toronto Housing Company,2358.7073019159316
2018,CO2e,Public,Road,Motorcycles,___,Police Services,33.94312205461111
2018,CO2e,Public,Road,Truck,Heavy Trucks,Fleet Services,23821.942365910156
2018,CO2e,Public,Road,Truck,Passenger Light Trucks,Fleet Services,28841.448431640016
2018,CO2e,Public,Road,Truck,Passenger Light Trucks,Police Services,7949.952693656674
2018,CO2e,Public,Road,Truck,Passenger Light Trucks,Toronto Housing Company,1700.1765342925733
2018,CO2e,Public,Road,Truck,Medium Trucks,Fleet Services,7452.767946983381
2018,CO2e,Public,Road,Truck,Medium Trucks,Police Services,850.9424464331074
2018,CO2e,Public,Road,Truck,Medium Trucks,Toronto Housing Company,1093.8424148409176
2018,N2O,Freight Transportation,Air,___,___,,0.09436323029859678
2018,N2O,Freight Transportation,Marine,___,___,,0.2901266233113749
2018,N2O,Freight Transportation,Rail,___,___,,8.647600934420524
2018,N2O,Freight Transportation,Road,Truck,Heavy Trucks,,20.328892583753834
2018,N2O,Freight Transportation,Road,Truck,Passenger Light Trucks,,30.370687127916806
2018,N2O,Freight Transportation,Road,Truck,Medium Trucks,,25.114176150185614
2018,N2O,Long Distance,Air,___,___,,3.2914133071700844
2018,N2O,Long Distance,Rail,___,___,,26.147951138352077
2018,N2O,Passenger,Rail,Regional,___,GO rail,40.56436995976936
2018,N2O,Passenger,Rail,Regional,___,Up Express,2.0273521507938757
2018,N2O,Passenger,Rail,Subway,___,Subway,0.20895950333783747
2018,N2O,Passenger,Rail,Tramway,___,Streetcar,0.191129424128873
2018,N2O,Passenger,Road,Inter-city Buses,Inter Urban Bus,Durham RT,0.012498642121621101
2018,N2O,Passenger,Road,Inter-city Buses,Inter Urban Bus,Go Bus,0.1558522838678154
2018,N2O,Passenger,Road,Inter-city Buses,Inter Urban Bus,Miway Bus,0.14047618449326818
2018,N2O,Passenger,Road,Inter-city Buses,Inter Urban Bus,Viva Bus,0.019863352177315066
2018,N2O,Passenger,Road,Inter-city Buses,School Bus,___,0.2974983099120289
2018,N2O,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Bus,13.349460615072195
2018,N2O,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Wheel trans para,1.2687958723199813
2018,N2O,Passenger,Road,Cars,___,Auto driver,18.4749809391429
2018,N2O,Passenger,Road,Cars,___,Auto passenger,2.337351649565005
2018,N2O,Passenger,Road,Cars,___,Paid Ridershare,0.14691629236254475
2018,N2O,Passenger,Road,Cars,___,Taxi passenger,0.24954624869685532
2018,N2O,Passenger,Road,Motorcycles,___,___,0.09483014832712375
2018,N2O,Passenger,Road,Truck,Passenger Light Trucks,Auto driver,21.14336561852217
2018,N2O,Passenger,Road,Truck,Passenger Light Trucks,Auto passenger,2.6759653290724583
2018,N2O,Passenger,Road,Truck,Passenger Light Trucks,Paid Ridershare,0.1670477814926601
2018,N2O,Passenger,Road,Truck,Passenger Light Trucks,Taxi passenger,0.09158488878339312
2018,N2O,Public,Marine,___,___,Fleet Services,0.00011692630274878661
2018,N2O,Public,Marine,___,___,Police Services,6.408128377560178e-06
2018,N2O,Public,Road,Inter-city Buses,Urban Bus ,Police Services,0.002425322069453735
2018,N2O,Public,Road,Cars,___,Fleet Services,0.004775574656785047
2018,N2O,Public,Road,Cars,___,Police Services,0.1225392808429621
2018,N2O,Public,Road,Cars,___,Toronto Housing Company,0.02389015473515651
2018,N2O,Public,Road,Motorcycles,___,Police Services,0.0006332107340402956
2018,N2O,Public,Road,Truck,Heavy Trucks,Fleet Services,1.9311864650059385
2018,N2O,Public,Road,Truck,Passenger Light Trucks,Fleet Services,1.0266380313401982
2018,N2O,Public,Road,Truck,Passenger Light Trucks,Police Services,0.10995014569322648
2018,N2O,Public,Road,Truck,Passenger Light Trucks,Toronto Housing Company,0.03142219852149341
2018,N2O,Public,Road,Truck,Medium Trucks,Fleet Services,0.49371054395112846
2018,N2O,Public,Road,Truck,Medium Trucks,Police Services,0.06919845343305636
2018,N2O,Public,Road,Truck,Medium Trucks,Toronto Housing Company,0.03231490773322871
2019,CH4,Freight Transportation,Air,___,___,,0.0788530659110362
2019,CH4,Freight Transportation,Marine,___,___,,1.0296327082787113
2019,CH4,Freight Transportation,Rail,___,___,,1.3121711669722325
2019,CH4,Freight Transportation,Road,Truck,Heavy Trucks,,6.309802726819905
2019,CH4,Freight Transportation,Road,Truck,Passenger Light Trucks,,68.77578861066196
2019,CH4,Freight Transportation,Road,Truck,Medium Trucks,,8.674353960738678
2019,CH4,Long Distance,Air,___,___,,1.7027683821444306
2019,CH4,Long Distance,Rail,___,___,,3.993986045648366
2019,CH4,Passenger,Rail,Regional,___,GO rail,6.127872222997847
2019,CH4,Passenger,Rail,Regional,___,Up Express,0.3066326327466988
2019,CH4,Passenger,Rail,Subway,___,Subway,149.90852955346014
2019,CH4,Passenger,Rail,Tramway,___,Streetcar,22.305931218046886
2019,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Durham RT,0.009192204642131187
2019,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Go Bus,0.11342472539221192
2019,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Miway Bus,0.10340182697624783
2019,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Viva Bus,0.014400360038574336
2019,CH4,Passenger,Road,Inter-city Buses,School Bus,___,1.1050825054910947
2019,CH4,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Bus,9.77554534299316
