GHG emissions per subsector per period (metric ton)
t_periods,emissions_comm,sector,Emisions
2020,CH4,Long distance transportation,7.34195379280796
2020,CH4,Passenger transportation,422.56602282120866
2020,CH4,Public building,9.15499558232876
2020,CH4,Public transportation,4.192657526460123
2020,CH4,Residential building,1082.808405693864
2020,CH4,Solid waste,58534.47800574587
2020,CH4,Water waste,2.8480000962432066
2020,CO2,Commercial building,2410139.1212337418
2020,CO2,District Energy,377842.10547039204
2020,CO2,Freight transportation,1606175.5749796166
2020,CO2,Industrial building,826181.3467658481
2020,CO2,Long distance transportation,155671.4704208285
2020,CO2,Passenger transportation,4315360.084760979
2020,CO2,Public building,465904.23908415326
2020,CO2,Public transportation,90981.52734489861
2020,CO2,Residential building,3863345.9415653883
2020,CO2,Solid waste,572.2644781047541
2020,CO2,Water waste,118826.39187550171
2020,CO2e,Commercial building,2427595.4364118287
2020,CO2e,District Energy,380202.9866456864
2020,CO2e,Freight transportation,1674067.516080399
2020,CO2e,Industrial building,831126.6954734747
2020,CO2e,Long distance transportation,165644.16497155855
2020,CO2e,Passenger transportation,4356175.631517573
2020,CO2e,Public building,468697.7555646705
2020,CO2e,Public transportation,92277.86204344743
2020,CO2e,Residential building,3910648.531586157
2020,CO2e,Solid waste,1245115.9660886307
2020,CO2e,Trade energy,1118130.8651479015
2020,CO2e,Water waste,69840.0952238349
2020,N2O,Commercial building,55.27771853248654
2020,N2O,District Energy,7.3731454568843295
2020,N2O,Freight transportation,84.28714521342967
2020,N2O,Industrial building,15.440190695608742
2020,N2O,Long distance transportation,32.94803194993639
2020,N2O,Passenger transportation,107.18677945419948
2020,N2O,Public building,8.729065682176243
2020,N2O,Public transportation,4.054660706352563
2020,N2O,Residential building,82.42823322549262
2020,N2O,Solid waste,51.408266744504466
2020,N2O,Water waste,104.61652317199089
2021,CH4,Commercial building,46.95987657526147
2021,CH4,District Energy,7.8315751565070775
2021,CH4,Freight transportation,86.44246660756495
2021,CH4,Industrial building,16.40806593347593
2021,CH4,Long distance transportation,7.552031416336825
2021,CH4,Passenger transportation,419.6083868015835
2021,CH4,Public building,9.22677921533759
2021,CH4,Public transportation,4.328030674095678
2021,CH4,Residential building,1126.3672412233445
2021,CH4,Solid waste,56498.54816576451
2021,CH4,Water waste,2.8653123310447755
2021,CO2,Commercial building,2415630.5545014404
2021,CO2,District Energy,379640.89731641806
2021,CO2,Freight transportation,1613131.465010279
2021,CO2,Industrial building,827135.5520056603
2021,CO2,Long distance transportation,156952.9371635804
2021,CO2,Passenger transportation,4520467.115104924
2021,CO2,Public building,468371.8291756727
2021,CO2,Public transportation,93802.37279991905
2021,CO2,Residential building,3873485.7193934545
2021,CO2,Solid waste,683.9329379340318
2021,CO2,Water waste,119690.63342624968
2021,CO2e,Commercial building,2433154.823884311
2021,CO2e,District Energy,382013.01793206594
2021,CO2e,Freight transportation,1681215.5393043214
2021,CO2e,Industrial building,832086.612386236
2021,CO2e,Long distance transportation,167150.08676908328
2021,CO2e,Passenger transportation,4552856.600434112
2021,CO2e,Public building,471187.20229579986
2021,CO2e,Public transportation,95141.4300245273
2021,CO2e,Residential building,3921911.0847752336
2021,CO2e,Solid waste,1200848.6289797642
2021,CO2e,Trade energy,1004936.0066933248
2021,CO2e,Water waste,70283.15793068147
2021,N2O,Commercial building,55.497020049619366
2021,N2O,District Energy,7.4082467696688585
2021,N2O,Freight transportation,84.91394109113106
2021,N2O,Industrial building,15.45802347641779
2021,N2O,Long distance transportation,33.68643270389187
2021,N2O,Passenger transportation,79.11982955150629
2021,N2O,Public building,8.797351532231907
2021,N2O,Public transportation,4.188485169302642
2021,N2O,Residential building,83.1263534096892
2021,N2O,Solid waste,45.95699517038766
2021,N2O,Water waste,105.29273883517102
2022,CH4,Commercial building,46.87733062521541
2022,CH4,District Energy,8.073164486546382
2022,CH4,Freight transportation,86.6886697753404
2022,CH4,Industrial building,16.427126165571735
2022,CH4,Long distance transportation,7.731536746097412
2022,CH4,Passenger transportation,419.47966837777597
2022,CH4,Public building,9.292006075152226
2022,CH4,Public transportation,4.454476603506331
2022,CH4,Residential building,1169.4047525923436
2022,CH4,Solid waste,54579.446531146124
2022,CH4,Water waste,2.878044632594586
2022,CO2,Commercial building,2409558.1887289775
2022,CO2,District Energy,391352.1033261211
2022,CO2,Freight transportation,1618394.3668077511
2022,CO2,Industrial building,828096.384053745
2022,CO2,Long distance transportation,158334.8150751111
2022,CO2,Passenger transportation,4529978.224474618
2022,CO2,Public building,471108.00134929986
2022,CO2,Public transportation,96624.30893119855
2022,CO2,Residential building,3869231.154459244
2022,CO2,Solid waste,727.9250402911157
2022,CO2,Water waste,120318.45639368134
2022,CO2e,Commercial building,2426905.3695219927
2022,CO2e,District Energy,393797.3993910055
2022,CO2e,Freight transportation,1686472.3788997997
2022,CO2e,Industrial building,833053.1957739578
2022,CO2e,Long distance transportation,168704.99488150547
2022,CO2e,Passenger transportation,4560074.817204738
2022,CO2e,Public building,473943.10479368997
2022,CO2e,Public transportation,98001.210213143
2022,CO2e,Residential building,3918740.384015535
2022,CO2e,Solid waste,1160737.0495124345
2022,CO2e,Trade energy,1095818.9106112025
2022,CO2e,Water waste,70604.38944213865
2022,N2O,Commercial building,54.90858003318544
2022,N2O,District Energy,7.636777217003337
2022,N2O,Freight transportation,85.00265412613945
2022,N2O,Industrial building,15.475980103140012
2022,N2O,Long distance transportation,34.25442125747104
2022,N2O,Passenger transportation,71.43462984622882
2022,N2O,Public building,8.858964150375154
2022,N2O,Public transportation,4.306568031110304
2022,N2O,Residential building,83.73063675119153
2022,N2O,Solid waste,46.445460798907206
2022,N2O,Water waste,105.78504974515322
2023,CH4,Commercial building,44.58390848304429
2023,CH4,District Energy,3.073493087112913
2023,CH4,Freight transportation,86.83000249499261
2023,CH4,Industrial building,15.501543091285823
2023,CH4,Long distance transportation,7.236554713332882
2023,CH4,Passenger transportation,427.35193730173637
2023,CH4,Public building,9.82431034819324
2023,CH4,Public transportation,9.95625804817589
2023,CH4,Residential building,1046.776996512405
2023,CH4,Solid waste,52050.717417845815
2023,CH4,Water waste,2.8928110329663017
2023,CO2,Commercial building,2306534.3001347757
2023,CO2,District Energy,148978.6747869916
2023,CO2,Freight transportation,1624410.9201734664
2023,CO2,Industrial building,743292.6449607876
2023,CO2,Long distance transportation,160088.23809024264
2023,CO2,Passenger transportation,4600382.249962043
2023,CO2,Public building,510875.4713728548
2023,CO2,Public transportation,96868.52024383469
2023,CO2,Residential building,3449334.819692188
2023,CO2,Solid waste,191.22145931012219
2023,CO2,Water waste,120975.80246569369
2023,CO2e,Commercial building,2322862.786592594
2023,CO2e,District Energy,149909.61092286394
2023,CO2e,Freight transportation,1692524.670839319
2023,CO2e,Industrial building,747998.0564722404
2023,CO2e,Long distance transportation,170629.6589149831
2023,CO2e,Passenger transportation,4636995.902917059
2023,CO2e,Public building,513874.4837012165
2023,CO2e,Public transportation,98417.12649706675
2023,CO2e,Residential building,3493912.118944177
2023,CO2e,Solid waste,1108061.3036626242
2023,CO2e,Trade energy,1464569.2005064406
2023,CO2e,Water waste,70939.19268866007
2023,N2O,Commercial building,51.65175966335423
2023,N2O,District Energy,2.90735832564735
2023,N2O,Freight transportation,84.874622614579
2023,N2O,Industrial building,14.697580894414621
2023,N2O,Long distance transportation,34.863936831411
2023,N2O,Passenger transportation,92.749202253971
2023,N2O,Public building,9.371482587416684
2023,N2O,Public transportation,4.495049779263086
