"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,Sector,EndUse,Tech_type_1,Energy_cat,Efficiency,Emisions
2016,N2O,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,0.0012689178056154112
2016,N2O,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.15341647675514095
2016,N2O,Commercial,Building,Space Heating,Furnace,Natural Gas,High,0.0029986772648612366
2016,N2O,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,33.26739355148661
2016,N2O,Commercial,Building,Space Heating,Furnace,Propane,Standard,4.142094625204784
2016,N2O,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.0047125607501541785
2016,N2O,Commercial,Building,Water Heating,___,Kerosene,Standard,0.0025747171186481918
2016,N2O,Commercial,Building,Water Heating,___,Light Fuel Oil,Standard,0.18562480523919606
2016,N2O,Commercial,Building,Water Heating,___,Natural Gas,Standard,5.299725644972011
2016,N2O,Commercial,Building,Water Heating,___,Propane,Standard,0.4240141619635781
2016,N2O,Industry,Building,Industrial Processes,Self produced,Mix Energy,,11.423308288987092
2016,N2O,Industry,Building,Space Cooling,Self produced,Mix Energy,,0.027087972574451794
2016,N2O,Industry,Building,Space Heating,Self produced,Mix Energy,,0.8070718274310597
2016,N2O,Industry,Building,Water Heating,Self produced,Mix Energy,,3.11139148932882
2016,N2O,Public,Building,Auxiliary Equipment,___,Natural Gas,Standard,0.34335662998087146
2016,N2O,Public,Building,Space Cooling,___,Natural Gas,Standard,0.18635166718131915
2016,N2O,Public,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.27438463698142046
2016,N2O,Public,Building,Space Heating,Furnace,Natural Gas,Standard,6.499195978930629
2016,N2O,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.0008810987767993771
2016,N2O,Public,Building,Water Heating,___,Kerosene,Standard,0.00048137975720592837
2016,N2O,Public,Building,Water Heating,___,Light Fuel Oil,Standard,0.0008728736238783843
2016,N2O,Public,Building,Water Heating,___,Natural Gas,Standard,0.9342597428792839
2016,N2O,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,0.12465136220534587
2016,N2O,Residential,Building,Range,___,Natural Gas,Standard,0.12689751411704298
2016,N2O,Residential,Building,Space Heating,Furnace,Biomass,Standard,1.5310337566612406
2016,N2O,Residential,Building,Space Heating,Furnace,Wood Pellet,Standard,0.0018280229902721714
2016,N2O,Residential,Building,Space Heating,Furnace,Kerosene,Standard,3.156751857846311e-05
2016,N2O,Residential,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.1442498959497603
2016,N2O,Residential,Building,Space Heating,Furnace,Natural Gas,High,38.430826281235746
2016,N2O,Residential,Building,Space Heating,Furnace,Natural Gas,Medium,13.88783880362219
2016,N2O,Residential,Building,Space Heating,Furnace,Propane,Standard,0.0010791723652651321
2016,N2O,Residential,Building,Water Heating,___,Biomass,Standard,0.0727588759173624
2016,N2O,Residential,Building,Water Heating,___,Wood Pellet,Standard,0.07572352595782808
2016,N2O,Residential,Building,Water Heating,___,Kerosene,Standard,0.0009556487247936404
2016,N2O,Residential,Building,Water Heating,___,Light Fuel Oil,Standard,0.014885414403116127
2016,N2O,Residential,Building,Water Heating,___,Natural Gas,Standard,14.62715740175239
2016,N2O,Residential,Building,Water Heating,___,Propane,Standard,0.04210922909377792
2017,CH4,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,2.524579584563352
2017,CH4,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,1.828674045552619
2017,CH4,Commercial,Building,Space Cooling,___,Natural Gas,Standard,0.1274693364184462
2017,CH4,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,0.003847930961151108
2017,CH4,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,0.001979826093989192
2017,CH4,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.13727875059983258
2017,CH4,Commercial,Building,Space Heating,Furnace,Natural Gas,High,0.006064387525098948
2017,CH4,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,35.623434409549475
2017,CH4,Commercial,Building,Space Heating,Furnace,Propane,Standard,0.7724056994615598
2017,CH4,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.00819834037009773
2017,CH4,Commercial,Building,Water Heating,___,Kerosene,Standard,0.004218104622881592
2017,CH4,Commercial,Building,Water Heating,___,Light Fuel Oil,Standard,0.1589412438352016
2017,CH4,Commercial,Building,Water Heating,___,Natural Gas,Standard,5.692755383840834
2017,CH4,Commercial,Building,Water Heating,___,Propane,Standard,0.09801453020115627
2017,CH4,Industry,Building,Industrial Processes,Self produced,Mix Energy,,12.611512747100766
2017,CH4,Industry,Building,Space Cooling,Self produced,Mix Energy,,0.028669083452123233
2017,CH4,Industry,Building,Space Heating,Self produced,Mix Energy,,0.7655189862426974
2017,CH4,Industry,Building,Water Heating,Self produced,Mix Energy,,2.9266500242811113
2017,CH4,Public,Building,Auxiliary Equipment,___,Natural Gas,Standard,0.36512025121886327
2017,CH4,Public,Building,Space Cooling,___,Natural Gas,Standard,0.21442084653294627
2017,CH4,Public,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.2309098600213064
2017,CH4,Public,Building,Space Heating,Furnace,Natural Gas,High,5.764174574279809e-06
2017,CH4,Public,Building,Space Heating,Furnace,Natural Gas,Standard,6.9136205671747435
2017,CH4,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.001156470066008201
2017,CH4,Public,Building,Water Heating,___,Kerosene,Standard,0.0005949917662733971
2017,CH4,Public,Building,Water Heating,___,Light Fuel Oil,Standard,0.015517343371181264
2017,CH4,Public,Building,Water Heating,___,Natural Gas,Standard,1.0003247229312897
2017,CH4,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,0.13171110261259728
2017,CH4,Residential,Building,Range,___,Natural Gas,Standard,0.08926321585033277
2017,CH4,Residential,Building,Space Heating,Furnace,Biomass,Standard,152.83282660893627
2017,CH4,Residential,Building,Space Heating,Furnace,Wood Pellet,Standard,0.331464333263491
2017,CH4,Residential,Building,Space Heating,Furnace,Kerosene,Standard,0.00024703287762361734
2017,CH4,Residential,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.5188694748445005
2017,CH4,Residential,Building,Space Heating,Furnace,Natural Gas,High,40.655902810358754
2017,CH4,Residential,Building,Space Heating,Furnace,Natural Gas,Medium,14.71202393760175
2017,CH4,Residential,Building,Space Heating,Furnace,Propane,Standard,0.0004946258300826834
2017,CH4,Residential,Building,Water Heating,___,Biomass,Standard,14.552099094446804
2017,CH4,Residential,Building,Water Heating,___,Wood Pellet,Standard,15.078444875290973
2017,CH4,Residential,Building,Water Heating,___,Kerosene,Standard,0.008965805937629058
2017,CH4,Residential,Building,Water Heating,___,Light Fuel Oil,Standard,0.06897519715951808
2017,CH4,Residential,Building,Water Heating,___,Natural Gas,Standard,15.659417909655584
2017,CH4,Residential,Building,Water Heating,___,Propane,Standard,0.022172051831611826
2017,CO2,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,128099.55387341711
2017,CO2,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,115435.04892802965
2017,CO2,Commercial,Building,Space Cooling,___,Natural Gas,Standard,6093.266170055284
2017,CO2,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,213.05393639592683
2017,CO2,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,194.93678848792445
2017,CO2,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,14535.707949105452
2017,CO2,Commercial,Building,Space Heating,Furnace,Natural Gas,High,136.71880466322557
2017,CO2,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,1798679.139313141
2017,CO2,Commercial,Building,Space Heating,Furnace,Propane,Standard,48758.108850274715
2017,CO2,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,453.92932082140027
2017,CO2,Commercial,Building,Water Heating,___,Kerosene,Standard,415.3212098714232
2017,CO2,Commercial,Building,Water Heating,___,Light Fuel Oil,Standard,16829.432563305752
2017,CO2,Commercial,Building,Water Heating,___,Natural Gas,Standard,286347.1456952506
2017,CO2,Commercial,Building,Water Heating,___,Propane,Standard,6187.167120194251
2017,CO2,Industry,Building,Industrial Processes,Self produced,Mix Energy,,629057.3186681359
2017,CO2,Industry,Building,Space Cooling,Self produced,Mix Energy,,1462.8980961515854
2017,CO2,Industry,Building,Space Heating,Self produced,Mix Energy,,40371.716520897266
2017,CO2,Industry,Building,Water Heating,Self produced,Mix Energy,,152426.79807866755
2017,CO2,Public,Building,Auxiliary Equipment,___,Natural Gas,Standard,18559.446313338183
2017,CO2,Public,Building,Space Cooling,___,Natural Gas,Standard,8248.209286946034
2017,CO2,Public,Building,Space Heating,Furnace,Light Fuel Oil,Standard,24449.801729790153
2017,CO2,Public,Building,Space Heating,Furnace,Natural Gas,High,0.09851211872452352
2017,CO2,Public,Building,Space Heating,Furnace,Natural Gas,Standard,351869.207524844
2017,CO2,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,64.03194401736272
2017,CO2,Public,Building,Water Heating,___,Kerosene,Standard,58.58382432993982
2017,CO2,Public,Building,Water Heating,___,Light Fuel Oil,Standard,1643.048158220302
