"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2018,N2O,Public,Space Heating,6.866984956606641
2018,N2O,Public,Water Heating,0.9320459231459166
2018,N2O,Residential,Clothe Dryer,0.0829971087069115
2018,N2O,Residential,Range,0.08444244909641906
2018,N2O,Residential,Space Heating,54.19522667058887
2018,N2O,Residential,Water Heating,26.349575846242743
2019,CH4,Commercial,Auxiliary Equipment,4.425683740023662
2019,CH4,Commercial,Space Cooling,0.14503573374409187
2019,CH4,Commercial,Space Heating,35.71621104036296
2019,CH4,Commercial,Water Heating,6.044295533212725
2019,CH4,Industry,Industrial Processes,12.64074558023555
2019,CH4,Industry,Space Cooling,0.0287355369022048
2019,CH4,Industry,Space Heating,0.7672934195880629
2019,CH4,Industry,Water Heating,2.93343384740325
2019,CH4,Public,Auxiliary Equipment,0.3696292868049403
2019,CH4,Public,Space Cooling,0.29078644615588123
2019,CH4,Public,Space Heating,7.244001922305979
2019,CH4,Public,Water Heating,0.9817272350174563
2019,CH4,Residential,Clothe Dryer,0.08774173491609358
2019,CH4,Residential,Range,0.08926968950560263
2019,CH4,Residential,Space Heating,211.69201277426427
2019,CH4,Residential,Water Heating,815.5243082910326
2019,CO2,Commercial,Auxiliary Equipment,246697.28321750285
2019,CO2,Commercial,Space Cooling,6503.558394142215
2019,CO2,Commercial,Space Heating,1825212.8229992231
2019,CO2,Commercial,Water Heating,308025.995126319
2019,CO2,Industry,Industrial Processes,630515.440940857
2019,CO2,Industry,Space Cooling,1466.2890181449377
2019,CO2,Industry,Space Heating,40465.29606796106
2019,CO2,Industry,Water Heating,152780.11549914384
2019,CO2,Public,Auxiliary Equipment,18677.96788383664
2019,CO2,Public,Space Cooling,11050.564431442835
2019,CO2,Public,Space Heating,378160.8540594849
2019,CO2,Public,Water Heating,48172.88562549517
2019,CO2,Residential,Clothe Dryer,4477.199878961749
2019,CO2,Residential,Range,4555.166859096697
2019,CO2,Residential,Space Heating,2891938.48855835
2019,CO2,Residential,Water Heating,953993.9302572367
2019,CO2e,Commercial,Auxiliary Equipment,250005.25510481148
2019,CO2e,Commercial,Space Cooling,6547.488538604903
2019,CO2e,Commercial,Space Heating,1837128.0515729364
2019,CO2e,Commercial,Water Heating,309987.8453901324
2019,CO2e,Industry,Industrial Processes,634196.8921529265
2019,CO2e,Industry,Space Cooling,1474.9927792817753
2019,CO2e,Industry,Space Heating,40722.75383023385
2019,CO2e,Industry,Water Heating,153772.1397983418
2019,CO2e,Public,Auxiliary Equipment,18789.94171915858
2019,CO2e,Public,Space Cooling,11138.641271188031
2019,CO2e,Public,Space Heating,380371.9322060694
2019,CO2e,Public,Water Heating,48473.6298479543
2019,CO2e,Residential,Clothe Dryer,4503.776139048361
2019,CO2e,Residential,Range,4582.20592423965
2019,CO2e,Residential,Space Heating,2912611.214540929
2019,CO2e,Residential,Water Heating,979237.252243376
2019,N2O,Commercial,Auxiliary Equipment,10.788699760966773
2019,N2O,Commercial,Space Cooling,0.13719595320155067
2019,N2O,Commercial,Space Heating,37.467074301560054
2019,N2O,Commercial,Water Heating,6.15744985777044
2019,N2O,Industry,Industrial Processes,11.46307233182896
2019,N2O,Industry,Space Cooling,0.027182264637220767
2019,N2O,Industry,Space Heating,0.8098812096021122
2019,N2O,Industry,Water Heating,3.122222108732974
2019,N2O,Public,Auxiliary Equipment,0.34970342382229336
2019,N2O,Public,Space Cooling,0.2750682026037861
2019,N2O,Public,Space Heating,6.909241967167251
2019,N2O,Public,Water Heating,0.9400266796099308
2019,N2O,Residential,Clothe Dryer,0.0829989384341426
2019,N2O,Residential,Range,0.0844443008836782
2019,N2O,Residential,Space Heating,54.45367018228272
2019,N2O,Residential,Water Heating,27.23930037593169
