GHG emissions per sector per period (metric ton)
t_periods,emissions_comm,main_sector,Emisions
2040,N2O,Transportation,121.51914937039082
2040,N2O,Waste,114.85507904768656
2045,CH4,Building,12.09548220065163
2045,CH4,Energy,12.857933388552988
2045,CH4,Transportation,26.146520583944955
2045,CH4,Waste,6615.640987350843
2045,CO2,Building,577381.4449050965
2045,CO2,Transportation,1602.2044547176308
2045,CO2,Waste,114659.92151864596
2045,CO2e,Building,580991.7873647289
2045,CO2e,Energy,1149506.6196780817
2045,CO2e,Transportation,41003.83881591508
2045,CO2e,Waste,228384.7936160331
2045,N2O,Building,11.262876957780325
2045,N2O,Energy,12.162909962144715
2045,N2O,Transportation,130.44771894146285
2045,N2O,Waste,117.43336121285273
2050,CH4,Building,6.914056268086568
2050,CH4,Energy,13.55331172569449
2050,CH4,Transportation,26.653593187763274
2050,CH4,Waste,5350.384786315899
2050,CO2,Building,355275.5012347355
2050,CO2,Transportation,18828.33242665513
2050,CO2,Waste,117356.02052717238
2050,CO2e,Building,361247.6398486223
2050,CO2e,Energy,1174646.1763351758
2050,CO2e,Transportation,59728.547386526014
2050,CO2e,Waste,204356.42744267185
2050,N2O,Building,19.553501450527364
2050,N2O,Energy,12.820700281062372
2050,N2O,Transportation,135.4411109876448
2050,N2O,Waste,119.87183749492615
