regions,emis_comm,input_comm,tech,vintage,output_comm,emis_act,emis_act_units,emis_act_notes
TO,CO2,SLDWASNGA,SLDWASLDFBRBUPPUBSTDMENE_21,2024,SEESLDWASLDFBRBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBRBUPPUBSTDMENE_17,2024,SEESLDWASLDFBRBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFTKBUPPUBSTDMENE_23,2024,SEESLDWASLDFTKBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFTKBUPPUBSTDMENE_21,2024,SEESLDWASLDFTKBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFTKBUPPUBSTDMENE_17,2024,SEESLDWASLDFTKBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFAHBUPPUBSTDMENE_23,2024,SEESLDWASLDFAHBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Arbor HillsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFAHBUPPUBSTDMENE_21,2024,SEESLDWASLDFAHBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Arbor HillsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFAHBUPPUBSTDMENE_17,2024,SEESLDWASLDFAHBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Arbor HillsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFCFBUPPUBSTDMENE_23,2024,SEESLDWASLDFCFBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Carleton farmsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFCFBUPPUBSTDMENE_21,2024,SEESLDWASLDFCFBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Carleton farmsBiogas upgradePublicStandard Efficiency
