"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2019,CH4,Commercial,Space Cooling,0.14542415917700097
2019,CH4,Commercial,Space Heating,35.72066221985397
2019,CH4,Commercial,Water Heating,6.049616991565855
2019,CH4,Industry,Industrial Processes,12.640745590074898
2019,CH4,Industry,Space Cooling,0.0287355367344744
2019,CH4,Industry,Space Heating,0.767293419898253
2019,CH4,Industry,Water Heating,2.933433846861009
2019,CH4,Public,Auxiliary Equipment,0.3696499887808353
2019,CH4,Public,Space Cooling,0.2913351730503182
2019,CH4,Public,Space Heating,7.24434597932283
2019,CH4,Public,Water Heating,0.9834748728946789
2019,CH4,Residential,Clothe Dryer,0.08777983226583029
2019,CH4,Residential,Range,0.08933360211692551
2019,CH4,Residential,Space Heating,211.99377980993273
2019,CH4,Residential,Water Heating,817.8379766763122
2019,CO2,Commercial,Auxiliary Equipment,246807.66525276555
2019,CO2,Commercial,Space Cooling,6530.322578584167
2019,CO2,Commercial,Space Heating,1825644.1164416242
2019,CO2,Commercial,Water Heating,308485.86744020507
2019,CO2,Industry,Industrial Processes,630515.4410376382
2019,CO2,Industry,Space Cooling,1466.2890095861535
2019,CO2,Industry,Space Heating,40465.296092913064
2019,CO2,Industry,Water Heating,152780.1154384275
2019,CO2,Public,Auxiliary Equipment,18681.7609554457
2019,CO2,Public,Space Cooling,11121.620537919182
2019,CO2,Public,Space Heating,378224.1240779776
2019,CO2,Public,Water Heating,48257.81849274017
2019,CO2,Residential,Clothe Dryer,4479.143873456423
2019,CO2,Residential,Range,4558.428129642038
2019,CO2,Residential,Space Heating,2892355.097404277
2019,CO2,Residential,Water Heating,954681.5688558428
2019,CO2e,Commercial,Auxiliary Equipment,250117.23213169997
2019,CO2e,Commercial,Space Cooling,6574.370373923152
2019,CO2e,Commercial,Space Heating,1837562.2587914616
2019,CO2e,Commercial,Water Heating,310450.609871262
2019,CO2e,Industry,Industrial Processes,634196.892250435
2019,CO2e,Industry,Space Cooling,1474.992770672187
2019,CO2e,Industry,Space Heating,40722.75385476802
2019,CO2e,Industry,Water Heating,153772.13973616736
2019,CO2e,Public,Auxiliary Equipment,18793.74116803923
2019,CO2e,Public,Space Cooling,11209.863582535372
2019,CO2e,Public,Space Heating,380435.3126928139
2019,CO2e,Public,Water Heating,48559.01089744455
2019,CO2e,Residential,Clothe Dryer,4505.731672921373
2019,CO2e,Residential,Range,4585.48655339675
2019,CO2e,Residential,Space Heating,2913035.860211145
2019,CO2e,Residential,Water Heating,979984.3017006733
2019,N2O,Commercial,Auxiliary Equipment,10.79393159108576
2019,N2O,Commercial,Space Cooling,0.13756338253782166
2019,N2O,Commercial,Space Heating,37.47653840006761
2019,N2O,Commercial,Water Heating,6.166780114878783
2019,N2O,Industry,Industrial Processes,11.463072333572862
2019,N2O,Industry,Space Cooling,0.027182264478556872
2019,N2O,Industry,Space Heating,0.8098812081780064
2019,N2O,Industry,Water Heating,3.122222103878463
2019,N2O,Public,Auxiliary Equipment,0.3497233651984377
2019,N2O,Public,Space Cooling,0.27558726839644226
2019,N2O,Public,Space Heating,6.909588420370761
2019,N2O,Public,Water Heating,0.9414074911864754
2019,N2O,Residential,Clothe Dryer,0.08303497646767735
2019,N2O,Residential,Range,0.08450475875925391
2019,N2O,Residential,Space Heating,54.45937392905682
2019,N2O,Residential,Water Heating,27.2756219282824
2020,CH4,Commercial,Auxiliary Equipment,4.440448955654999
2020,CH4,Commercial,Space Cooling,0.36948268942203805
2020,CH4,Commercial,Space Heating,35.93598279646101
2020,CH4,Commercial,Water Heating,6.103684996351854
2020,CH4,Industry,Industrial Processes,12.655362009083664
2020,CH4,Industry,Space Cooling,0.02876876346484039
2020,CH4,Industry,Space Heating,0.7681806367200275
2020,CH4,Industry,Water Heating,2.9368257589862528
2020,CH4,Public,Auxiliary Equipment,0.3730800835756356
2020,CH4,Public,Space Cooling,0.5031766245259632
2020,CH4,Public,Space Heating,7.288582873558625
2020,CH4,Public,Water Heating,0.9929380632678787
2020,CH4,Residential,Clothe Dryer,0.08778328154401123
2020,CH4,Residential,Range,0.08933958552354379
2020,CH4,Residential,Space Heating,212.08142421101542
2020,CH4,Residential,Water Heating,872.5598768702108
2020,CO2,Commercial,Auxiliary Equipment,244133.28136897233
2020,CO2,Commercial,Space Cooling,12824.49141628062
2020,CO2,Commercial,Space Heating,1839949.2846871698
2020,CO2,Commercial,Water Heating,314509.6122960995
2020,CO2,Industry,Industrial Processes,631244.5022953001
2020,CO2,Industry,Space Cooling,1467.9844708545588
2020,CO2,Industry,Space Heating,40512.08587431965
2020,CO2,Industry,Water Heating,152956.77417801553
2020,CO2,Public,Auxiliary Equipment,17597.92067901572
2020,CO2,Public,Space Cooling,18218.925925634787
2020,CO2,Public,Space Heating,380935.93181935244
2020,CO2,Public,Water Heating,49431.7162484275
2020,CO2,Residential,Clothe Dryer,4479.319879867385
2020,CO2,Residential,Range,4558.733445093262
2020,CO2,Residential,Space Heating,2884388.4752299087
2020,CO2,Residential,Water Heating,970881.4881056687
2020,CO2e,Commercial,Auxiliary Equipment,247454.56950861253
2020,CO2e,Commercial,Space Cooling,12936.404694754912
2020,CO2e,Commercial,Space Heating,1851989.630661096
2020,CO2e,Commercial,Water Heating,316501.19575955585
2020,CO2e,Industry,Industrial Processes,634930.210348257
2020,CO2e,Industry,Space Cooling,1476.698296047814
2020,CO2e,Industry,Space Heating,40769.84133305465
2020,CO2e,Industry,Water Heating,153949.9455475559
2020,CO2e,Public,Auxiliary Equipment,17710.951706679803
2020,CO2e,Public,Space Cooling,18371.333999853545
2020,CO2e,Public,Space Heating,383160.5944869815
2020,CO2e,Public,Water Heating,49735.86573330474
2020,CO2e,Residential,Clothe Dryer,4505.908724090729
2020,CO2e,Residential,Range,4585.793681173324
2020,CO2e,Residential,Space Heating,2904982.599361514
2020,CO2e,Residential,Water Heating,997588.6348947125
2020,N2O,Commercial,Auxiliary Equipment,10.832344669702268
2020,N2O,Commercial,Space Cooling,0.3495105436121752
2020,N2O,Commercial,Space Heating,37.87144407786042
2020,N2O,Commercial,Water Heating,6.2530405319900995
2020,N2O,Industry,Industrial Processes,11.476327015993377
2020,N2O,Industry,Space Cooling,0.027213695169443625
