GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2018,CO2,Commercial,Retail Trade,Old,349405.477415086
2018,CO2,Commercial,Transportation and Warehousing,Old,60434.55188834355
2018,CO2,Commercial,Wholesale Trade,Old,216686.60678836147
2018,CO2,Industry,,,824272.9366556784
2018,CO2,Public,Hospital,Old,94829.90643253976
2018,CO2,Public,Municipality,Old,75627.1101674763
2018,CO2,Public,Post-Secondary Institution,Old,141531.29833351186
2018,CO2,Public,School board,Old,141744.60619854054
2018,CO2,Residential,Apartments,Old,1427532.3721181224
2018,CO2,Residential,Single Attached,Old,726771.1758520458
2018,CO2,Residential,Single Detached,Old,1639672.4734752912
2018,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,92957.62817478957
2018,CO2e,Commercial,Accommodation and Food Services,Old,108756.50574982972
2018,CO2e,Commercial,Educational Services,Old,276763.7378954457
2018,CO2e,Commercial,Health Care and Social Assistance,Old,174210.47855313262
2018,CO2e,Commercial,Information and Cultural Industries,Old,13532.455369812045
2018,CO2e,Commercial,Offices,Old,980392.5739235868
2018,CO2e,Commercial,Other Services,Old,112997.50386851074
2018,CO2e,Commercial,Retail Trade,Old,351742.487946856
2018,CO2e,Commercial,Transportation and Warehousing,Old,60858.79389805899
2018,CO2e,Commercial,Wholesale Trade,Old,218182.65632979517
2018,CO2e,Industry,,,829206.8620181055
2018,CO2e,Public,Hospital,Old,95359.30197486533
2018,CO2e,Public,Municipality,Old,76087.96296375457
2018,CO2e,Public,Post-Secondary Institution,Old,142372.06063952902
2018,CO2e,Public,School board,Old,142604.66556358628
2018,CO2e,Residential,Apartments,Old,1445684.8676586654
2018,CO2e,Residential,Single Attached,Old,735227.6281674842
2018,CO2e,Residential,Single Detached,Old,1657578.91173526
2018,N2O,Commercial,"Arts, Entertainment and Recreation",Old,1.98303378194467
2018,N2O,Commercial,Accommodation and Food Services,Old,2.336696318448929
2018,N2O,Commercial,Educational Services,Old,5.913743959682182
2018,N2O,Commercial,Health Care and Social Assistance,Old,3.808608989527692
2018,N2O,Commercial,Information and Cultural Industries,Old,0.30327791655922476
2018,N2O,Commercial,Offices,Old,23.89873456035584
2018,N2O,Commercial,Other Services,Old,2.351303768802561
2018,N2O,Commercial,Retail Trade,Old,7.363993247106766
2018,N2O,Commercial,Transportation and Warehousing,Old,1.3394478518192252
2018,N2O,Commercial,Wholesale Trade,Old,4.721356680585539
2018,N2O,Industry,,,15.40452513522827
2018,N2O,Public,Hospital,Old,1.656384091566777
2018,N2O,Public,Municipality,Old,1.4392700829244935
2018,N2O,Public,Post-Secondary Institution,Old,2.627348349597033
2018,N2O,Public,School board,Old,2.686012978406097
2018,N2O,Residential,Apartments,Old,31.112544211050814
2018,N2O,Residential,Single Attached,Old,15.44906664136046
2018,N2O,Residential,Single Detached,Old,34.21610823916852
2019,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8439738273586108
2019,CH4,Commercial,Accommodation and Food Services,Old,2.1488684164029515
2019,CH4,Commercial,Educational Services,Old,5.36926562107231
2019,CH4,Commercial,Health Care and Social Assistance,Old,3.4175184463115973
2019,CH4,Commercial,Information and Cultural Industries,Old,0.27905961145109837
2019,CH4,Commercial,Offices,Old,18.73090651885028
2019,CH4,Commercial,Other Services,Old,2.2393089253553136
2019,CH4,Commercial,Retail Trade,Old,6.827121868323005
2019,CH4,Commercial,Transportation and Warehousing,Old,1.2134591841551203
2019,CH4,Commercial,Wholesale Trade,Old,4.273614512791081
2019,CH4,Industry,,,16.370208393568632
2019,CH4,Public,Hospital,Old,1.7141208184960621
2019,CH4,Public,Municipality,Old,1.546201590353029
2019,CH4,Public,Post-Secondary Institution,Old,2.764178229473967
2019,CH4,Public,School board,Old,2.8643053757256025
2019,CH4,Residential,Apartments,Old,475.6444555860764
2019,CH4,Residential,Single Attached,Old,185.41277747758477
2019,CH4,Residential,Single Detached,Old,368.9516368569668
2019,CO2,Commercial,"Arts, Entertainment and Recreation",Old,93222.3991022518
2019,CO2,Commercial,Accommodation and Food Services,Old,108951.95200929703
2019,CO2,Commercial,Educational Services,Old,276589.50314366637
2019,CO2,Commercial,Health Care and Social Assistance,Old,174658.910913202
2019,CO2,Commercial,Information and Cultural Industries,Old,13564.984105432355
2019,CO2,Commercial,Offices,Old,976194.1566000051
2019,CO2,Commercial,Other Services,Old,113483.70744572657
2019,CO2,Commercial,Retail Trade,Old,351335.7413500024
2019,CO2,Commercial,Transportation and Warehousing,Old,61275.86211650793
2019,CO2,Commercial,Wholesale Trade,Old,218190.75492708693
2019,CO2,Industry,,,825227.141578565
2019,CO2,Public,Hospital,Old,95243.58473811753
2019,CO2,Public,Municipality,Old,76542.11802773506
2019,CO2,Public,Post-Secondary Institution,Old,141921.56343268882
2019,CO2,Public,School board,Old,142578.05786554125
2019,CO2,Residential,Apartments,Old,1459593.81833495
2019,CO2,Residential,Single Attached,Old,736430.4319936287
2019,CO2,Residential,Single Detached,Old,1660049.9879346394
2019,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,93862.35566138971
2019,CO2e,Commercial,Accommodation and Food Services,Old,109704.585266741
2019,CO2e,Commercial,Educational Services,Old,278484.0791943048
2019,CO2e,Commercial,Health Care and Social Assistance,Old,175884.31410311806
2019,CO2e,Commercial,Information and Cultural Industries,Old,13662.844032208226
