periods,group_name,min_act_g,tech_desc
2037,BAP-ENE-2-PUBBDG,4570.016429,
2037,BAP-ENE-2-RESBDG,25751.99149,
2038,BAP-ENE-2-FRETRA,4893.710364,
2038,BAP-ENE-2-PASTRA,14108.47115,
2038,BAP-ENE-2-PUBTRA,295.5380491,
2038,BAP-ENE-2-COMBDG,22220.97281,
2038,BAP-ENE-2-INDBDG,4420.223368,
2038,BAP-ENE-2-PUBBDG,3656.013143,
2038,BAP-ENE-2-RESBDG,20601.59319,
2039,BAP-ENE-2-FRETRA,3670.282773,
2039,BAP-ENE-2-PASTRA,10581.35336,
2039,BAP-ENE-2-PUBTRA,221.6535368,
2039,BAP-ENE-2-COMBDG,16665.72961,
2039,BAP-ENE-2-INDBDG,3315.167526,
2039,BAP-ENE-2-PUBBDG,2742.009857,
2039,BAP-ENE-2-RESBDG,15451.19489,
2040,BAP-ENE-2-FRETRA,2446.855182,
2040,BAP-ENE-2-PASTRA,7054.235574,
2040,BAP-ENE-2-PUBTRA,147.7690245,
2040,BAP-ENE-2-COMBDG,11110.4864,
2040,BAP-ENE-2-INDBDG,2210.111684,
2040,BAP-ENE-2-PUBBDG,1828.006571,
2040,BAP-ENE-2-RESBDG,10300.79659,
2041,BAP-ENE-2-FRETRA,1223.427591,
2041,BAP-ENE-2-PASTRA,3527.117787,
2041,BAP-ENE-2-PUBTRA,73.88451226,
2041,BAP-ENE-2-COMBDG,5555.243202,
2041,BAP-ENE-2-INDBDG,1105.055842,
2041,BAP-ENE-2-PUBBDG,914.0032857,
2041,BAP-ENE-2-RESBDG,5150.398297,
2042,BAP-ENE-2-FRETRA,-7.81E-12,
2042,BAP-ENE-2-PASTRA,-2.25E-11,
2042,BAP-ENE-2-PUBTRA,-4.72E-13,
2042,BAP-ENE-2-COMBDG,-3.55E-11,
2042,BAP-ENE-2-INDBDG,-7.05E-12,
2042,BAP-ENE-2-PUBBDG,-5.83E-12,
2042,BAP-ENE-2-RESBDG,-3.29E-11,
2043,BAP-ENE-2-FRETRA,0,
2043,BAP-ENE-2-PASTRA,0,
2043,BAP-ENE-2-PUBTRA,0,
2043,BAP-ENE-2-COMBDG,0,
2043,BAP-ENE-2-INDBDG,0,
2043,BAP-ENE-2-PUBBDG,0,
2043,BAP-ENE-2-RESBDG,0,
2044,BAP-ENE-2-FRETRA,0,
2044,BAP-ENE-2-PASTRA,0,
2044,BAP-ENE-2-PUBTRA,0,
2044,BAP-ENE-2-COMBDG,0,
2044,BAP-ENE-2-INDBDG,0,
2044,BAP-ENE-2-PUBBDG,0,
2044,BAP-ENE-2-RESBDG,0,
2045,BAP-ENE-2-FRETRA,0,
2045,BAP-ENE-2-PASTRA,0,
2045,BAP-ENE-2-PUBTRA,0,
2045,BAP-ENE-2-COMBDG,0,
2045,BAP-ENE-2-INDBDG,0,
2045,BAP-ENE-2-PUBBDG,0,
2045,BAP-ENE-2-RESBDG,0,
2046,BAP-ENE-2-FRETRA,0,
2046,BAP-ENE-2-PASTRA,0,
2046,BAP-ENE-2-PUBTRA,0,
2046,BAP-ENE-2-COMBDG,0,
2046,BAP-ENE-2-INDBDG,0,
2046,BAP-ENE-2-PUBBDG,0,
2046,BAP-ENE-2-RESBDG,0,
2047,BAP-ENE-2-FRETRA,0,
2047,BAP-ENE-2-PASTRA,0,
2047,BAP-ENE-2-PUBTRA,0,
2047,BAP-ENE-2-COMBDG,0,
2047,BAP-ENE-2-INDBDG,0,
2047,BAP-ENE-2-PUBBDG,0,
2047,BAP-ENE-2-RESBDG,0,
2048,BAP-ENE-2-FRETRA,0,
2048,BAP-ENE-2-PASTRA,0,
2048,BAP-ENE-2-PUBTRA,0,
2048,BAP-ENE-2-COMBDG,0,
2048,BAP-ENE-2-INDBDG,0,
2048,BAP-ENE-2-PUBBDG,0,
2048,BAP-ENE-2-RESBDG,0,
2049,BAP-ENE-2-FRETRA,0,
2049,BAP-ENE-2-PASTRA,0,
2049,BAP-ENE-2-PUBTRA,0,
2049,BAP-ENE-2-COMBDG,0,
2049,BAP-ENE-2-INDBDG,0,
2049,BAP-ENE-2-PUBBDG,0,
2049,BAP-ENE-2-RESBDG,0,
2050,BAP-ENE-2-FRETRA,0,
2050,BAP-ENE-2-PASTRA,0,
2050,BAP-ENE-2-PUBTRA,0,
2050,BAP-ENE-2-COMBDG,0,
2050,BAP-ENE-2-INDBDG,0,
2050,BAP-ENE-2-PUBBDG,0,
2050,BAP-ENE-2-RESBDG,0,
