regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2023,COMBDGAFSOldSHFUR___STDLFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDPRO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFURLARSTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFURMEDSTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFURSMASTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHHEP___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHHEP___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHHEP___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHPLT___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHPLT1000WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHPLT1500WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHPLT500WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSLLED___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWH______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWH______STDHFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWH______STDKER_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWH______STDLFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWH______STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWH______STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWHHEP___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWHSYS___STDBMA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWHSYS___STDBWP_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWHSYS___STDHFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWHSYS___STDKER_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldWHSYS___STDLFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldAE______STDBMA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldAE______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldAE______STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldAE______STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldAE______STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldAE______STDPRO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldAM______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLIFLC___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLIFLC___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLIFLU___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLIFLUT5STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLIFLUT8STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLIHAL___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLIHAL100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLIINC___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLIINC100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLILED___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldLILED___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSC______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSC______STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSCCE___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
