regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2022,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2022,ADEMLDITRAINTAIR______,424.397948161015,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2022,ADEMLDITRAINTRAI______,325.7995550802802,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2023,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2023,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2023,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2023,ADEMLDITRADOMAIR______,679.4488032556792,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2023,ADEMLDITRADOMRAI______,521.5956362648209,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2023,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2023,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2023,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2023,ADEMLDITRAINTAIR______,430.13305556859626,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2023,ADEMLDITRAINTRAI______,330.2022517705542,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2024,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2024,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2024,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2024,ADEMLDITRADOMAIR______,688.5081206324215,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2024,ADEMLDITRADOMRAI______,528.5502447483518,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2024,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2024,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2024,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2024,ADEMLDITRAINTAIR______,435.86816297617753,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2024,ADEMLDITRAINTRAI______,334.60494846082827,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2025,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2025,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2025,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2025,ADEMLDITRADOMAIR______,697.567438009164,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2025,ADEMLDITRADOMRAI______,535.5048532318827,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2025,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2025,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2025,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2025,ADEMLDITRAINTAIR______,441.6032703837588,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2025,ADEMLDITRAINTRAI______,339.00764515110234,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2026,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2026,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2026,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2026,ADEMLDITRADOMAIR______,706.6267553859063,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2026,ADEMLDITRADOMRAI______,542.4594617154137,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2026,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2026,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2026,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2026,ADEMLDITRAINTAIR______,447.3383777913401,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2026,ADEMLDITRAINTRAI______,343.4103418413764,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2027,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
