regions,periods,tech,maxact,maxact_units,maxact_notes
TO,2040,RESBDGSATOldSHPLT500WSTDELC_23,0,,
TO,2040,RESBDGSATOldSHPST___HIGBWP_23,0,,
TO,2040,RESBDGSATOldSHPST___STDBWP_23,0,,
TO,2040,RESBDGSATOldSHSTV___HIGBMA_23,0,,
TO,2040,RESBDGSATOldSHSTV___STDBMA_23,0,,
TO,2040,RESBDGSATOldWH______STDBMA_16,0,,
TO,2040,RESBDGSATOldWH______STDBWP_16,0,,
TO,2040,RESBDGSATOldWH______STDELC_16,0,,
TO,2040,RESBDGSATOldWH______STDKER_16,0,,
TO,2040,RESBDGSATOldWH______STDLFO_16,0,,
TO,2040,RESBDGSATOldWH______STDNGA_16,0,,
TO,2040,RESBDGSATOldWH______STDPRO_16,0,,
TO,2040,RESBDGSATOldWHSTHBCKSTDELC_23,0,,
TO,2040,RESBDGSATOldWHSTHBCKSTDNGA_23,0,,
TO,2040,RESBDGSATOldWHSYS___STDBMA_23,0,,
TO,2040,RESBDGSATOldWHSYS___STDBWP_23,0,,
TO,2040,RESBDGSATOldWHSYS___STDKER_23,0,,
TO,2040,RESBDGSATOldWHSYS___STDLFO_23,0,,
TO,2040,RESBDGSATOldWHSYS___STDPRO_23,0,,
TO,2040,RESBDGSATOldWHWTK___ESRNGA_23,0,,
TO,2040,RESBDGSATOldWHWTK___HIGELC_23,0,,
TO,2040,RESBDGSATOldWHWTK___HIGNGA_23,0,,
TO,2040,RESBDGSATOldWHWTK___STDELC_23,0,,
TO,2040,RESBDGSATOldWHWTK___STDNGA_23,0,,
TO,2040,RESBDGSDENewSHBOI___STDHH2_23,0,,
TO,2040,RESBDGSDENewSHFIR___HIGPRO_23,0,,
TO,2040,RESBDGSDENewSHFIR___STDPRO_23,0,,
TO,2040,RESBDGSDENewSHFUR___ESRNGA_23,0,,
TO,2040,RESBDGSDENewSHFUR___ESRPRO_23,0,,
TO,2040,RESBDGSDENewSHFUR___HIGLFO_23,0,,
TO,2040,RESBDGSDENewSHFUR___HIGNGA_16,0,,
TO,2040,RESBDGSDENewSHFUR___HIGNGA_23,0,,
TO,2040,RESBDGSDENewSHFUR___HIGPRO_23,0,,
TO,2040,RESBDGSDENewSHFUR___MEDNGA_16,0,,
TO,2040,RESBDGSDENewSHFUR___STDBMA_16,0,,
TO,2040,RESBDGSDENewSHFUR___STDBWP_16,0,,
TO,2040,RESBDGSDENewSHFUR___STDELC_23,0,,
TO,2040,RESBDGSDENewSHFUR___STDKER_16,0,,
TO,2040,RESBDGSDENewSHFUR___STDKER_23,0,,
TO,2040,RESBDGSDENewSHFUR___STDLFO_16,0,,
TO,2040,RESBDGSDENewSHFUR___STDLFO_23,0,,
TO,2040,RESBDGSDENewSHFUR___STDNGA_23,0,,
TO,2040,RESBDGSDENewSHFUR___STDPRO_16,0,,
TO,2040,RESBDGSDENewSHFUR___STDPRO_23,0,,
TO,2040,RESBDGSDENewSHHEP___STDNGA_23,0,,
TO,2040,RESBDGSDENewSHPLT___STDELC_16,0,,
TO,2040,RESBDGSDENewSHPLT1000WSTDELC_23,0,,
TO,2040,RESBDGSDENewSHPLT1500WSTDELC_23,0,,
TO,2040,RESBDGSDENewSHPLT500WSTDELC_23,0,,
TO,2040,RESBDGSDENewSHPST___HIGBWP_23,0,,
