regions,periods,tech,minact,minact_units,minact_notes
TO,2016,COMBDGEDSOldLIFLC___STDELC_16,0.0001876,,
TO,2016,COMBDGEDSOldLIFLU___STDELC_16,0.0013724,,
TO,2016,COMBDGEDSOldLIHAL___STDELC_16,0.0004027,,
TO,2016,COMBDGEDSOldLIINC___STDELC_16,0.0012935,,
TO,2016,COMBDGEDSOldLILED___STDELC_16,0.0000060,,
TO,2016,COMBDGEDSOldSC______STDELC_16,0.0828361,,
TO,2016,COMBDGEDSOldSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSOldSHHEP___STDELC_16,7.2543324,,
TO,2016,COMBDGEDSOldSHPLT___STDELC_16,7.6520096,,
TO,2016,COMBDGEDSOldSLLED___STDELC_16,0.0001296,,
TO,2016,COMBDGEDSOldWH______STDELC_16,0.3317591,,
TO,2016,COMBDGHLCNewAE______STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewAM______STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewLIFLC___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewLIFLU___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewLIHAL___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewLIINC___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewLILED___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewSC______STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewSHHEP___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewSHPLT___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCNewWH______STDELC_16,0.0000000,,
TO,2016,COMBDGHLCOldAE______STDELC_16,0.1910692,,
TO,2016,COMBDGHLCOldAM______STDELC_16,0.0315819,,
TO,2016,COMBDGHLCOldLIFLC___STDELC_16,0.0001876,,
TO,2016,COMBDGHLCOldLIFLU___STDELC_16,0.0013720,,
TO,2016,COMBDGHLCOldLIHAL___STDELC_16,0.0004026,,
TO,2016,COMBDGHLCOldLIINC___STDELC_16,0.0012931,,
TO,2016,COMBDGHLCOldLILED___STDELC_16,0.0000060,,
TO,2016,COMBDGHLCOldSC______STDELC_16,0.0847458,,
TO,2016,COMBDGHLCOldSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGHLCOldSHHEP___STDELC_16,3.9999891,,
TO,2016,COMBDGHLCOldSHPLT___STDELC_16,4.2192656,,
TO,2016,COMBDGHLCOldSLLED___STDELC_16,0.0001290,,
TO,2016,COMBDGHLCOldWH______STDELC_16,0.3323654,,
TO,2016,COMBDGICINewAE______STDELC_16,0.0000000,,
TO,2016,COMBDGICINewAM______STDELC_16,0.0000000,,
TO,2016,COMBDGICINewLIFLC___STDELC_16,0.0000000,,
TO,2016,COMBDGICINewLIFLU___STDELC_16,0.0000000,,
TO,2016,COMBDGICINewLIHAL___STDELC_16,0.0000000,,
TO,2016,COMBDGICINewLIINC___STDELC_16,0.0000000,,
TO,2016,COMBDGICINewLILED___STDELC_16,0.0000000,,
TO,2016,COMBDGICINewSC______STDELC_16,0.0000000,,
TO,2016,COMBDGICINewSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGICINewSHHEP___STDELC_16,0.0000000,,
TO,2016,COMBDGICINewSHPLT___STDELC_16,0.0000000,,
TO,2016,COMBDGICINewSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGICINewWH______STDELC_16,0.0000000,,
TO,2016,COMBDGICIOldAE______STDELC_16,0.0678345,,
TO,2016,COMBDGICIOldAM______STDELC_16,0.0134084,,
TO,2016,COMBDGICIOldLIFLC___STDELC_16,0.0001844,,
TO,2016,COMBDGICIOldLIFLU___STDELC_16,0.0013485,,
TO,2016,COMBDGICIOldLIHAL___STDELC_16,0.0003957,,
TO,2016,COMBDGICIOldLIINC___STDELC_16,0.0012710,,
TO,2016,COMBDGICIOldLILED___STDELC_16,0.0000059,,
TO,2016,COMBDGICIOldSC______STDELC_16,0.0312871,,
TO,2016,COMBDGICIOldSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGICIOldSHHEP___STDELC_16,0.3632535,,
TO,2016,COMBDGICIOldSHPLT___STDELC_16,0.3831668,,
TO,2016,COMBDGICIOldSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGICIOldWH______STDELC_16,0.0149743,,
TO,2016,COMBDGOFFNewAE______STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewAM______STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewLIFLC___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewLIFLU___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewLIHAL___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewLIINC___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewLILED___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewSC______STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewSHHEP___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewSHPLT___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFNewWH______STDELC_16,0.0000000,,
TO,2016,COMBDGOFFOldAE______STDELC_16,0.1713861,,
TO,2016,COMBDGOFFOldAM______STDELC_16,0.0373569,,
TO,2016,COMBDGOFFOldLIFLC___STDELC_16,0.0001877,,
TO,2016,COMBDGOFFOldLIFLU___STDELC_16,0.0013732,,
TO,2016,COMBDGOFFOldLIHAL___STDELC_16,0.0004030,,
TO,2016,COMBDGOFFOldLIINC___STDELC_16,0.0012942,,
TO,2016,COMBDGOFFOldLILED___STDELC_16,0.0000060,,
TO,2016,COMBDGOFFOldSC______STDELC_16,0.0922232,,
TO,2016,COMBDGOFFOldSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGOFFOldSHHEP___STDELC_16,25.4128684,,
TO,2016,COMBDGOFFOldSHPLT___STDELC_16,26.8059835,,
TO,2016,COMBDGOFFOldSLLED___STDELC_16,0.0001313,,
TO,2016,COMBDGOFFOldWH______STDELC_16,0.4851560,,
TO,2016,COMBDGOTSNewAE______STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewAM______STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewLIFLC___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewLIFLU___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewLIHAL___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewLIINC___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewLILED___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewSC______STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewSHHEP___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewSHPLT___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSNewWH______STDELC_16,0.0000000,,
TO,2016,COMBDGOTSOldAE______STDELC_16,0.1746171,,
TO,2016,COMBDGOTSOldAM______STDELC_16,0.0307278,,
TO,2016,COMBDGOTSOldLIFLC___STDELC_16,0.0001874,,
TO,2016,COMBDGOTSOldLIFLU___STDELC_16,0.0013709,,
TO,2016,COMBDGOTSOldLIHAL___STDELC_16,0.0004023,,
TO,2016,COMBDGOTSOldLIINC___STDELC_16,0.0012921,,
TO,2016,COMBDGOTSOldLILED___STDELC_16,0.0000060,,
TO,2016,COMBDGOTSOldSC______STDELC_16,0.0812819,,
TO,2016,COMBDGOTSOldSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGOTSOldSHHEP___STDELC_16,2.9935238,,
TO,2016,COMBDGOTSOldSHPLT___STDELC_16,3.1576266,,
TO,2016,COMBDGOTSOldSLLED___STDELC_16,0.0001293,,
TO,2016,COMBDGOTSOldWH______STDELC_16,0.1735274,,
TO,2016,COMBDGRTTNewAE______STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewAM______STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewLIFLC___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewLIFLU___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewLIHAL___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewLIINC___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewLILED___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewSC______STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewSHHEP___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewSHPLT___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTNewWH______STDELC_16,0.0000000,,
TO,2016,COMBDGRTTOldAE______STDELC_16,0.1919202,,
TO,2016,COMBDGRTTOldAM______STDELC_16,0.0332604,,
TO,2016,COMBDGRTTOldLIFLC___STDELC_16,0.0001877,,
TO,2016,COMBDGRTTOldLIFLU___STDELC_16,0.0013728,,
TO,2016,COMBDGRTTOldLIHAL___STDELC_16,0.0004029,,
TO,2016,COMBDGRTTOldLIINC___STDELC_16,0.0012939,,
TO,2016,COMBDGRTTOldLILED___STDELC_16,0.0000060,,
TO,2016,COMBDGRTTOldSC______STDELC_16,0.0892690,,
TO,2016,COMBDGRTTOldSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGRTTOldSHHEP___STDELC_16,9.6344232,,
TO,2016,COMBDGRTTOldSHPLT___STDELC_16,10.1625753,,
TO,2016,COMBDGRTTOldSLLED___STDELC_16,0.0001305,,
TO,2016,COMBDGRTTOldWH______STDELC_16,0.4439956,,
TO,2016,COMBDGTAWNewAE______STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewAM______STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewLIFLC___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewLIFLU___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewLIHAL___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewLIINC___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewLILED___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewSC______STDELC_16,0.0000000,,
