regions,tech,c2a,c2a_notes
TO,COMBDGAFSOldAE______STDNGA_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,COMBDGOTSOldAE______STDNGA_EX,31.536,CommercialBuildingOther ServicesOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,COMBDGWSTOldAE______STDPRO_EX,31.536,CommercialBuildingWholesale TradeOldAuxiliary EquipmentStandard EfficiencyPropane
TO,COMBDGRTTOldAE______STDPRO_EX,31.536,CommercialBuildingRetail TradeOldAuxiliary EquipmentStandard EfficiencyPropane
TO,COMBDGTAWOldAE______STDPRO_EX,31.536,CommercialBuildingTransportation and WarehousingOldAuxiliary EquipmentStandard EfficiencyPropane
TO,COMBDGICIOldAE______STDPRO_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldAuxiliary EquipmentStandard EfficiencyPropane
TO,COMBDGOFFOldAE______STDPRO_EX,31.536,CommercialBuildingOfficesOldAuxiliary EquipmentStandard EfficiencyPropane
TO,COMBDGEDSOldAE______STDPRO_EX,31.536,CommercialBuildingEducational ServicesOldAuxiliary EquipmentStandard EfficiencyPropane
TO,COMBDGHLCOldAE______STDPRO_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldAuxiliary EquipmentStandard EfficiencyPropane
TO,COMBDGAEROldAE______STDPRO_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldAuxiliary EquipmentStandard EfficiencyPropane"
TO,COMBDGAFSOldAE______STDPRO_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldAuxiliary EquipmentStandard EfficiencyPropane
TO,COMBDGOTSOldAE______STDPRO_EX,31.536,CommercialBuildingOther ServicesOldAuxiliary EquipmentStandard EfficiencyPropane
TO,COMBDGWSTOldSHPLT___STDELC_EX,31.536,CommercialBuildingWholesale TradeOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,COMBDGRTTOldSHPLT___STDELC_EX,31.536,CommercialBuildingRetail TradeOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,COMBDGTAWOldSHPLT___STDELC_EX,31.536,CommercialBuildingTransportation and WarehousingOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,COMBDGICIOldSHPLT___STDELC_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,COMBDGOFFOldSHPLT___STDELC_EX,31.536,CommercialBuildingOfficesOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,COMBDGEDSOldSHPLT___STDELC_EX,31.536,CommercialBuildingEducational ServicesOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,COMBDGHLCOldSHPLT___STDELC_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,COMBDGAEROldSHPLT___STDELC_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldSpace HeatingPlintheStandard EfficiencyElectricity"
TO,COMBDGAFSOldSHPLT___STDELC_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,COMBDGOTSOldSHPLT___STDELC_EX,31.536,CommercialBuildingOther ServicesOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,COMBDGWSTOldSHHEP___STDELC_EX,31.536,CommercialBuildingWholesale TradeOldSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,COMBDGRTTOldSHHEP___STDELC_EX,31.536,CommercialBuildingRetail TradeOldSpace HeatingHeat PumpStandard EfficiencyElectricity
