regions,season_name,time_of_day_name,demand_name,dds,dds_notes
TO,W,N,ADEMPUBBDGMUNOldAM,0.10303873490152227,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Motors
TO,W,N,ADEMPUBBDGPSIOldAM,0.10303873490152227,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Motors
TO,W,N,ADEMPUBBDGSBDOldAM,0.10303873490152227,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Motors
TO,W,N,ADEMPUBBDGHSPOldAE,0.08434908385207973,Aggregated DemandPublicBuildingHospitalOldAuxiliary Equipment
TO,W,N,ADEMPUBBDGMUNOldAE,0.08434908385207973,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Equipment
TO,W,N,ADEMPUBBDGPSIOldAE,0.08434908385207973,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Equipment
TO,W,N,ADEMPUBBDGSBDOldAE,0.08434908385207973,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Equipment
TO,W,N,ADEMPUBBDGHSPOldSH,0.19380228818604162,Aggregated DemandPublicBuildingHospitalOldSpace Heating
TO,W,N,ADEMPUBBDGMUNOldSH,0.19380228818604162,Aggregated DemandPublicBuildingMunicipalityOldSpace Heating
TO,W,N,ADEMPUBBDGPSIOldSH,0.19380228818604162,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Heating
TO,W,N,ADEMPUBBDGSBDOldSH,0.19380228818604162,Aggregated DemandPublicBuildingSchool boardOldSpace Heating
TO,W,N,ADEMPUBBDGHSPOldWH,0.07208045378657812,Aggregated DemandPublicBuildingHospitalOldWater Heating
TO,W,N,ADEMPUBBDGMUNOldWH,0.07208045378657812,Aggregated DemandPublicBuildingMunicipalityOldWater Heating
TO,W,N,ADEMPUBBDGPSIOldWH,0.07208045378657812,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldWater Heating
TO,W,N,ADEMPUBBDGSBDOldWH,0.07208045378657812,Aggregated DemandPublicBuildingSchool boardOldWater Heating
TO,W,N,ADEMPUBBDGHSPNewLI,0.06041507038480454,Aggregated DemandPublicBuildingHospitalNewLighting
TO,W,N,ADEMPUBBDGMUNNewLI,0.06041507038480454,Aggregated DemandPublicBuildingMunicipalityNewLighting
TO,W,N,ADEMPUBBDGPSINewLI,0.06041507038480454,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewLighting
TO,W,N,ADEMPUBBDGSBDNewLI,0.06041507038480454,Aggregated DemandPublicBuildingSchool boardNewLighting
TO,W,N,ADEMPUBBDGHSPNewSC,0.033528431302831785,Aggregated DemandPublicBuildingHospitalNewSpace Cooling
TO,W,N,ADEMPUBBDGMUNNewSC,0.033528431302831785,Aggregated DemandPublicBuildingMunicipalityNewSpace Cooling
TO,W,N,ADEMPUBBDGPSINewSC,0.033528431302831785,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Cooling
TO,W,N,ADEMPUBBDGSBDNewSC,0.033528431302831785,Aggregated DemandPublicBuildingSchool boardNewSpace Cooling
TO,W,N,ADEMPUBBDGHSPNewAM,0.10303873490152227,Aggregated DemandPublicBuildingHospitalNewAuxiliary Motors
TO,W,N,ADEMPUBBDGMUNNewAM,0.10303873490152227,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Motors
TO,W,N,ADEMPUBBDGPSINewAM,0.10303873490152227,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Motors
TO,W,N,ADEMPUBBDGSBDNewAM,0.10303873490152227,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Motors
TO,W,N,ADEMPUBBDGHSPNewAE,0.08434908385207973,Aggregated DemandPublicBuildingHospitalNewAuxiliary Equipment
TO,W,N,ADEMPUBBDGMUNNewAE,0.08434908385207973,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Equipment
TO,W,N,ADEMPUBBDGPSINewAE,0.08434908385207973,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Equipment
TO,W,N,ADEMPUBBDGSBDNewAE,0.08434908385207973,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Equipment
TO,W,N,ADEMPUBBDGHSPNewSH,0.19380228818604162,Aggregated DemandPublicBuildingHospitalNewSpace Heating
TO,W,N,ADEMPUBBDGMUNNewSH,0.19380228818604162,Aggregated DemandPublicBuildingMunicipalityNewSpace Heating
TO,W,N,ADEMPUBBDGPSINewSH,0.19380228818604162,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Heating
TO,W,N,ADEMPUBBDGSBDNewSH,0.19380228818604162,Aggregated DemandPublicBuildingSchool boardNewSpace Heating
TO,W,N,ADEMPUBBDGHSPNewWH,0.07208045378657812,Aggregated DemandPublicBuildingHospitalNewWater Heating
TO,W,N,ADEMPUBBDGMUNNewWH,0.07208045378657812,Aggregated DemandPublicBuildingMunicipalityNewWater Heating
TO,W,N,ADEMPUBBDGPSINewWH,0.07208045378657812,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewWater Heating
TO,W,N,ADEMPUBBDGSBDNewWH,0.07208045378657812,Aggregated DemandPublicBuildingSchool boardNewWater Heating
TO,W,P1,ADEMPUBBDGHSPOldLI,0.04637993949108147,Aggregated DemandPublicBuildingHospitalOldLighting
TO,W,P1,ADEMPUBBDGMUNOldLI,0.04637993949108147,Aggregated DemandPublicBuildingMunicipalityOldLighting
TO,W,P1,ADEMPUBBDGPSIOldLI,0.04637993949108147,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldLighting
TO,W,P1,ADEMPUBBDGSBDOldLI,0.04637993949108147,Aggregated DemandPublicBuildingSchool boardOldLighting
TO,W,P1,ADEMPUBBDGHSPOldSC,0.023325771063098213,Aggregated DemandPublicBuildingHospitalOldSpace Cooling
TO,W,P1,ADEMPUBBDGMUNOldSC,0.023325771063098213,Aggregated DemandPublicBuildingMunicipalityOldSpace Cooling
TO,W,P1,ADEMPUBBDGPSIOldSC,0.023325771063098213,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Cooling
TO,W,P1,ADEMPUBBDGSBDOldSC,0.023325771063098213,Aggregated DemandPublicBuildingSchool boardOldSpace Cooling
TO,W,P1,ADEMPUBBDGHSPOldAM,0.04162162396123097,Aggregated DemandPublicBuildingHospitalOldAuxiliary Motors
TO,W,P1,ADEMPUBBDGMUNOldAM,0.04162162396123097,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Motors
TO,W,P1,ADEMPUBBDGPSIOldAM,0.04162162396123097,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Motors
TO,W,P1,ADEMPUBBDGSBDOldAM,0.04162162396123097,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Motors
TO,W,P1,ADEMPUBBDGHSPOldAE,0.04320216289605269,Aggregated DemandPublicBuildingHospitalOldAuxiliary Equipment
TO,W,P1,ADEMPUBBDGMUNOldAE,0.04320216289605269,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Equipment
TO,W,P1,ADEMPUBBDGPSIOldAE,0.04320216289605269,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Equipment
TO,W,P1,ADEMPUBBDGSBDOldAE,0.04320216289605269,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Equipment
TO,W,P1,ADEMPUBBDGHSPOldSH,0.13646963442187587,Aggregated DemandPublicBuildingHospitalOldSpace Heating
TO,W,P1,ADEMPUBBDGMUNOldSH,0.13646963442187587,Aggregated DemandPublicBuildingMunicipalityOldSpace Heating
TO,W,P1,ADEMPUBBDGPSIOldSH,0.13646963442187587,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Heating
TO,W,P1,ADEMPUBBDGSBDOldSH,0.13646963442187587,Aggregated DemandPublicBuildingSchool boardOldSpace Heating
TO,W,P1,ADEMPUBBDGHSPOldWH,0.05537466051717451,Aggregated DemandPublicBuildingHospitalOldWater Heating
TO,W,P1,ADEMPUBBDGMUNOldWH,0.05537466051717451,Aggregated DemandPublicBuildingMunicipalityOldWater Heating
TO,W,P1,ADEMPUBBDGPSIOldWH,0.05537466051717451,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldWater Heating
TO,W,P1,ADEMPUBBDGSBDOldWH,0.05537466051717451,Aggregated DemandPublicBuildingSchool boardOldWater Heating
TO,W,P1,ADEMPUBBDGHSPNewLI,0.04637993949108147,Aggregated DemandPublicBuildingHospitalNewLighting
TO,W,P1,ADEMPUBBDGMUNNewLI,0.04637993949108147,Aggregated DemandPublicBuildingMunicipalityNewLighting
TO,W,P1,ADEMPUBBDGPSINewLI,0.04637993949108147,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewLighting
TO,W,P1,ADEMPUBBDGSBDNewLI,0.04637993949108147,Aggregated DemandPublicBuildingSchool boardNewLighting
TO,W,P1,ADEMPUBBDGHSPNewSC,0.023325771063098213,Aggregated DemandPublicBuildingHospitalNewSpace Cooling
TO,W,P1,ADEMPUBBDGMUNNewSC,0.023325771063098213,Aggregated DemandPublicBuildingMunicipalityNewSpace Cooling
