"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2017,Electricity,Commercial,Lighting,30162.639138467624
2017,Electricity,Commercial,Space Cooling,2653.80702993005
2017,Electricity,Commercial,Space Heating,1652.7086968082758
2017,Electricity,Commercial,Street Lighting,496.3435246573483
2017,Electricity,Commercial,Water Heating,262.76724154418554
2017,Electricity,Industry,Industrial Processes,2668.578845741427
2017,Electricity,Industry,Lighting,650.2815879189868
2017,Electricity,Industry,Space Cooling,367.0206710981882
2017,Electricity,Industry,Space Heating,756.4286923061488
2017,Electricity,Industry,Water Heating,1008.771862970416
2017,Electricity,Public,Auxiliary Equipment,2026.0708279805103
2017,Electricity,Public,Auxiliary Motors,537.8945716450663
2017,Electricity,Public,Lighting,1977.3129829663462
2017,Electricity,Public,Space Cooling,1183.4843366909543
2017,Electricity,Public,Space Heating,790.8724191958142
2017,Electricity,Public,Water Heating,10.690749057059985
2017,Electricity,Residential,Other Appliances,5891.030802494225
2017,Electricity,Residential,Clothe Dryer,2027.8365671599518
2017,Electricity,Residential,Clothe Washer,110.91663214022738
2017,Electricity,Residential,Dish Washer,145.24214502276658
2017,Electricity,Residential,Freezer,512.7703334586553
2017,Electricity,Residential,Lighting,2453.079418843778
2017,Electricity,Residential,Range,1867.430105668053
2017,Electricity,Residential,Refrigerator,1578.9982242617257
2017,Electricity,Residential,Space Cooling,3097.004900079638
2017,Electricity,Residential,Space Heating,4157.423055262421
2017,Electricity,Residential,Water Heating,739.7656760811392
2017,Heavy Fuel Oil,Commercial,Space Heating,3.0883381214628516
2017,Heavy Fuel Oil,Commercial,Water Heating,6.463978196331572
2017,Heavy Fuel Oil,Industry,Industrial Processes,42.624235817872
2017,Heavy Fuel Oil,Industry,Space Heating,25.383596121976623
2017,Heavy Fuel Oil,Industry,Water Heating,60.73316207934455
2017,Heavy Fuel Oil,Public,Water Heating,0.5057228179916162
2017,Hydrogen,Residential,Space Heating,0.5272269908103401
2017,Hydrogen,Residential,Water Heating,0.30177079647985916
2017,Kerosene,Commercial,Space Heating,3.0884496379880346
2017,Kerosene,Commercial,Water Heating,6.4641838720668305
2017,Kerosene,Public,Water Heating,0.5057225695717565
2017,Kerosene,Residential,Space Heating,0.39012082977472595
2017,Kerosene,Residential,Water Heating,13.260278687906919
2017,Light Fuel Oil,Commercial,Space Heating,206.1715259970323
2017,Light Fuel Oil,Commercial,Water Heating,237.935139496446
2017,Light Fuel Oil,Industry,Industrial Processes,479.22644553603266
2017,Light Fuel Oil,Industry,Space Heating,24.77376517017869
2017,Light Fuel Oil,Industry,Water Heating,44.320133536376574
2017,Light Fuel Oil,Public,Space Heating,344.63625125437204
2017,Light Fuel Oil,Public,Water Heating,22.825195012183954
2017,Light Fuel Oil,Residential,Space Heating,775.2405892843561
2017,Light Fuel Oil,Residential,Water Heating,103.39582705528215
2017,Mix Energy,Industry,Industrial Processes,15281.617316096197
2017,Natural Gas,Commercial,Auxiliary Equipment,2648.4016962975384
2017,Natural Gas,Commercial,Space Cooling,122.3212283286252
2017,Natural Gas,Commercial,Space Heating,37188.39493170347
2017,Natural Gas,Commercial,Water Heating,5919.711732600068
2017,Natural Gas,Industry,Industrial Processes,11670.467978116752
2017,Natural Gas,Industry,Space Cooling,30.242008841523493
2017,Natural Gas,Industry,Space Heating,732.2038293210966
2017,Natural Gas,Industry,Water Heating,2873.558541241081
2017,Natural Gas,Public,Auxiliary Equipment,383.68664074462566
2017,Natural Gas,Public,Space Cooling,149.29452639685326
2017,Natural Gas,Public,Space Heating,7274.214842993739
2017,Natural Gas,Public,Water Heating,999.3387264815035
2017,Natural Gas,Residential,Clothe Dryer,138.97030948214638
2017,Natural Gas,Residential,Range,94.2349218870177
2017,Natural Gas,Residential,Space Heating,58211.76937622812
2017,Natural Gas,Residential,Water Heating,16406.028240695763
2017,Pet Coke,Industry,Industrial Processes,237.2266009024431
2017,Propane,Commercial,Auxiliary Equipment,1929.3250753734167
2017,Propane,Commercial,Space Heating,815.4634287649867
2017,Propane,Commercial,Water Heating,103.96897933570415
2017,Propane,Industry,Space Heating,21.885928105713806
2017,Propane,Industry,Water Heating,96.38467232401278
2017,Propane,Residential,Space Heating,0.5096464712369982
2017,Propane,Residential,Water Heating,21.123533063164913
2017,Synthetic Gas,Commercial,Auxiliary Equipment,0.9201111378039708
2017,Synthetic Gas,Commercial,Space Cooling,0.3814283725469689
2017,Synthetic Gas,Commercial,Space Heating,2.8816751065582293
2017,Synthetic Gas,Commercial,Water Heating,1.6434431082575853
2017,Synthetic Gas,Public,Auxiliary Equipment,0.16174060541446547
2017,Synthetic Gas,Public,Space Cooling,0.40110637287485995
2017,Synthetic Gas,Public,Space Heating,0.38765806765369915
2017,Synthetic Gas,Public,Water Heating,0.7404053585699671
2017,Synthetic Gas,Residential,Space Heating,1.2122021967833783
2017,Synthetic Gas,Residential,Water Heating,0.6220684301715557
2018,Biomass,Industry,Industrial Processes,85.39442495170336
2018,Biomass,Residential,Space Heating,215.96033393083144
2018,Biomass,Residential,Water Heating,511.4414440977784
2018,Bio Methane,Commercial,Auxiliary Equipment,20.03277082141486
2018,Bio Methane,Commercial,Space Cooling,1.9061469413781131
2018,Bio Methane,Commercial,Space Heating,317.7145454389035
2018,Bio Methane,Commercial,Water Heating,231.026594780056
2018,Bio Methane,Public,Auxiliary Equipment,2.1858921240345928
2018,Bio Methane,Public,Space Cooling,13.700971459533958
2018,Bio Methane,Public,Space Heating,72.04350624341421
2018,Bio Methane,Public,Water Heating,84.6813194375895
2018,Bio Methane,Residential,Space Heating,97.65024604541239
2018,Bio Methane,Residential,Water Heating,132.02734276449797
2018,Wood Pellet,Residential,Space Heating,0.7077483185881474
2018,Wood Pellet,Residential,Water Heating,528.8683604830807
2018,Coal,Industry,Industrial Processes,98.31144895905376
2018,District Cooling,Commercial,Space Cooling,1259.7264064238175
2018,District Cooling,Public,Space Cooling,252.38337270968478
2018,District Cooling,Residential,Space Cooling,90.37679311148355
2018,District Heating,Commercial,Space Heating,3505.2840795170755
2018,District Heating,Commercial,Water Heating,611.5465381045216
2018,District Heating,Public,Space Heating,1501.4626982895495
2018,District Heating,Public,Water Heating,324.04964187713017
2018,District Heating,Residential,Space Heating,191.503046960096
2018,District Heating,Residential,Water Heating,835.9410913659717
2018,Electricity,Commercial,Auxiliary Equipment,17413.413622070493
2018,Electricity,Commercial,Auxiliary Motors,2293.3262311482085
2018,Electricity,Commercial,Lighting,30133.199531263403
2018,Electricity,Commercial,Space Cooling,2672.400499591283
2018,Electricity,Commercial,Space Heating,1914.4511906896057
2018,Electricity,Commercial,Street Lighting,499.32901088764504
2018,Electricity,Commercial,Water Heating,176.0477608063857
2018,Electricity,Industry,Industrial Processes,2671.671660004068
2018,Electricity,Industry,Lighting,651.035247558854
2018,Electricity,Industry,Space Cooling,367.44603861887873
2018,Electricity,Industry,Space Heating,757.3053737106262
2018,Electricity,Industry,Water Heating,1009.9410036216108
2018,Electricity,Public,Auxiliary Equipment,2036.646716788572
2018,Electricity,Public,Auxiliary Motors,540.906758873216
2018,Electricity,Public,Lighting,1974.289742198219
2018,Electricity,Public,Space Cooling,1235.9328607732236
2018,Electricity,Public,Space Heating,783.3884152912409
2018,Electricity,Public,Water Heating,31.403132665909922
2018,Electricity,Residential,Other Appliances,5931.442139364709
2018,Electricity,Residential,Clothe Dryer,2018.6416927097225
2018,Electricity,Residential,Clothe Washer,111.96869481701668
2018,Electricity,Residential,Dish Washer,146.6467565327955
2018,Electricity,Residential,Freezer,516.788251656262
2018,Electricity,Residential,Lighting,2469.2387056416114
2018,Electricity,Residential,Range,1883.9239488779365
2018,Electricity,Residential,Refrigerator,1590.9450945749231
2018,Electricity,Residential,Space Cooling,3284.48298925789
2018,Electricity,Residential,Space Heating,4388.602135465113
2018,Electricity,Residential,Water Heating,835.2303629675482
2018,Heavy Fuel Oil,Commercial,Space Heating,4.727845010745024
2018,Heavy Fuel Oil,Commercial,Water Heating,28.355544145664044
2018,Heavy Fuel Oil,Industry,Industrial Processes,42.67363621120363
2018,Heavy Fuel Oil,Industry,Space Heating,25.413015057177915
2018,Heavy Fuel Oil,Industry,Water Heating,60.80355025256009
2018,Heavy Fuel Oil,Public,Water Heating,0.6279706834478438
2018,Hydrogen,Residential,Space Heating,0.6716094132468816
2018,Hydrogen,Residential,Water Heating,0.46928657523030154
2018,Kerosene,Commercial,Space Heating,4.726694200882102
2018,Kerosene,Commercial,Water Heating,28.35043922359345
2018,Kerosene,Public,Water Heating,0.6279926506502469
2018,Kerosene,Residential,Space Heating,0.5118928924801117
2018,Kerosene,Residential,Water Heating,298.50889346822476
2018,Light Fuel Oil,Commercial,Space Heating,196.8054002076028
2018,Light Fuel Oil,Commercial,Water Heating,234.36090515383304
2018,Light Fuel Oil,Industry,Industrial Processes,479.78185666486473
2018,Light Fuel Oil,Industry,Space Heating,24.802477326989052
2018,Light Fuel Oil,Industry,Water Heating,44.37149943152444
2018,Light Fuel Oil,Public,Space Heating,342.7843822967007
2018,Light Fuel Oil,Public,Water Heating,64.1075541075092
2018,Light Fuel Oil,Residential,Space Heating,180.02671488379585
2018,Light Fuel Oil,Residential,Water Heating,342.68697698278976
2018,Mix Energy,Industry,Industrial Processes,15299.328317633079
2018,Natural Gas,Commercial,Auxiliary Equipment,2663.0153753652894
2018,Natural Gas,Commercial,Space Cooling,123.25582776415014
2018,Natural Gas,Commercial,Space Heating,35982.025383194814
2018,Natural Gas,Commercial,Water Heating,5751.650818000593
2018,Natural Gas,Industry,Industrial Processes,11683.993750431744
2018,Natural Gas,Industry,Space Cooling,30.277058552165478
2018,Natural Gas,Industry,Space Heating,733.0524347320254
2018,Natural Gas,Industry,Water Heating,2876.8889217026035
2018,Natural Gas,Public,Auxiliary Equipment,385.0517862883789
2018,Natural Gas,Public,Space Cooling,160.10353631154945
2018,Natural Gas,Public,Space Heating,7279.849779616942
