regions,periods,tech,vintage,cost_fixed,cost_fixed_units,cost_fixed_notes
TO,2020,WATWASWWHBADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2020,WATWASWWHBADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2020,WATWASWWHBGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2020,WATWASWWHCGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2020,WATWASWWHCGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2020,WATWASWWHCADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2020,WATWASWWHCADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2020,WATWASWWHCGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2021,WATWASWWABGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2021,WATWASWWABGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2021,WATWASWWABADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2021,WATWASWWABADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2021,WATWASWWABGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2021,WATWASWWHBGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2021,WATWASWWHBGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2021,WATWASWWHBADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2021,WATWASWWHBADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2021,WATWASWWHBGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2021,WATWASWWHCGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2021,WATWASWWHCGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2021,WATWASWWHCADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2021,WATWASWWHCADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2021,WATWASWWHCGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2022,WATWASWWABGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2022,WATWASWWABGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2022,WATWASWWABADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2022,WATWASWWABADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2022,WATWASWWABGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2022,WATWASWWHBGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2022,WATWASWWHBGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2022,WATWASWWHBADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2022,WATWASWWHBADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2022,WATWASWWHBGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2022,WATWASWWHCGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2022,WATWASWWHCGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2022,WATWASWWHCADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2022,WATWASWWHCADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2022,WATWASWWHCGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2023,WATWASWWABGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2023,WATWASWWABGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2023,WATWASWWABADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2023,WATWASWWABADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2023,WATWASWWABGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2023,WATWASWWHBGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2023,WATWASWWHBGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2023,WATWASWWHBADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2023,WATWASWWHBADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2023,WATWASWWHBGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2023,WATWASWWHCGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2023,WATWASWWHCGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2023,WATWASWWHCADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2023,WATWASWWHCADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2023,WATWASWWHCGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2024,WATWASWWABGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2024,WATWASWWABGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2024,WATWASWWABADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2024,WATWASWWABADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2024,WATWASWWABGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2024,WATWASWWHBGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2024,WATWASWWHBGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2024,WATWASWWHBADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2024,WATWASWWHBADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2024,WATWASWWHBGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2024,WATWASWWHCGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2024,WATWASWWHCGASERKSTDMENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2024,WATWASWWHCADIPUB_______23,2016,9.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2024,WATWASWWHCADIPUB___MENE_23,2016,0.0,k$/TJa,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2024,WATWASWWHCGASCENCCSHH2_23,2016,678.636933333333,k$/MW,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2025,WATWASWWABGASERKSTD____23,2016,7.011,k$/TJa,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
