regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2039,RESBDGNGA,RESBDGDHEPRDBOISMANGA_23,0.95,ResidentialBuildingDistrict HeatingProductionBoilerSmall
TO,2039,RESBDGBMTN,RESBDGDHEPRDBOISMANGA_23,0.05,ResidentialBuildingDistrict HeatingProductionBoilerSmall
TO,2039,RESBDGNGA,RESBDGDHEPRDGTULARMNGA_23,0.95,ResidentialBuildingDistrict HeatingProductionGas TurbineLarge
TO,2039,RESBDGBMTN,RESBDGDHEPRDGTULARMNGA_23,0.05,ResidentialBuildingDistrict HeatingProductionGas TurbineLarge
TO,2039,RESBDGNGA,RESBDGDHEPRDGTUMEDMNGA_23,0.95,ResidentialBuildingDistrict HeatingProductionGas TurbineMedium
TO,2039,RESBDGBMTN,RESBDGDHEPRDGTUMEDMNGA_23,0.05,ResidentialBuildingDistrict HeatingProductionGas TurbineMedium
TO,2039,RESBDGNGA,RESBDGDHEPRDGTUSMAMNGA_23,0.95,ResidentialBuildingDistrict HeatingProductionGas TurbineSmall
TO,2039,RESBDGBMTN,RESBDGDHEPRDGTUSMAMNGA_23,0.05,ResidentialBuildingDistrict HeatingProductionGas TurbineSmall
TO,2039,RESBDGNGA,RESBDGDHEPRDICELARMNGA_23,0.95,ResidentialBuildingDistrict HeatingProductionInternal Combustion EngineLarge
TO,2039,RESBDGBMTN,RESBDGDHEPRDICELARMNGA_23,0.05,ResidentialBuildingDistrict HeatingProductionInternal Combustion EngineLarge
TO,2039,RESBDGNGA,RESBDGDHEPRDICEMEDMNGA_23,0.95,ResidentialBuildingDistrict HeatingProductionInternal Combustion EngineMedium
TO,2039,RESBDGBMTN,RESBDGDHEPRDICEMEDMNGA_23,0.05,ResidentialBuildingDistrict HeatingProductionInternal Combustion EngineMedium
TO,2039,RESBDGNGA,RESBDGDHEPRDICESMAMNGA_23,0.95,ResidentialBuildingDistrict HeatingProductionInternal Combustion EngineSmall
TO,2039,RESBDGBMTN,RESBDGDHEPRDICESMAMNGA_23,0.05,ResidentialBuildingDistrict HeatingProductionInternal Combustion EngineSmall
TO,2039,INDBDGNGA,INDBDGHH2PRDSMRCCSNGA_23,0.95,IndustrialBuildingHydrogenProductionSteam Methane ReformingCarbon Capture and Storage
TO,2039,INDBDGBMTN,INDBDGHH2PRDSMRCCSNGA_23,0.05,IndustrialBuildingHydrogenProductionSteam Methane ReformingCarbon Capture and Storage
TO,2039,INDBDGNGA,INDBDGHH2PRDARGCCSNGA_23,0.95,IndustrialBuildingHydrogenProductionAutothermal Reforming GasCarbon Capture and Storage
TO,2039,INDBDGBMTN,INDBDGHH2PRDARGCCSNGA_23,0.05,IndustrialBuildingHydrogenProductionAutothermal Reforming GasCarbon Capture and Storage
TO,2039,INDBDGNGA,INDBDGHH2PRDSMR___NGA_23,0.95,IndustrialBuildingHydrogenProductionSteam Methane Reforming
TO,2039,INDBDGBMTN,INDBDGHH2PRDSMR___NGA_23,0.05,IndustrialBuildingHydrogenProductionSteam Methane Reforming
TO,2040,SEECOMBDGDCOCWPP,COMBDGDCOAVGSUB___CW_23,0.9705882352941176,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2040,COMBDGELC,COMBDGDCOAVGSUB___CW_23,0.029411764705882353,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2040,SEECOMBDGDHEHWC,COMBDGDCOCONHEPLARHWC_23,0.9779256038647343,CommercialBuildingDistrict CoolingConsumptionHeat PumpLarge
TO,2040,COMBDGELC,COMBDGDCOCONHEPLARHWC_23,0.0220743961352657,CommercialBuildingDistrict CoolingConsumptionHeat PumpLarge
TO,2040,SEECOMBDGDHEHWC,COMBDGDCOCONHEPMEDHWC_23,0.9779256038647343,CommercialBuildingDistrict CoolingConsumptionHeat PumpMedium
TO,2040,COMBDGELC,COMBDGDCOCONHEPMEDHWC_23,0.0220743961352657,CommercialBuildingDistrict CoolingConsumptionHeat PumpMedium
TO,2040,SEECOMBDGDHEHWC,COMBDGDCOCONHEPSMAHWC_23,0.9779256038647343,CommercialBuildingDistrict CoolingConsumptionHeat PumpSmall
TO,2040,COMBDGELC,COMBDGDCOCONHEPSMAHWC_23,0.0220743961352657,CommercialBuildingDistrict CoolingConsumptionHeat PumpSmall
TO,2040,COMBDGELC,COMBDGDCOPRDDLAENWELC_23,0.9779256038647343,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2040,COMBDGETHOS,COMBDGDCOPRDDLAENWELC_23,0.0220743961352657,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2040,SEECOMBDGDHEHWP,COMBDGDCOPRDHEPLARHWP_23,0.985,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2040,COMBDGELC,COMBDGDCOPRDHEPLARHWP_23,0.015,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2040,SEECOMBDGDHEHWP,COMBDGDCOPRDHEPMEDHWP_23,0.985,CommercialBuildingDistrict CoolingProductionHeat PumpMedium
TO,2040,COMBDGELC,COMBDGDCOPRDHEPMEDHWP_23,0.015,CommercialBuildingDistrict CoolingProductionHeat PumpMedium
TO,2040,SEECOMBDGDHEHWP,COMBDGDCOPRDHEPSMAHWP_23,0.985,CommercialBuildingDistrict CoolingProductionHeat PumpSmall
TO,2040,COMBDGELC,COMBDGDCOPRDHEPSMAHWP_23,0.015,CommercialBuildingDistrict CoolingProductionHeat PumpSmall
TO,2040,SEECOMBDGDHEHWPP,COMBDGDHEAVGSUB___HW_23,0.9705882352941176,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2040,COMBDGELC,COMBDGDHEAVGSUB___HW_23,0.029411764705882353,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2040,SEECOMBDGDHEHWC,COMBDGDHECONHEPLARHWC_23,0.985,CommercialBuildingDistrict HeatingConsumptionHeat PumpLarge
TO,2040,COMBDGELC,COMBDGDHECONHEPLARHWC_23,0.015,CommercialBuildingDistrict HeatingConsumptionHeat PumpLarge
TO,2040,SEECOMBDGDHEHWC,COMBDGDHECONHEPMEDHWC_23,0.985,CommercialBuildingDistrict HeatingConsumptionHeat PumpMedium
TO,2040,COMBDGELC,COMBDGDHECONHEPMEDHWC_23,0.015,CommercialBuildingDistrict HeatingConsumptionHeat PumpMedium
TO,2040,SEECOMBDGDHEHWC,COMBDGDHECONHEPSMAHWC_23,0.985,CommercialBuildingDistrict HeatingConsumptionHeat PumpSmall
TO,2040,COMBDGELC,COMBDGDHECONHEPSMAHWC_23,0.015,CommercialBuildingDistrict HeatingConsumptionHeat PumpSmall
TO,2040,COMBDGNGA,COMBDGDHEPRDBOILARNGA_23,0.95,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2040,COMBDGBMTN,COMBDGDHEPRDBOILARNGA_23,0.05,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2040,COMBDGNGA,COMBDGDHEPRDBOIMEDNGA_23,0.95,CommercialBuildingDistrict HeatingProductionBoilerMedium
TO,2040,COMBDGBMTN,COMBDGDHEPRDBOIMEDNGA_23,0.05,CommercialBuildingDistrict HeatingProductionBoilerMedium
TO,2040,COMBDGNGA,COMBDGDHEPRDBOISMANGA_23,0.95,CommercialBuildingDistrict HeatingProductionBoilerSmall
TO,2040,COMBDGBMTN,COMBDGDHEPRDBOISMANGA_23,0.05,CommercialBuildingDistrict HeatingProductionBoilerSmall
TO,2040,COMBDGNGA,COMBDGDHEPRDGTULARMNGA_23,0.95,CommercialBuildingDistrict HeatingProductionGas TurbineLarge
TO,2040,COMBDGBMTN,COMBDGDHEPRDGTULARMNGA_23,0.05,CommercialBuildingDistrict HeatingProductionGas TurbineLarge
TO,2040,COMBDGNGA,COMBDGDHEPRDGTUMEDMNGA_23,0.95,CommercialBuildingDistrict HeatingProductionGas TurbineMedium
TO,2040,COMBDGBMTN,COMBDGDHEPRDGTUMEDMNGA_23,0.05,CommercialBuildingDistrict HeatingProductionGas TurbineMedium
TO,2040,COMBDGNGA,COMBDGDHEPRDGTUSMAMNGA_23,0.95,CommercialBuildingDistrict HeatingProductionGas TurbineSmall
TO,2040,COMBDGBMTN,COMBDGDHEPRDGTUSMAMNGA_23,0.05,CommercialBuildingDistrict HeatingProductionGas TurbineSmall
TO,2040,COMBDGNGA,COMBDGDHEPRDICELARMNGA_23,0.95,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineLarge
TO,2040,COMBDGBMTN,COMBDGDHEPRDICELARMNGA_23,0.05,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineLarge
TO,2040,COMBDGNGA,COMBDGDHEPRDICEMEDMNGA_23,0.95,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineMedium
TO,2040,COMBDGBMTN,COMBDGDHEPRDICEMEDMNGA_23,0.05,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineMedium
TO,2040,COMBDGNGA,COMBDGDHEPRDICESMAMNGA_23,0.95,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineSmall
TO,2040,COMBDGBMTN,COMBDGDHEPRDICESMAMNGA_23,0.05,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineSmall
TO,2040,SEEINDBDGDCOCWPP,INDBDGDCOAVGSUB___CW_23,0.9705882352941176,IndustrialBuildingDistrict CoolingToronto AverageSubstation
TO,2040,INDBDGELC,INDBDGDCOAVGSUB___CW_23,0.029411764705882353,IndustrialBuildingDistrict CoolingToronto AverageSubstation
TO,2040,SEEINDBDGDHEHWC,INDBDGDCOCONHEPLARHWC_23,0.9779256038647343,IndustrialBuildingDistrict CoolingConsumptionHeat PumpLarge
TO,2040,INDBDGELC,INDBDGDCOCONHEPLARHWC_23,0.0220743961352657,IndustrialBuildingDistrict CoolingConsumptionHeat PumpLarge
TO,2040,SEEINDBDGDHEHWC,INDBDGDCOCONHEPMEDHWC_23,0.9779256038647343,IndustrialBuildingDistrict CoolingConsumptionHeat PumpMedium
TO,2040,INDBDGELC,INDBDGDCOCONHEPMEDHWC_23,0.0220743961352657,IndustrialBuildingDistrict CoolingConsumptionHeat PumpMedium
TO,2040,SEEINDBDGDHEHWC,INDBDGDCOCONHEPSMAHWC_23,0.9779256038647343,IndustrialBuildingDistrict CoolingConsumptionHeat PumpSmall
