"Discounted and undiscounted Cost breakdown, per subsectors, per periods. (k CAD 2016)"
vintage,sector,Cost,Cost_type,Costs
1995,Public transportation,Discounted,FixedSubsidies,0.0
1995,Public transportation,Undiscounted,FixedCosts,0.0
1995,Public transportation,Undiscounted,FixedSubsidies,0.0
1995,Residential building,Discounted,FixedCosts,9031.331787456493
1995,Residential building,Discounted,FixedSubsidies,0.0
1995,Residential building,Undiscounted,FixedCosts,9419.657179422724
1995,Residential building,Undiscounted,FixedSubsidies,0.0
2000,Commercial building,Discounted,FixedCosts,8621.103435989282
2000,Commercial building,Discounted,FixedSubsidies,0.0
2000,Commercial building,Undiscounted,FixedCosts,9353.94903885947
2000,Commercial building,Undiscounted,FixedSubsidies,0.0
2000,Freight transportation,Discounted,FixedCosts,118181.96521173054
2000,Freight transportation,Discounted,FixedSubsidies,0.0
2000,Freight transportation,Undiscounted,FixedCosts,123493.45688481524
2000,Freight transportation,Undiscounted,FixedSubsidies,0.0
2000,Long distance transportation,Discounted,FixedCosts,2921.6327415828646
2000,Long distance transportation,Discounted,FixedSubsidies,0.0
2000,Long distance transportation,Undiscounted,FixedCosts,3279.6575455383772
2000,Long distance transportation,Undiscounted,FixedSubsidies,0.0
2000,Passenger transportation,Discounted,FixedCosts,434782.5225777611
2000,Passenger transportation,Discounted,FixedSubsidies,0.0
2000,Passenger transportation,Undiscounted,FixedCosts,454249.3000020758
2000,Passenger transportation,Undiscounted,FixedSubsidies,0.0
2000,Public building,Discounted,FixedCosts,3542.069486898025
2000,Public building,Discounted,FixedSubsidies,0.0
2000,Public building,Undiscounted,FixedCosts,3745.958522367817
2000,Public building,Undiscounted,FixedSubsidies,0.0
2000,Public transportation,Discounted,FixedCosts,3030.824463818501
2000,Public transportation,Discounted,FixedSubsidies,0.0
2000,Public transportation,Undiscounted,FixedCosts,3166.5
2000,Public transportation,Undiscounted,FixedSubsidies,0.0
2000,Residential building,Discounted,FixedCosts,31575.502990243123
2000,Residential building,Discounted,FixedSubsidies,0.0
2000,Residential building,Undiscounted,FixedCosts,34084.96427925325
2000,Residential building,Undiscounted,FixedSubsidies,0.0
2000,Water waste,Discounted,FixedCosts,290068.0569216403
2000,Water waste,Discounted,FixedSubsidies,0.0
2000,Water waste,Undiscounted,FixedCosts,349030.37274146185
2000,Water waste,Undiscounted,FixedSubsidies,0.0
2005,Commercial building,Discounted,FixedCosts,16959.62271717863
2005,Commercial building,Discounted,FixedSubsidies,0.0
2005,Commercial building,Undiscounted,FixedCosts,19386.143578021223
2005,Commercial building,Undiscounted,FixedSubsidies,0.0
2005,Freight transportation,Discounted,FixedCosts,247378.00695522653
2005,Freight transportation,Discounted,FixedSubsidies,0.0
2005,Freight transportation,Undiscounted,FixedCosts,277648.81227817433
2005,Freight transportation,Undiscounted,FixedSubsidies,0.0
