regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2033,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2034,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2034,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2034,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2034,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2034,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2034,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2035,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2035,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2035,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2035,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2035,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2035,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2036,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2036,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
