regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,PUBTRABELCSTARES240V,2033,604.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2033,553.066666666667,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2033,408.54,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM240V,2033,60.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2033,553.066666666667,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2033,408.54,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM240V,2034,592.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2034,592.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2034,550.4777777777782,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2034,592.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM240V,2034,592.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2034,592.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2034,592.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2034,550.4777777777782,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM240V,2034,592.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2034,592.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2034,550.4777777777782,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
