"District heating and cooling  generation, per technology type, and per period.(TJ)"
t_periods,Sub,EndUse,Tech_cat,Tech_type_1,Tech_type_2,Output_units,VFlow_Out
2035,Industrial,District Heating,Consumption,Heat Pump,Small,TJ,369.21905069364027
2035,Public,District Cooling,Toronto Average,Substation,___,TJ,3.2705140427726276
2035,Public,District Heating,Toronto Average,Substation,___,TJ,1024.9040181873806
2035,Public,District Heating,Consumption,Heat Pump,Large,TJ,6.130584515433114
2035,Public,District Heating,Consumption,Heat Pump,Medium,TJ,5.226342456475894
2035,Public,District Heating,Consumption,Heat Pump,Small,TJ,350.9897112592713
2035,Residential,District Cooling,Toronto Average,Substation,___,TJ,138.64346676899189
2035,Residential,District Heating,Toronto Average,Substation,___,TJ,60.21176069560261
2035,Residential,District Heating,Consumption,Heat Pump,Large,TJ,3.036151279833231
2035,Residential,District Heating,Consumption,Heat Pump,Medium,TJ,2.7420585123651895
2035,Residential,District Heating,Consumption,Heat Pump,Small,TJ,339.0689033592503
2040,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1142.0916146486488
2040,Commercial,District Heating,Toronto Average,Substation,___,TJ,1157.2053501683145
2040,Commercial,District Heating,Consumption,Heat Pump,Large,TJ,802.1856903294138
2040,Commercial,District Heating,Consumption,Heat Pump,Medium,TJ,801.8669812696834
2040,Commercial,District Heating,Consumption,Heat Pump,Small,TJ,920.2298132500483
2040,Industrial,District Cooling,Toronto Average,Substation,___,TJ,2.6497485616352168
2040,Industrial,District Heating,Toronto Average,Substation,___,TJ,139.55043297894503
2040,Industrial,District Heating,Consumption,Heat Pump,Large,TJ,4.294518978923892
2040,Industrial,District Heating,Consumption,Heat Pump,Medium,TJ,3.72993700916547
2040,Industrial,District Heating,Consumption,Heat Pump,Small,TJ,614.0857045564758
2040,Public,District Cooling,Toronto Average,Substation,___,TJ,2.998968374410018
2040,Public,District Heating,Toronto Average,Substation,___,TJ,1598.5206504072403
2040,Public,District Heating,Consumption,Heat Pump,Large,TJ,8.14249622883342
2040,Public,District Heating,Consumption,Heat Pump,Medium,TJ,6.900595889978151
2040,Public,District Heating,Consumption,Heat Pump,Small,TJ,920.0933383788267
2040,Residential,District Cooling,Toronto Average,Substation,___,TJ,21.979851119827977
2040,Residential,District Heating,Toronto Average,Substation,___,TJ,1005.1947536870047
2040,Residential,District Heating,Consumption,Heat Pump,Large,TJ,13.019801093405269
2040,Residential,District Heating,Consumption,Heat Pump,Medium,TJ,10.407256256609873
2040,Residential,District Heating,Consumption,Heat Pump,Small,TJ,920.3052581688573
2045,Commercial,District Cooling,Toronto Average,Substation,___,TJ,999.9856136041507
2045,Commercial,District Heating,Toronto Average,Substation,___,TJ,14.733943688643162
2045,Commercial,District Heating,Consumption,Heat Pump,Large,TJ,464.1787282063271
2045,Commercial,District Heating,Consumption,Heat Pump,Medium,TJ,463.83072439801845
2045,Commercial,District Heating,Consumption,Heat Pump,Small,TJ,2290.162232382795
2045,Industrial,District Cooling,Toronto Average,Substation,___,TJ,3.578831970617934
2045,Industrial,District Heating,Toronto Average,Substation,___,TJ,30.210158827986618
2045,Industrial,District Heating,Consumption,Heat Pump,Large,TJ,2.239750948963226
2045,Industrial,District Heating,Consumption,Heat Pump,Medium,TJ,2.1032266894776885
2045,Industrial,District Heating,Consumption,Heat Pump,Small,TJ,810.630401271819
2045,Public,District Cooling,Toronto Average,Substation,___,TJ,2.153525851232854
2045,Public,District Heating,Toronto Average,Substation,___,TJ,3.625021086707906
2045,Public,District Heating,Consumption,Heat Pump,Large,TJ,0.9675517862923051
2045,Public,District Heating,Consumption,Heat Pump,Medium,TJ,0.8527549742603139
2045,Public,District Heating,Consumption,Heat Pump,Small,TJ,1557.6240703354936
2045,Residential,District Cooling,Toronto Average,Substation,___,TJ,5.926434515604764
2045,Residential,District Heating,Toronto Average,Substation,___,TJ,0.3261783048197036
2045,Residential,District Heating,Consumption,Heat Pump,Large,TJ,0.20609413065179624
2045,Residential,District Heating,Consumption,Heat Pump,Medium,TJ,0.20560125201018317
2045,Residential,District Heating,Consumption,Heat Pump,Small,TJ,869.2963998335828
2050,Commercial,District Cooling,Toronto Average,Substation,___,TJ,999.9612534245123
2050,Commercial,District Heating,Toronto Average,Substation,___,TJ,2.839238337959266
2050,Commercial,District Heating,Consumption,Heat Pump,Large,TJ,1.2818969889014067
2050,Commercial,District Heating,Consumption,Heat Pump,Medium,TJ,1.2773949299250822
2050,Commercial,District Heating,Consumption,Heat Pump,Small,TJ,4143.2862440281215
2050,Industrial,District Cooling,Toronto Average,Substation,___,TJ,4.211257263054693
2050,Public,District Cooling,Toronto Average,Substation,___,TJ,9.88920934552635
2050,Public,District Heating,Toronto Average,Substation,___,TJ,2.823819574548007
2050,Public,District Heating,Consumption,Heat Pump,Large,TJ,1.2984690562564642
2050,Public,District Heating,Consumption,Heat Pump,Medium,TJ,1.2778152161609604
2050,Public,District Heating,Consumption,Heat Pump,Small,TJ,1460.2118803260723
2050,Residential,District Cooling,Toronto Average,Substation,___,TJ,13.48774882825615
2050,Residential,District Heating,Toronto Average,Substation,___,TJ,1.7025951299047197
2050,Residential,District Heating,Consumption,Heat Pump,Large,TJ,0.7532882615077242
2050,Residential,District Heating,Consumption,Heat Pump,Medium,TJ,0.7454958070551937
2050,Residential,District Heating,Consumption,Heat Pump,Small,TJ,865.0643198482902
