"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2018,Bio Methane,Public,Auxiliary Equipment,2.124058765207721
2018,Bio Methane,Public,Space Cooling,13.480354615405911
2018,Bio Methane,Public,Space Heating,72.18917847821665
2018,Bio Methane,Public,Water Heating,85.09390525461707
2018,Bio Methane,Residential,Space Heating,97.67920303897218
2018,Bio Methane,Residential,Water Heating,133.69351605413445
2018,Wood Pellet,Residential,Space Heating,0.6541534586822463
2018,Wood Pellet,Residential,Water Heating,526.4200591649899
2018,Coal,Industry,Industrial Processes,98.31144896137197
2018,District Cooling,Commercial,Space Cooling,1259.823528102229
2018,District Cooling,Public,Space Cooling,253.68416655795045
2018,District Cooling,Residential,Space Cooling,87.64565004389846
2018,District Heating,Commercial,Space Heating,3503.2428049404048
2018,District Heating,Commercial,Water Heating,611.3571585138333
2018,District Heating,Public,Space Heating,1501.2793456905251
2018,District Heating,Public,Water Heating,321.60667809218853
2018,District Heating,Residential,Space Heating,188.64529625397515
2018,District Heating,Residential,Water Heating,839.8307525470535
2018,Electricity,Commercial,Auxiliary Equipment,17414.503494629058
2018,Electricity,Commercial,Auxiliary Motors,2293.3465332510314
2018,Electricity,Commercial,Lighting,30133.806378460533
2018,Electricity,Commercial,Space Cooling,2672.535807984333
2018,Electricity,Commercial,Space Heating,1921.3006297854124
2018,Electricity,Commercial,Street Lighting,499.3290108876461
2018,Electricity,Commercial,Water Heating,182.42502865791062
2018,Electricity,Industry,Industrial Processes,2671.6716600084196
2018,Electricity,Industry,Lighting,651.0352475588542
2018,Electricity,Industry,Space Cooling,367.44603861887873
2018,Electricity,Industry,Space Heating,757.3053737132611
2018,Electricity,Industry,Water Heating,1009.9410036240706
2018,Electricity,Public,Auxiliary Equipment,2036.666626467646
2018,Electricity,Public,Auxiliary Motors,540.9067915922042
2018,Electricity,Public,Lighting,1974.5317811310697
2018,Electricity,Public,Space Cooling,1235.6918671918838
2018,Electricity,Public,Space Heating,784.1648756559708
2018,Electricity,Public,Water Heating,31.550241889304615
2018,Electricity,Residential,Other Appliances,5931.469663302849
2018,Electricity,Residential,Clothe Dryer,2018.720020666495
2018,Electricity,Residential,Clothe Washer,111.98215590320984
2018,Electricity,Residential,Dish Washer,146.64674310963852
2018,Electricity,Residential,Freezer,516.7985725568558
2018,Electricity,Residential,Lighting,2469.3751110379594
2018,Electricity,Residential,Range,1884.13097378091
2018,Electricity,Residential,Refrigerator,1590.9861461942755
2018,Electricity,Residential,Space Cooling,3285.564884706657
2018,Electricity,Residential,Space Heating,4389.0444485789785
2018,Electricity,Residential,Water Heating,846.7111127668062
2018,Heavy Fuel Oil,Commercial,Space Heating,4.2917775171785975
2018,Heavy Fuel Oil,Commercial,Water Heating,27.113213345957863
2018,Heavy Fuel Oil,Industry,Industrial Processes,42.67363621355624
2018,Heavy Fuel Oil,Industry,Space Heating,25.413015059810597
2018,Heavy Fuel Oil,Industry,Water Heating,60.80355025528447
2018,Heavy Fuel Oil,Public,Water Heating,1.0800668777224542
2018,Hydrogen,Residential,Space Heating,1.2818368265159914
2018,Hydrogen,Residential,Water Heating,0.9231908522361895
2018,Kerosene,Commercial,Space Heating,4.290092088796509
2018,Kerosene,Commercial,Water Heating,27.108306111868803
2018,Kerosene,Public,Water Heating,1.080098093374078
2018,Kerosene,Residential,Space Heating,0.47257669952689974
2018,Kerosene,Residential,Water Heating,293.289819372551
2018,Light Fuel Oil,Commercial,Space Heating,195.60227349209524
2018,Light Fuel Oil,Commercial,Water Heating,232.731489929178
2018,Light Fuel Oil,Industry,Industrial Processes,479.7818566668985
2018,Light Fuel Oil,Industry,Space Heating,24.802477329619016
2018,Light Fuel Oil,Industry,Water Heating,44.37149943424651
2018,Light Fuel Oil,Public,Space Heating,342.43028262419136
2018,Light Fuel Oil,Public,Water Heating,64.42070553717397
2018,Light Fuel Oil,Residential,Space Heating,187.45944544627832
2018,Light Fuel Oil,Residential,Water Heating,336.5078526573554
2018,Mix Energy,Industry,Industrial Processes,15299.328317633079
2018,Natural Gas,Commercial,Auxiliary Equipment,2662.1541187309394
2018,Natural Gas,Commercial,Space Cooling,123.07758823701987
2018,Natural Gas,Commercial,Space Heating,35977.31061664806
2018,Natural Gas,Commercial,Water Heating,5748.069333084787
2018,Natural Gas,Industry,Industrial Processes,11683.99375047777
2018,Natural Gas,Industry,Space Cooling,30.27705855216548
2018,Natural Gas,Industry,Space Heating,733.0524347666
2018,Natural Gas,Industry,Water Heating,2876.8889217386413
2018,Natural Gas,Public,Auxiliary Equipment,384.9709186806007
2018,Natural Gas,Public,Space Cooling,159.71753142469163
2018,Natural Gas,Public,Space Heating,7278.643677652182
2018,Natural Gas,Public,Water Heating,891.7262892938395
2018,Natural Gas,Residential,Clothe Dryer,92.55363293802158
2018,Natural Gas,Residential,Range,94.165393949521
2018,Natural Gas,Residential,Space Heating,58477.19302558137
2018,Natural Gas,Residential,Water Heating,17926.860847768206
2018,Pet Coke,Industry,Industrial Processes,237.50154043557137
2018,Propane,Commercial,Auxiliary Equipment,1941.4963531008752
2018,Propane,Commercial,Space Heating,1031.6851324207744
2018,Propane,Commercial,Water Heating,103.65179455077401
2018,Propane,Industry,Space Heating,21.911293336251067
2018,Propane,Industry,Water Heating,96.49637968362046
2018,Propane,Residential,Space Heating,0.6411208678029305
2018,Propane,Residential,Water Heating,519.9529171922748
2018,Synthetic Gas,Commercial,Auxiliary Equipment,2.2772435859883893
2018,Synthetic Gas,Commercial,Space Cooling,0.7937677547631522
2018,Synthetic Gas,Commercial,Space Heating,8.005180526352397
2018,Synthetic Gas,Commercial,Water Heating,5.445352987293113
2018,Synthetic Gas,Public,Auxiliary Equipment,0.40992293297080873
2018,Synthetic Gas,Public,Space Cooling,1.0446348905587237
2018,Synthetic Gas,Public,Space Heating,1.7432563833022348
2018,Synthetic Gas,Public,Water Heating,2.3429668798161227
2018,Synthetic Gas,Residential,Space Heating,2.928031675754695
2018,Synthetic Gas,Residential,Water Heating,2.150305868877426
2019,Biomass,Industry,Industrial Processes,85.49328029312076
2019,Biomass,Residential,Space Heating,216.42146626246404
2019,Biomass,Residential,Water Heating,548.177709350285
2019,Bio Methane,Commercial,Auxiliary Equipment,30.040666483149884
2019,Bio Methane,Commercial,Space Cooling,2.727091516778574
2019,Bio Methane,Commercial,Space Heating,345.79587855342356
2019,Bio Methane,Commercial,Water Heating,241.28210340393883
2019,Bio Methane,Public,Auxiliary Equipment,3.197381982221965
2019,Bio Methane,Public,Space Cooling,14.997836170991484
2019,Bio Methane,Public,Space Heating,82.99209131280267
2019,Bio Methane,Public,Water Heating,87.67058502706863
2019,Bio Methane,Residential,Space Heating,114.02635079399344
2019,Bio Methane,Residential,Water Heating,152.4544659853851
2019,Wood Pellet,Residential,Space Heating,0.8200759878267165
