regions,periods,tech,output_comm,TOS,to_split_notes
TO,2043,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2044,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2044,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2044,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2044,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2044,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2044,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2045,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2045,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2045,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2045,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2045,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2045,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2046,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2046,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2046,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2046,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2046,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2046,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
