regions,tech,group_name,act_fraction,tech_desc
TO,RESBDGSATOldSHFIR___STDPRO_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHFUR___MEDNGA_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHFUR___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHFUR___STDNGA_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHFUR___STDPRO_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHFUR___STDPRO_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHHEP___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHHEP___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHHEP___STDNGA_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHPLT___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHPLT1000WSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHPLT1500WSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSHPLT500WSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldWH______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldWH______STDNGA_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldWH______STDPRO_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldWHHEP___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldWHSYS___STDPRO_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldCDY______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldCDY______STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldCWA______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldCWA___CBSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldCWA___FRSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldCWA___TPSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldDWA______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldDWA______STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldFRZ______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldFRZ___CHSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldFRZ___STGSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIFLC___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIFLC___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIFLU___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIFLUT12STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIFLUT5STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIFLUT8STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIHAL___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIHAL60WSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIINC___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLIINC60WSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLILED___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldLILED___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldRAG______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldRAG______STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldRAG______STDNGA_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldREF______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldREF___FRDSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldREF___FRTSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldSCCE___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldSCCE___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldSCRO___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldSCWA___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSDEOldSCWD___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
