"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2018,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,TJ,29035.45213531598
2018,Commercial,Space Heating,Furnace,___,Propane,Standard,TJ,826.5979349216713
2018,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,TJ,1553.7519731737102
2018,Commercial,Space Heating,Plinthe,___,Electricity,Standard,TJ,901.9253954264858
2018,Commercial,Space Heating,___,___,District Heating,___,TJ,3325.7243826273098
2018,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1472.5265732007363
2018,Commercial,Water Heating,___,___,District Heating,___,TJ,553.8639244199577
2018,Commercial,Water Heating,___,___,Electricity,Standard,TJ,163.7244175499391
2018,Commercial,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,22.400879875074594
2018,Commercial,Water Heating,___,___,Kerosene,Standard,TJ,22.39684698663878
2018,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,TJ,185.1451150715285
2018,Commercial,Water Heating,___,___,Natural Gas,Standard,TJ,4908.429954185014
2018,Commercial,Water Heating,___,___,Propane,Standard,TJ,70.19698382233462
2018,Industry,Industrial Processes,Self produced,,Mix Energy,,TJ,30598.65663528908
2018,Industry,Lighting,Self produced,,Mix Energy,,TJ,651.035247558854
2018,Industry,Space Cooling,Self produced,,Mix Energy,,TJ,1410.576369710851
2018,Industry,Space Heating,Self produced,,Mix Energy,,TJ,1562.4845941604353
2018,Industry,Water Heating,Self produced,,Mix Energy,,TJ,4088.5013546891987
2018,Public,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2036.646716788572
2018,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,251.89809486522844
2018,Public,Auxiliary Motors,___,___,Electricity,Standard,TJ,514.1646985056532
2018,Public,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.43288646609119
2018,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,636.9532450955253
2018,Public,Lighting,Halogen,___,Electricity,Standard,Mlm.y,186.4232108485057
2018,Public,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,598.7209034742194
2018,Public,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.76154283691829
2018,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,4.1200848798405225
2018,Public,Space Cooling,___,___,District Cooling,___,TJ,252.38337270968478
2018,Public,Space Cooling,___,___,Electricity,Standard,TJ,4175.153330461079
2018,Public,Space Cooling,___,___,Natural Gas,Standard,TJ,583.5718039915239
2018,Public,Space Heating,Furnace,___,Electricity,Standard,TJ,280.49569119360103
2018,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,270.1031842077165
2018,Public,Space Heating,Furnace,___,Natural Gas,High,TJ,0.009764349875477082
2018,Public,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5882.328900570029
2018,Public,Space Heating,Plinthe,___,Electricity,Standard,TJ,497.16832223654626
2018,Public,Space Heating,___,___,District Heating,___,TJ,1501.4626982895495
2018,Public,Water Heating,___,___,District Heating,___,TJ,324.04964187713017
2018,Public,Water Heating,___,___,Electricity,Standard,TJ,29.20491337929621
2018,Public,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.49609683992379655
2018,Public,Water Heating,___,___,Kerosene,Standard,TJ,0.49611419401369533
2018,Public,Water Heating,___,___,Light Fuel Oil,Standard,TJ,50.64496774493231
2018,Public,Water Heating,___,___,Natural Gas,Standard,TJ,801.5693490384178
2018,Residential,Other Appliances,Other,___,Electricity,Standard,TJ,3673.4665935300604
2018,Residential,Clothe Dryer,___,___,Electricity,Standard,TJ,1875.5448351060109
2018,Residential,Clothe Dryer,___,___,Natural Gas,Standard,TJ,82.68377705605525
2018,Residential,Clothe Washer,___,___,Electricity,Standard,TJ,95.1586977646136
2018,Residential,Dish Washer,___,___,Electricity,Standard,TJ,128.13820506950844
2018,Residential,Freezer,___,___,Electricity,Standard,TJ,346.4302974720926
2018,Residential,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,93.58807525723766
2018,Residential,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,796.8253760725117
2018,Residential,Lighting,Halogen,___,Electricity,Standard,Mlm.y,231.10436229932543
2018,Residential,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,742.3049128708941
2018,Residential,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,15.66187698781357
2018,Residential,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,15.098377682715668
2018,Residential,Range,___,___,Electricity,Standard,TJ,1451.0827799878457
2018,Residential,Range,___,___,Natural Gas,Standard,TJ,63.95444468051954
2018,Residential,Refrigerator,___,___,Electricity,Standard,TJ,1089.12688138211
2018,Residential,Space Cooling,Central,___,Electricity,Standard,TJ,10306.372132472847
2018,Residential,Space Cooling,Room,___,Electricity,Standard,TJ,638.3455490341519
2018,Residential,Space Cooling,___,___,District Cooling,___,TJ,90.37679311148355
2018,Residential,Space Heating,Furnace,___,Biomass,Standard,TJ,159.81064710881537
2018,Residential,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.5378887221269926
2018,Residential,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.4248711007584931
2018,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,131.7785992508619
2018,Residential,Space Heating,Furnace,___,Natural Gas,High,TJ,38680.29717360318
2018,Residential,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12481.714750151772
2018,Residential,Space Heating,Furnace,___,Propane,Standard,TJ,0.5084601614620747
2018,Residential,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3930.987781944468
2018,Residential,Space Heating,Plinthe,___,Electricity,Standard,TJ,2283.569012138462
2018,Residential,Space Heating,___,___,District Heating,___,TJ,191.503046960096
2018,Residential,Water Heating,___,___,Biomass,Standard,TJ,255.7207220488892
2018,Residential,Water Heating,___,___,Wood Pellet,Standard,TJ,264.4341802415403
2018,Residential,Water Heating,___,___,District Heating,___,TJ,835.9410913659717
2018,Residential,Water Heating,___,___,Electricity,Standard,TJ,787.0098732544138
2018,Residential,Water Heating,___,___,Kerosene,Standard,TJ,235.82202583989758
2018,Residential,Water Heating,___,___,Light Fuel Oil,Standard,TJ,280.98501720654036
2018,Residential,Water Heating,___,___,Natural Gas,Standard,TJ,14886.695480600682
2018,Residential,Water Heating,___,___,Propane,Standard,TJ,262.235590593557
2019,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17511.68018084174
2019,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1761.3907555005567
2019,Commercial,Auxiliary Equipment,___,___,Propane,Standard,TJ,980.2372875648829
2019,Commercial,Auxiliary Motors,___,___,Electricity,Standard,TJ,2193.32100476113
2019,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1335.9228597228637
2019,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9762.222131733115
2019,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2862.444872232162
2019,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9193.56275053793
2019,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,42.13036338858368
2019,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,75.16042677279859
2019,Commercial,Space Cooling,___,___,District Cooling,___,TJ,1305.806348476079
2019,Commercial,Space Cooling,___,___,Electricity,Standard,TJ,9508.592238105472
2019,Commercial,Space Cooling,___,___,Natural Gas,Standard,TJ,446.46425233593396
2019,Commercial,Space Heating,Furnace,___,Electricity,Standard,TJ,2.7954078158205546
2019,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,5.392265978611588
2019,Commercial,Space Heating,Furnace,___,Kerosene,Standard,TJ,5.391890168185796
2019,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,157.78384427104433
2019,Commercial,Space Heating,Furnace,___,Natural Gas,High,TJ,12.321460077689217
2019,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,TJ,29143.26276282228
2019,Commercial,Space Heating,Furnace,___,Propane,Standard,TJ,866.8912126273539
2019,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,TJ,1590.569356731654
2019,Commercial,Space Heating,Plinthe,___,Electricity,Standard,TJ,906.0721139646143
2019,Commercial,Space Heating,___,___,District Heating,___,TJ,3343.616830132904
2019,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1481.3308031224183
2019,Commercial,Water Heating,___,___,District Heating,___,TJ,558.7115119852245
2019,Commercial,Water Heating,___,___,Electricity,Standard,TJ,143.07868937646677
2019,Commercial,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,29.577636526151085
2019,Commercial,Water Heating,___,___,Kerosene,Standard,TJ,29.577406476184137
2019,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,TJ,192.5267366641707
2019,Commercial,Water Heating,___,___,Natural Gas,Standard,TJ,4932.102786826454
2019,Commercial,Water Heating,___,___,Propane,Standard,TJ,77.46084680551596
2019,Industry,Industrial Processes,Self produced,,Mix Energy,,TJ,30634.078626597246
2019,Industry,Lighting,Self produced,,Mix Energy,,TJ,651.7889069483484
2019,Industry,Space Cooling,Self produced,,Mix Energy,,TJ,1412.2092983880887
2019,Industry,Space Heating,Self produced,,Mix Energy,,TJ,1564.2933766947767
2019,Industry,Water Heating,Self produced,,Mix Energy,,TJ,4093.2343356537904
2019,Public,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2047.1874648705038
2019,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,253.46225319410084
2019,Public,Auxiliary Equipment,___,___,Propane,Standard,TJ,0.008228355784400515
2019,Public,Auxiliary Motors,___,___,Electricity,Standard,TJ,517.1773442305123
