regions,emis_comm,input_comm,tech,vintage,output_comm,emis_act,emis_act_units,emis_act_notes
TO,CO2e,IMPELC,FRETRAELCIMP35,2015,FRETRAELC,17.515945272569944,t/TJ,FreightTransportElectricityImport35
TO,CO2e,IMPELC,FRETRAELCIMP36,2015,FRETRAELC,17.80805867095863,t/TJ,FreightTransportElectricityImport36
TO,CO2e,IMPELC,FRETRAELCIMP37,2015,FRETRAELC,19.05403646397603,t/TJ,FreightTransportElectricityImport37
TO,CO2e,IMPELC,FRETRAELCIMP38,2015,FRETRAELC,18.950371467577313,t/TJ,FreightTransportElectricityImport38
TO,CO2e,IMPELC,FRETRAELCIMP39,2015,FRETRAELC,19.934363188284507,t/TJ,FreightTransportElectricityImport39
TO,CO2e,IMPELC,FRETRAELCIMP40,2015,FRETRAELC,19.31115065051789,t/TJ,FreightTransportElectricityImport40
TO,CO2e,IMPELC,FRETRAELCIMP41,2015,FRETRAELC,19.025322494599894,t/TJ,FreightTransportElectricityImport41
TO,CO2e,IMPELC,FRETRAELCIMP42,2015,FRETRAELC,18.86568766798815,t/TJ,FreightTransportElectricityImport42
TO,CO2e,IMPELC,FRETRAELCIMP43,2015,FRETRAELC,18.68286646876729,t/TJ,FreightTransportElectricityImport43
TO,CO2e,IMPELC,FRETRAELCIMP44,2015,FRETRAELC,18.529547060312588,t/TJ,FreightTransportElectricityImport44
TO,CO2e,IMPELC,FRETRAELCIMP45,2015,FRETRAELC,18.419520861811616,t/TJ,FreightTransportElectricityImport45
TO,CO2e,IMPELC,FRETRAELCIMP46,2015,FRETRAELC,18.32030108609374,t/TJ,FreightTransportElectricityImport46
TO,CO2e,IMPELC,FRETRAELCIMP47,2015,FRETRAELC,18.282301139800644,t/TJ,FreightTransportElectricityImport47
TO,CO2e,IMPELC,FRETRAELCIMP48,2015,FRETRAELC,18.231340763399924,t/TJ,FreightTransportElectricityImport48
TO,CO2e,IMPELC,FRETRAELCIMP49,2015,FRETRAELC,18.14494693923579,t/TJ,FreightTransportElectricityImport49
TO,CO2e,IMPELC,FRETRAELCIMP50,2015,FRETRAELC,18.076306826542304,t/TJ,FreightTransportElectricityImport50
TO,CO2e,IMPNGA,LDITRANGAIMP,2015,LDITRANGA,0.7353153941634564,t/TJ,Long DistanceTransportNatural GasImport
TO,CO2e,IMPSGA,LDITRASGAIMP,2015,LDITRASGA,0.7353153941634564,t/TJ,Long DistanceTransportSynthetic GasImport
TO,CO2e,IMPBMTN,LDITRABMTNIMP,2015,LDITRABMTN,0.7353153941634564,t/TJ,Long DistanceTransportBio MethaneImport
TO,CO2e,IMPSMTN,LDITRASMTNIMP,2015,LDITRASMTN,0.7353153941634564,t/TJ,Long DistanceTransportSynthetic MethaneImport
TO,CO2e,IMPELC,LDITRAELCIMP16,2015,LDITRAELC,10.508030550505026,t/TJ,Long DistanceTransportElectricityImport16
