regions,tech,c2a,c2a_notes
TO,LDITRAELCIMP38,1,Long DistanceTransportElectricityImport38
TO,LDITRAELCIMP39,1,Long DistanceTransportElectricityImport39
TO,LDITRAELCIMP40,1,Long DistanceTransportElectricityImport40
TO,LDITRAELCIMP41,1,Long DistanceTransportElectricityImport41
TO,LDITRAELCIMP42,1,Long DistanceTransportElectricityImport42
TO,LDITRAELCIMP43,1,Long DistanceTransportElectricityImport43
TO,LDITRAELCIMP44,1,Long DistanceTransportElectricityImport44
TO,LDITRAELCIMP45,1,Long DistanceTransportElectricityImport45
TO,LDITRAELCIMP46,1,Long DistanceTransportElectricityImport46
TO,LDITRAELCIMP47,1,Long DistanceTransportElectricityImport47
TO,LDITRAELCIMP48,1,Long DistanceTransportElectricityImport48
TO,LDITRAELCIMP49,1,Long DistanceTransportElectricityImport49
TO,LDITRAELCIMP50,1,Long DistanceTransportElectricityImport50
TO,LDITRABMTNEXP,1,Long DistanceTransportBio MethaneExport
TO,LDITRACETHEXP,1,Long DistanceTransportCellulosic EthanolExport
TO,LDITRAHH2EXP,1,Long DistanceTransportHydrogenExport
TO,PUBTRABDSLIMP,1,PublicTransportBio DieselImport
TO,PUBTRARDSLIMP,1,PublicTransportRenewable DieselImport
TO,PUBTRADSLIMP,1,PublicTransportDieselImport
TO,PUBTRAFTDSLIMP,1,PublicTransportFT DieselImport
TO,PUBTRAETHIMP,1,PublicTransportEthanolImport
TO,PUBTRACETHIMP,1,PublicTransportCellulosic EthanolImport
TO,PUBTRAGASIMP,1,PublicTransportGasolineImport
TO,PUBTRAHH2IMP,1,PublicTransportHydrogenImport
TO,PUBTRAHFOIMP,1,PublicTransportHeavy Fuel OilImport
TO,PUBTRAKERIMP,1,PublicTransportKeroseneImport
TO,PUBTRALFOIMP,1,PublicTransportLight Fuel OilImport
TO,PUBTRANGAIMP,1,PublicTransportNatural GasImport
TO,PUBTRABMTNIMP,1,PublicTransportBio MethaneImport
TO,PUBTRASGAIMP,1,PublicTransportSynthetic GasImport
TO,PUBTRASMTNIMP,1,PublicTransportSynthetic MethaneImport
TO,PUBTRAPROIMP,1,PublicTransportPropaneImport
TO,PUBTRAELCIMP16,1,PublicTransportElectricityImport16
TO,PUBTRAELCIMP17,1,PublicTransportElectricityImport17
TO,PUBTRAELCIMP18,1,PublicTransportElectricityImport18
TO,PUBTRAELCIMP19,1,PublicTransportElectricityImport19
TO,PUBTRAELCIMP20,1,PublicTransportElectricityImport20
TO,PUBTRAELCIMP21,1,PublicTransportElectricityImport21
TO,PUBTRAELCIMP22,1,PublicTransportElectricityImport22
TO,PUBTRAELCIMP23,1,PublicTransportElectricityImport23
TO,PUBTRAELCIMP24,1,PublicTransportElectricityImport24
TO,PUBTRAELCIMP25,1,PublicTransportElectricityImport25
TO,PUBTRAELCIMP26,1,PublicTransportElectricityImport26
TO,PUBTRAELCIMP27,1,PublicTransportElectricityImport27
TO,PUBTRAELCIMP28,1,PublicTransportElectricityImport28
TO,PUBTRAELCIMP29,1,PublicTransportElectricityImport29
TO,PUBTRAELCIMP30,1,PublicTransportElectricityImport30
TO,PUBTRAELCIMP31,1,PublicTransportElectricityImport31
TO,PUBTRAELCIMP32,1,PublicTransportElectricityImport32
TO,PUBTRAELCIMP33,1,PublicTransportElectricityImport33
TO,PUBTRAELCIMP34,1,PublicTransportElectricityImport34
TO,PUBTRAELCIMP35,1,PublicTransportElectricityImport35
TO,PUBTRAELCIMP36,1,PublicTransportElectricityImport36
TO,PUBTRAELCIMP37,1,PublicTransportElectricityImport37
TO,PUBTRAELCIMP38,1,PublicTransportElectricityImport38
TO,PUBTRAELCIMP39,1,PublicTransportElectricityImport39
TO,PUBTRAELCIMP40,1,PublicTransportElectricityImport40
TO,PUBTRAELCIMP41,1,PublicTransportElectricityImport41
TO,PUBTRAELCIMP42,1,PublicTransportElectricityImport42
TO,PUBTRAELCIMP43,1,PublicTransportElectricityImport43
TO,PUBTRAELCIMP44,1,PublicTransportElectricityImport44
TO,PUBTRAELCIMP45,1,PublicTransportElectricityImport45
TO,PUBTRAELCIMP46,1,PublicTransportElectricityImport46
TO,PUBTRAELCIMP47,1,PublicTransportElectricityImport47
TO,PUBTRAELCIMP48,1,PublicTransportElectricityImport48
TO,PUBTRAELCIMP49,1,PublicTransportElectricityImport49
TO,PUBTRAELCIMP50,1,PublicTransportElectricityImport50
TO,PUBTRABMTNEXP,1,PublicTransportBio MethaneExport
TO,PUBTRACETHEXP,1,PublicTransportCellulosic EthanolExport
TO,PUBTRAHH2EXP,1,PublicTransportHydrogenExport
TO,RESBDGNGAIMP,1,ResidentialBuildingNatural GasImport
TO,RESBDGLFOIMP,1,ResidentialBuildingLight Fuel OilImport
TO,RESBDGPROIMP,1,ResidentialBuildingPropaneImport
TO,RESBDGBMAIMP,1,ResidentialBuildingBiomassImport
TO,RESBDGHH2IMP,1,ResidentialBuildingHydrogenImport
TO,RESBDGKERIMP,1,ResidentialBuildingKeroseneImport
TO,RESBDGBWPIMP,1,ResidentialBuildingWood PelletImport
TO,RESBDGBMTNIMP,1,ResidentialBuildingBio MethaneImport
TO,RESBDGSGAIMP,1,ResidentialBuildingSynthetic GasImport
TO,RESBDGGEOIMP,1,ResidentialBuildingGeothermal EnergyImport
TO,RESBDGSOLIMP,1,ResidentialBuildingSolarImport
TO,RESBDGSMTNIMP,1,ResidentialBuildingSynthetic MethaneImport
TO,RESBDGELCIMP16,1,ResidentialBuildingElectricityImport16
TO,RESBDGELCIMP17,1,ResidentialBuildingElectricityImport17
TO,RESBDGELCIMP18,1,ResidentialBuildingElectricityImport18
TO,RESBDGELCIMP19,1,ResidentialBuildingElectricityImport19
TO,RESBDGELCIMP20,1,ResidentialBuildingElectricityImport20
TO,RESBDGELCIMP21,1,ResidentialBuildingElectricityImport21
TO,RESBDGELCIMP22,1,ResidentialBuildingElectricityImport22
TO,RESBDGELCIMP23,1,ResidentialBuildingElectricityImport23
TO,RESBDGELCIMP24,1,ResidentialBuildingElectricityImport24
TO,RESBDGELCIMP25,1,ResidentialBuildingElectricityImport25
TO,RESBDGELCIMP26,1,ResidentialBuildingElectricityImport26
TO,RESBDGELCIMP27,1,ResidentialBuildingElectricityImport27
TO,RESBDGELCIMP28,1,ResidentialBuildingElectricityImport28
TO,RESBDGELCIMP29,1,ResidentialBuildingElectricityImport29
TO,RESBDGELCIMP30,1,ResidentialBuildingElectricityImport30
