tech,flag,sector,tech_desc,tech_category
LDITRAELCIMP17,r,TRAENE,Long DistanceTransportElectricityImport17,
LDITRAELCIMP18,r,TRAENE,Long DistanceTransportElectricityImport18,
LDITRAELCIMP19,r,TRAENE,Long DistanceTransportElectricityImport19,
LDITRAELCIMP20,r,TRAENE,Long DistanceTransportElectricityImport20,
LDITRAELCIMP21,r,TRAENE,Long DistanceTransportElectricityImport21,
LDITRAELCIMP22,r,TRAENE,Long DistanceTransportElectricityImport22,
LDITRAELCIMP23,r,TRAENE,Long DistanceTransportElectricityImport23,
LDITRAELCIMP24,r,TRAENE,Long DistanceTransportElectricityImport24,
LDITRAELCIMP25,r,TRAENE,Long DistanceTransportElectricityImport25,
LDITRAELCIMP26,r,TRAENE,Long DistanceTransportElectricityImport26,
LDITRAELCIMP27,r,TRAENE,Long DistanceTransportElectricityImport27,
LDITRAELCIMP28,r,TRAENE,Long DistanceTransportElectricityImport28,
LDITRAELCIMP29,r,TRAENE,Long DistanceTransportElectricityImport29,
LDITRAELCIMP30,r,TRAENE,Long DistanceTransportElectricityImport30,
LDITRAELCIMP31,r,TRAENE,Long DistanceTransportElectricityImport31,
LDITRAELCIMP32,r,TRAENE,Long DistanceTransportElectricityImport32,
LDITRAELCIMP33,r,TRAENE,Long DistanceTransportElectricityImport33,
LDITRAELCIMP34,r,TRAENE,Long DistanceTransportElectricityImport34,
LDITRAELCIMP35,r,TRAENE,Long DistanceTransportElectricityImport35,
LDITRAELCIMP36,r,TRAENE,Long DistanceTransportElectricityImport36,
LDITRAELCIMP37,r,TRAENE,Long DistanceTransportElectricityImport37,
LDITRAELCIMP38,r,TRAENE,Long DistanceTransportElectricityImport38,
LDITRAELCIMP39,r,TRAENE,Long DistanceTransportElectricityImport39,
LDITRAELCIMP40,r,TRAENE,Long DistanceTransportElectricityImport40,
LDITRAELCIMP41,r,TRAENE,Long DistanceTransportElectricityImport41,
LDITRAELCIMP42,r,TRAENE,Long DistanceTransportElectricityImport42,
LDITRAELCIMP43,r,TRAENE,Long DistanceTransportElectricityImport43,
LDITRAELCIMP44,r,TRAENE,Long DistanceTransportElectricityImport44,
LDITRAELCIMP45,r,TRAENE,Long DistanceTransportElectricityImport45,
LDITRAELCIMP46,r,TRAENE,Long DistanceTransportElectricityImport46,
LDITRAELCIMP47,r,TRAENE,Long DistanceTransportElectricityImport47,
LDITRAELCIMP48,r,TRAENE,Long DistanceTransportElectricityImport48,
LDITRAELCIMP49,r,TRAENE,Long DistanceTransportElectricityImport49,
LDITRAELCIMP50,r,TRAENE,Long DistanceTransportElectricityImport50,
LDITRABMTNEXP,p,TRAENE,Long DistanceTransportBio MethaneExport,
LDITRACETHEXP,p,TRAENE,Long DistanceTransportCellulosic EthanolExport,
LDITRAHH2EXP,p,TRAENE,Long DistanceTransportHydrogenExport,
PUBTRABDSLIMP,r,TRAENE,PublicTransportBio DieselImport,
PUBTRARDSLIMP,r,TRAENE,PublicTransportRenewable DieselImport,
PUBTRADSLIMP,r,TRAENE,PublicTransportDieselImport,
PUBTRAFTDSLIMP,r,TRAENE,PublicTransportFT DieselImport,
PUBTRAETHIMP,r,TRAENE,PublicTransportEthanolImport,
PUBTRACETHIMP,r,TRAENE,PublicTransportCellulosic EthanolImport,
PUBTRAGASIMP,r,TRAENE,PublicTransportGasolineImport,
PUBTRAHH2IMP,r,TRAENE,PublicTransportHydrogenImport,
PUBTRAHFOIMP,r,TRAENE,PublicTransportHeavy Fuel OilImport,
PUBTRAKERIMP,r,TRAENE,PublicTransportKeroseneImport,
PUBTRALFOIMP,r,TRAENE,PublicTransportLight Fuel OilImport,
PUBTRANGAIMP,r,TRAENE,PublicTransportNatural GasImport,
PUBTRABMTNIMP,r,TRAENE,PublicTransportBio MethaneImport,
PUBTRASGAIMP,r,TRAENE,PublicTransportSynthetic GasImport,
PUBTRASMTNIMP,r,TRAENE,PublicTransportSynthetic MethaneImport,
PUBTRAPROIMP,r,TRAENE,PublicTransportPropaneImport,
PUBTRAELCIMP16,r,TRAENE,PublicTransportElectricityImport16,
PUBTRAELCIMP17,r,TRAENE,PublicTransportElectricityImport17,
PUBTRAELCIMP18,r,TRAENE,PublicTransportElectricityImport18,
PUBTRAELCIMP19,r,TRAENE,PublicTransportElectricityImport19,
PUBTRAELCIMP20,r,TRAENE,PublicTransportElectricityImport20,
PUBTRAELCIMP21,r,TRAENE,PublicTransportElectricityImport21,
PUBTRAELCIMP22,r,TRAENE,PublicTransportElectricityImport22,
PUBTRAELCIMP23,r,TRAENE,PublicTransportElectricityImport23,
PUBTRAELCIMP24,r,TRAENE,PublicTransportElectricityImport24,
PUBTRAELCIMP25,r,TRAENE,PublicTransportElectricityImport25,
PUBTRAELCIMP26,r,TRAENE,PublicTransportElectricityImport26,
PUBTRAELCIMP27,r,TRAENE,PublicTransportElectricityImport27,
PUBTRAELCIMP28,r,TRAENE,PublicTransportElectricityImport28,
PUBTRAELCIMP29,r,TRAENE,PublicTransportElectricityImport29,
PUBTRAELCIMP30,r,TRAENE,PublicTransportElectricityImport30,
PUBTRAELCIMP31,r,TRAENE,PublicTransportElectricityImport31,
PUBTRAELCIMP32,r,TRAENE,PublicTransportElectricityImport32,
PUBTRAELCIMP33,r,TRAENE,PublicTransportElectricityImport33,
PUBTRAELCIMP34,r,TRAENE,PublicTransportElectricityImport34,
PUBTRAELCIMP35,r,TRAENE,PublicTransportElectricityImport35,
PUBTRAELCIMP36,r,TRAENE,PublicTransportElectricityImport36,
PUBTRAELCIMP37,r,TRAENE,PublicTransportElectricityImport37,
PUBTRAELCIMP38,r,TRAENE,PublicTransportElectricityImport38,
PUBTRAELCIMP39,r,TRAENE,PublicTransportElectricityImport39,
