regions,tech,life,life_notes
TO,PUBTRAELCIMP20,200,PublicTransportElectricityImport20
TO,PUBTRAELCIMP21,200,PublicTransportElectricityImport21
TO,PUBTRAELCIMP22,200,PublicTransportElectricityImport22
TO,PUBTRAELCIMP23,200,PublicTransportElectricityImport23
TO,PUBTRAELCIMP24,200,PublicTransportElectricityImport24
TO,PUBTRAELCIMP25,200,PublicTransportElectricityImport25
TO,PUBTRAELCIMP26,200,PublicTransportElectricityImport26
TO,PUBTRAELCIMP27,200,PublicTransportElectricityImport27
TO,PUBTRAELCIMP28,200,PublicTransportElectricityImport28
TO,PUBTRAELCIMP29,200,PublicTransportElectricityImport29
TO,PUBTRAELCIMP30,200,PublicTransportElectricityImport30
TO,PUBTRAELCIMP31,200,PublicTransportElectricityImport31
TO,PUBTRAELCIMP32,200,PublicTransportElectricityImport32
TO,PUBTRAELCIMP33,200,PublicTransportElectricityImport33
TO,PUBTRAELCIMP34,200,PublicTransportElectricityImport34
TO,PUBTRAELCIMP35,200,PublicTransportElectricityImport35
TO,PUBTRAELCIMP36,200,PublicTransportElectricityImport36
TO,PUBTRAELCIMP37,200,PublicTransportElectricityImport37
TO,PUBTRAELCIMP38,200,PublicTransportElectricityImport38
TO,PUBTRAELCIMP39,200,PublicTransportElectricityImport39
TO,PUBTRAELCIMP40,200,PublicTransportElectricityImport40
TO,PUBTRAELCIMP41,200,PublicTransportElectricityImport41
TO,PUBTRAELCIMP42,200,PublicTransportElectricityImport42
TO,PUBTRAELCIMP43,200,PublicTransportElectricityImport43
TO,PUBTRAELCIMP44,200,PublicTransportElectricityImport44
TO,PUBTRAELCIMP45,200,PublicTransportElectricityImport45
TO,PUBTRAELCIMP46,200,PublicTransportElectricityImport46
TO,PUBTRAELCIMP47,200,PublicTransportElectricityImport47
TO,PUBTRAELCIMP48,200,PublicTransportElectricityImport48
TO,PUBTRAELCIMP49,200,PublicTransportElectricityImport49
TO,PUBTRAELCIMP50,200,PublicTransportElectricityImport50
TO,PUBTRABMTNEXP,200,PublicTransportBio MethaneExport
TO,PUBTRACETHEXP,200,PublicTransportCellulosic EthanolExport
TO,PUBTRAHH2EXP,200,PublicTransportHydrogenExport
TO,RESBDGNGAIMP,200,ResidentialBuildingNatural GasImport
TO,RESBDGLFOIMP,200,ResidentialBuildingLight Fuel OilImport
TO,RESBDGPROIMP,200,ResidentialBuildingPropaneImport
TO,RESBDGBMAIMP,200,ResidentialBuildingBiomassImport
TO,RESBDGHH2IMP,200,ResidentialBuildingHydrogenImport
TO,RESBDGKERIMP,200,ResidentialBuildingKeroseneImport
TO,RESBDGBWPIMP,200,ResidentialBuildingWood PelletImport
TO,RESBDGBMTNIMP,200,ResidentialBuildingBio MethaneImport
TO,RESBDGSGAIMP,200,ResidentialBuildingSynthetic GasImport
TO,RESBDGGEOIMP,200,ResidentialBuildingGeothermal EnergyImport
TO,RESBDGSOLIMP,200,ResidentialBuildingSolarImport
TO,RESBDGSMTNIMP,200,ResidentialBuildingSynthetic MethaneImport
TO,RESBDGELCIMP16,200,ResidentialBuildingElectricityImport16
TO,RESBDGELCIMP17,200,ResidentialBuildingElectricityImport17
TO,RESBDGELCIMP18,200,ResidentialBuildingElectricityImport18
TO,RESBDGELCIMP19,200,ResidentialBuildingElectricityImport19
TO,RESBDGELCIMP20,200,ResidentialBuildingElectricityImport20
TO,RESBDGELCIMP21,200,ResidentialBuildingElectricityImport21
TO,RESBDGELCIMP22,200,ResidentialBuildingElectricityImport22
TO,RESBDGELCIMP23,200,ResidentialBuildingElectricityImport23
TO,RESBDGELCIMP24,200,ResidentialBuildingElectricityImport24
TO,RESBDGELCIMP25,200,ResidentialBuildingElectricityImport25
TO,RESBDGELCIMP26,200,ResidentialBuildingElectricityImport26
TO,RESBDGELCIMP27,200,ResidentialBuildingElectricityImport27
TO,RESBDGELCIMP28,200,ResidentialBuildingElectricityImport28
TO,RESBDGELCIMP29,200,ResidentialBuildingElectricityImport29
TO,RESBDGELCIMP30,200,ResidentialBuildingElectricityImport30
