regions,tech,group_name,act_fraction,tech_desc
TO,PUBBDGELCIMP34,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP35,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP36,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP37,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP38,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP39,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP40,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP41,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP42,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP43,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP44,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP45,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP46,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP47,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP48,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP49,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP50,TRAENE-PUBBDG,1,
TO,PUBTRAELCIMP16,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP17,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP18,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP19,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP20,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP21,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP22,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP23,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP24,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP25,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP26,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP27,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP28,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP29,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP30,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP31,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP32,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP33,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP34,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP35,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP36,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP37,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP38,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP39,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP40,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP41,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP42,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP43,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP44,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP45,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP46,TRAENE-PUBTRA,1,
