periods,group_name,min_act_g,tech_desc
2042,BAU-ENE-1-FRETRA,18596.05895,
2042,BAU-ENE-1-PASTRA,53612.19036,
2042,BAU-ENE-1-PUBTRA,1123.044586,
2042,BAU-ENE-1-COMBDG,84439.69667,
2042,BAU-ENE-1-INDBDG,16796.8488,
2042,BAU-ENE-1-PUBBDG,13892.84994,
2042,BAU-ENE-1-RESBDG,78286.05412,
2043,BAU-ENE-1-FRETRA,18351.37396,
2043,BAU-ENE-1-PASTRA,52906.7668,
2043,BAU-ENE-1-PUBTRA,1108.267684,
2043,BAU-ENE-1-COMBDG,83328.64803,
2043,BAU-ENE-1-INDBDG,16575.83763,
2043,BAU-ENE-1-PUBBDG,13710.04929,
2043,BAU-ENE-1-RESBDG,77255.97446,
2044,BAU-ENE-1-FRETRA,18106.68898,
2044,BAU-ENE-1-PASTRA,52201.34324,
2044,BAU-ENE-1-PUBTRA,1093.490781,
2044,BAU-ENE-1-COMBDG,82217.59939,
2044,BAU-ENE-1-INDBDG,16354.82646,
2044,BAU-ENE-1-PUBBDG,13527.24863,
2044,BAU-ENE-1-RESBDG,76225.8948,
2045,BAU-ENE-1-FRETRA,17862.00399,
2045,BAU-ENE-1-PASTRA,51495.91969,
2045,BAU-ENE-1-PUBTRA,1078.713879,
2045,BAU-ENE-1-COMBDG,81106.55075,
2045,BAU-ENE-1-INDBDG,16133.81529,
2045,BAU-ENE-1-PUBBDG,13344.44797,
2045,BAU-ENE-1-RESBDG,75195.81514,
2046,BAU-ENE-1-FRETRA,17617.319,
2046,BAU-ENE-1-PASTRA,50790.49613,
2046,BAU-ENE-1-PUBTRA,1063.936977,
2046,BAU-ENE-1-COMBDG,79995.50211,
2046,BAU-ENE-1-INDBDG,15912.80413,
2046,BAU-ENE-1-PUBBDG,13161.64731,
2046,BAU-ENE-1-RESBDG,74165.73548,
2047,BAU-ENE-1-FRETRA,17372.63402,
2047,BAU-ENE-1-PASTRA,50085.07257,
2047,BAU-ENE-1-PUBTRA,1049.160074,
2047,BAU-ENE-1-COMBDG,78884.45347,
2047,BAU-ENE-1-INDBDG,15691.79296,
2047,BAU-ENE-1-PUBBDG,12978.84666,
2047,BAU-ENE-1-RESBDG,73135.65582,
2048,BAU-ENE-1-FRETRA,17127.94903,
2048,BAU-ENE-1-PASTRA,49379.64902,
2048,BAU-ENE-1-PUBTRA,1034.383172,
2048,BAU-ENE-1-COMBDG,77773.40482,
2048,BAU-ENE-1-INDBDG,15470.78179,
2048,BAU-ENE-1-PUBBDG,12796.046,
2048,BAU-ENE-1-RESBDG,72105.57616,
2049,BAU-ENE-1-FRETRA,16883.26405,
2049,BAU-ENE-1-PASTRA,48674.22546,
2049,BAU-ENE-1-PUBTRA,1019.606269,
2049,BAU-ENE-1-COMBDG,76662.35618,
2049,BAU-ENE-1-INDBDG,15249.77062,
2049,BAU-ENE-1-PUBBDG,12613.24534,
2049,BAU-ENE-1-RESBDG,71075.4965,
2050,BAU-ENE-1-FRETRA,16638.57906,
2050,BAU-ENE-1-PASTRA,47968.8019,
2050,BAU-ENE-1-PUBTRA,1004.829367,
2050,BAU-ENE-1-COMBDG,75551.30754,
2050,BAU-ENE-1-INDBDG,15028.75945,
2050,BAU-ENE-1-PUBBDG,12430.44469,
2050,BAU-ENE-1-RESBDG,70045.41684,
