regions,periods,tech,minact,minact_units,minact_notes
TO,2017,PASTRAROATRULGTRSHCONVNGA____16,0.0,,
TO,2017,PASTRAROATRULGTTAXCONVNGA____16,0.0,,
TO,2017,PASTRAROABUSIUBDURTCONVGAS____16,0.0,,
TO,2017,PASTRAROABUSIUBGOBCONVGAS____16,0.0,,
TO,2017,PASTRAROABUSIUBMWAYCONVGAS____16,0.0,,
TO,2017,PASTRAROABUSIUBVIVACONVGAS____16,0.0,,
TO,2017,PASTRAROABUSSCB___CONVGAS____16,0.0,,
TO,2017,PASTRAROABUSURBTBUCONVGAS____16,0.0,,
TO,2017,PASTRAROABUSURBWTBCONVGAS____16,0.0,,
TO,2017,PASTRAROACAR___ADRCONVGAS____16,37.3,,
TO,2017,PASTRAROACAR___APGCONVGAS____16,4.2,,
TO,2017,PASTRAROACAR___RSHCONVGAS____16,0.3,,
TO,2017,PASTRAROACAR___TAXCONVGAS____16,0.5,,
TO,2017,PASTRAROAMOR______CONVGAS____16,0.3,,
TO,2017,PASTRAROATRULGTADRCONVGAS____16,38.0,,
TO,2017,PASTRAROATRULGTAPGCONVGAS____16,4.2,,
TO,2017,PASTRAROATRULGTRSHCONVGAS____16,0.3,,
TO,2017,PASTRAROATRULGTTAXCONVGAS____16,0.2,,
TO,2017,PASTRAROACAR___ADRCONVPRO____16,0.4,,
TO,2017,PASTRAROACAR___APGCONVPRO____16,0.0,,
TO,2017,PASTRAROACAR___RSHCONVPRO____16,0.0,,
TO,2017,PASTRAROACAR___TAXCONVPRO____16,0.0,,
TO,2017,PASTRAROATRULGTADRCONVPRO____16,0.1,,
TO,2017,PASTRAROATRULGTAPGCONVPRO____16,0.0,,
TO,2017,PASTRAROATRULGTRSHCONVPRO____16,0.0,,
TO,2017,PASTRAROATRULGTTAXCONVPRO____16,0.0,,
TO,2018,PASTRARAIREG___GOR___DSL____16,0.1,,
TO,2018,PASTRARAIREG___GOR___ELC____16,0.0,,
TO,2018,PASTRARAIREG___UPX___DSL____16,0.1,,
TO,2018,PASTRARAIREG___UPX___ELC____16,0.0,,
TO,2018,PASTRARAISUB___TSU___DSL____16,0.0,,
TO,2018,PASTRARAISUB___TSU___ELC____16,0.3,,
TO,2018,PASTRARAITRM___TST___DSL____16,0.0,,
TO,2018,PASTRARAITRM___TST___ELC____16,0.2,,
TO,2018,PASTRAROABUSIUBDURTCONVDSL____16,0.0,,
TO,2018,PASTRAROABUSIUBGOBCONVDSL____16,0.0,,
TO,2018,PASTRAROABUSIUBMWAYCONVDSL____16,0.1,,
TO,2018,PASTRAROABUSIUBVIVACONVDSL____16,0.0,,
TO,2018,PASTRAROABUSSCB___CONVDSL____16,0.0,,
TO,2018,PASTRAROABUSURBTBUCONVDSL____16,0.9,,
TO,2018,PASTRAROABUSURBWTBCONVDSL____16,0.0,,
TO,2018,PASTRAROACAR___ADRCONVDSL____16,1.1,,
TO,2018,PASTRAROACAR___APGCONVDSL____16,0.1,,
TO,2018,PASTRAROACAR___RSHCONVDSL____16,0.0,,
TO,2018,PASTRAROACAR___TAXCONVDSL____16,0.0,,
TO,2018,PASTRAROATRULGTADRCONVDSL____16,0.9,,
TO,2018,PASTRAROATRULGTAPGCONVDSL____16,0.1,,
TO,2018,PASTRAROATRULGTRSHCONVDSL____16,0.0,,
TO,2018,PASTRAROATRULGTTAXCONVDSL____16,0.0,,
TO,2018,PASTRAROABUSSCB___CONVNGA____16,0.0,,
TO,2018,PASTRAROABUSURBTBUCONVNGA____16,0.0,,
TO,2018,PASTRAROABUSURBWTBCONVNGA____16,0.0,,
TO,2018,PASTRAROACAR___ADRCONVNGA____16,0.1,,
TO,2018,PASTRAROACAR___APGCONVNGA____16,0.0,,
TO,2018,PASTRAROACAR___RSHCONVNGA____16,0.0,,
TO,2018,PASTRAROACAR___TAXCONVNGA____16,0.0,,
TO,2018,PASTRAROATRULGTADRCONVNGA____16,0.0,,
TO,2018,PASTRAROATRULGTAPGCONVNGA____16,0.0,,
TO,2018,PASTRAROATRULGTRSHCONVNGA____16,0.0,,
TO,2018,PASTRAROATRULGTTAXCONVNGA____16,0.0,,
TO,2018,PASTRAROABUSIUBDURTCONVGAS____16,0.0,,
TO,2018,PASTRAROABUSIUBGOBCONVGAS____16,0.0,,
TO,2018,PASTRAROABUSIUBMWAYCONVGAS____16,0.0,,
TO,2018,PASTRAROABUSIUBVIVACONVGAS____16,0.0,,
TO,2018,PASTRAROABUSSCB___CONVGAS____16,0.0,,
TO,2018,PASTRAROABUSURBTBUCONVGAS____16,0.0,,
TO,2018,PASTRAROABUSURBWTBCONVGAS____16,0.0,,
TO,2018,PASTRAROACAR___ADRCONVGAS____16,74.4,,
TO,2018,PASTRAROACAR___APGCONVGAS____16,8.3,,
TO,2018,PASTRAROACAR___RSHCONVGAS____16,0.6,,
TO,2018,PASTRAROACAR___TAXCONVGAS____16,1.0,,
TO,2018,PASTRAROAMOR______CONVGAS____16,0.5,,
TO,2018,PASTRAROATRULGTADRCONVGAS____16,75.8,,
TO,2018,PASTRAROATRULGTAPGCONVGAS____16,8.5,,
TO,2018,PASTRAROATRULGTRSHCONVGAS____16,0.6,,
TO,2018,PASTRAROATRULGTTAXCONVGAS____16,0.3,,
TO,2018,PASTRAROACAR___ADRCONVPRO____16,0.8,,
TO,2018,PASTRAROACAR___APGCONVPRO____16,0.1,,
TO,2018,PASTRAROACAR___RSHCONVPRO____16,0.0,,
TO,2018,PASTRAROACAR___TAXCONVPRO____16,0.0,,
TO,2018,PASTRAROATRULGTADRCONVPRO____16,0.3,,
TO,2018,PASTRAROATRULGTAPGCONVPRO____16,0.0,,
TO,2018,PASTRAROATRULGTRSHCONVPRO____16,0.0,,
TO,2018,PASTRAROATRULGTTAXCONVPRO____16,0.0,,
TO,2019,PASTRARAIREG___GOR___DSL____16,0.2,,
TO,2019,PASTRARAIREG___GOR___ELC____16,0.0,,
TO,2019,PASTRARAIREG___UPX___DSL____16,0.1,,
TO,2019,PASTRARAIREG___UPX___ELC____16,0.0,,
TO,2019,PASTRARAISUB___TSU___DSL____16,0.0,,
TO,2019,PASTRARAISUB___TSU___ELC____16,0.4,,
TO,2019,PASTRARAITRM___TST___DSL____16,0.0,,
TO,2019,PASTRARAITRM___TST___ELC____16,0.3,,
TO,2019,PASTRAROABUSIUBDURTCONVDSL____16,0.0,,
TO,2019,PASTRAROABUSIUBGOBCONVDSL____16,0.0,,
TO,2019,PASTRAROABUSIUBMWAYCONVDSL____16,0.1,,
TO,2019,PASTRAROABUSIUBVIVACONVDSL____16,0.0,,
TO,2019,PASTRAROABUSSCB___CONVDSL____16,0.0,,
TO,2019,PASTRAROABUSURBTBUCONVDSL____16,1.4,,
TO,2019,PASTRAROABUSURBWTBCONVDSL____16,0.1,,
TO,2019,PASTRAROACAR___ADRCONVDSL____16,1.6,,
TO,2019,PASTRAROACAR___APGCONVDSL____16,0.2,,
TO,2019,PASTRAROACAR___RSHCONVDSL____16,0.0,,
TO,2019,PASTRAROACAR___TAXCONVDSL____16,0.0,,
TO,2019,PASTRAROATRULGTADRCONVDSL____16,1.3,,
TO,2019,PASTRAROATRULGTAPGCONVDSL____16,0.1,,
TO,2019,PASTRAROATRULGTRSHCONVDSL____16,0.0,,
TO,2019,PASTRAROATRULGTTAXCONVDSL____16,0.0,,
TO,2019,PASTRAROABUSSCB___CONVNGA____16,0.0,,
TO,2019,PASTRAROABUSURBTBUCONVNGA____16,0.0,,
TO,2019,PASTRAROABUSURBWTBCONVNGA____16,0.0,,
TO,2019,PASTRAROACAR___ADRCONVNGA____16,0.1,,
TO,2019,PASTRAROACAR___APGCONVNGA____16,0.0,,
TO,2019,PASTRAROACAR___RSHCONVNGA____16,0.0,,
TO,2019,PASTRAROACAR___TAXCONVNGA____16,0.0,,
TO,2019,PASTRAROATRULGTADRCONVNGA____16,0.0,,
TO,2019,PASTRAROATRULGTAPGCONVNGA____16,0.0,,
TO,2019,PASTRAROATRULGTRSHCONVNGA____16,0.0,,
TO,2019,PASTRAROATRULGTTAXCONVNGA____16,0.0,,
TO,2019,PASTRAROABUSIUBDURTCONVGAS____16,0.0,,
TO,2019,PASTRAROABUSIUBGOBCONVGAS____16,0.0,,
TO,2019,PASTRAROABUSIUBMWAYCONVGAS____16,0.0,,
TO,2019,PASTRAROABUSIUBVIVACONVGAS____16,0.0,,
TO,2019,PASTRAROABUSSCB___CONVGAS____16,0.0,,
TO,2019,PASTRAROABUSURBTBUCONVGAS____16,0.0,,
TO,2019,PASTRAROABUSURBWTBCONVGAS____16,0.0,,
TO,2019,PASTRAROACAR___ADRCONVGAS____16,112.8,,
TO,2019,PASTRAROACAR___APGCONVGAS____16,12.6,,
TO,2019,PASTRAROACAR___RSHCONVGAS____16,0.9,,
TO,2019,PASTRAROACAR___TAXCONVGAS____16,1.5,,
TO,2019,PASTRAROAMOR______CONVGAS____16,0.8,,
TO,2019,PASTRAROATRULGTADRCONVGAS____16,114.9,,
