regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2040,RESBDGSDENewSHPST___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFIR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHPST___HIGBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFUR___ESRPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFUR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFUR___ESRPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHHEP___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldRAG______HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFUR___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHBOI___STDHH2_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHSTV___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHSTV___HIGBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFUR___HIGLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFUR___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFUR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFIR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHPST___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFIR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHPST___HIGBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFUR___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFUR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFUR___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFUR___STDLFO_23,NZ40-BDG-2-RESBDG,0,
