"Discounted Investment and fixed Costs for waste sector by end use, per vintage. (k CAD 2016)"
vintage,sector,Cost_type,Cost,EndUse,Treatment_Plant,Tech_type_1,Tech_type_2,Efficiency,Energy_cat,Costs
2015,Solid Waste,FixedCosts,Discounted,Landfill,MI - Arbor Hills,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Beare Rd,Biogas capture,,,,3541.481309626909
2015,Solid Waste,FixedCosts,Discounted,Landfill,Beare Rd,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Beare Rd,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Brock West,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Brock West,Leaking,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,MI - Carleton farms,Biogas capture,,,,6735.65199121288
2015,Solid Waste,FixedCosts,Discounted,Landfill,MI - Carleton farms,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,MI - Carleton farms,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Green Lane,Aggregate demand,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Green Lane,Biogas capture,,,,28299.447663563085
2015,Solid Waste,FixedCosts,Discounted,Landfill,Green Lane,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Green Lane,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Keele Valley,Biogas capture,,,,20974.756662792428
2015,Solid Waste,FixedCosts,Discounted,Landfill,Keele Valley,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Keele Valley,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Thackeray,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,Thackeray,Leaking,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Compost,Biogas generation,,,,125177.54900000012
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Compost,Leaking,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Dufferin,Anaerobic Digester,,,Mix Natural gas,86831.70758494647
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Dufferin,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Dufferin,Tons to Energy,,,,9625.0
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Dufferin,Export of energy,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Disco Road,Anaerobic Digester,,,Mix Natural gas,81956.20334375818
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Disco Road,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Disco Road,Tons to Energy,,,,13125.0
2015,Solid Waste,FixedCosts,Undiscounted,Green Bin,Disco Road,Export of energy,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,MI - Arbor Hills,Biogas capture,,,,3969.938082941078
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,MI - Arbor Hills,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,MI - Arbor Hills,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Beare Rd,Biogas capture,,,,5600.612712616973
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Beare Rd,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Beare Rd,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Brock West,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Brock West,Leaking,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,MI - Carleton farms,Biogas capture,,,,10651.977201518774
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,MI - Carleton farms,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,MI - Carleton farms,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Green Lane,Aggregate demand,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Green Lane,Biogas capture,,,,44753.65884714705
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Green Lane,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Green Lane,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Keele Valley,Biogas capture,,,,33170.156366590665
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Keele Valley,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Keele Valley,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Thackeray,Biogas generation,,,,0.0
2015,Solid Waste,FixedCosts,Undiscounted,Landfill,Thackeray,Leaking,,,,0.0
2016,Water Waste,FixedCosts,Discounted,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,___,Mix Energy,114.2882360383595
2016,Water Waste,FixedCosts,Discounted,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,Carbon Capture Storage,Hydrogen,356.42160604098103
