"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2016,Residential,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,741.6259161812701
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,3.472586691134022
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.466808895434417
2016,Residential,Range,___,___,Electricity,Standard,TJ,1389.5986354525664
2016,Residential,Range,___,___,Natural Gas,Standard,TJ,96.03530828293795
2016,Residential,Refrigerator,___,___,Electricity,Standard,TJ,1067.9895108750272
2016,Residential,Space Cooling,Central,___,Electricity,Standard,TJ,10238.38386278153
2016,Residential,Space Cooling,Room,___,Electricity,Standard,TJ,585.7955450487183
2016,Residential,Space Cooling,___,___,District Cooling,___,TJ,81.12133104709069
2016,Residential,Space Heating,Furnace,___,Biomass,Standard,TJ,150.84038442700444
2016,Residential,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.2007384888670457
2016,Residential,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.1704498567450875
2016,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,581.610640665292
2016,Residential,Space Heating,Furnace,___,Natural Gas,High,TJ,38571.39552050259
2016,Residential,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12390.579005483623
2016,Residential,Space Heating,Furnace,___,Propane,Standard,TJ,0.19498742932195684
2016,Residential,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3920.538351939898
2016,Residential,Space Heating,Plinthe,___,Electricity,Standard,TJ,1973.6710689418294
2016,Residential,Space Heating,___,___,District Heating,___,TJ,76.74895287577036
2016,Residential,Water Heating,___,___,Biomass,Standard,TJ,4.896964513839711
2016,Residential,Water Heating,___,___,Wood Pellet,Standard,TJ,5.090192931864822
2016,Residential,Water Heating,___,___,District Heating,___,TJ,954.4849446366709
2016,Residential,Water Heating,___,___,Electricity,Standard,TJ,764.4694226261922
2016,Residential,Water Heating,___,___,Kerosene,Standard,TJ,4.92351103213191
2016,Residential,Water Heating,___,___,Light Fuel Oil,Standard,TJ,91.7528077755143
2016,Residential,Water Heating,___,___,Natural Gas,Standard,TJ,15642.743288809557
