regions,tech,life,life_notes
TO,PUBTRATHCROATRULGTHYBRDSL____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksHybridRenewable Diesel2023
TO,PUBTRATHCROATRULGTCONVDSL____16,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel2016
TO,PUBTRATHCROATRULGTCONVGAS____16,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline2016
TO,PUBTRAFLEROATRUMETCONVDSL____23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel2023
TO,PUBTRAFLEROATRUMETHYBDSL____23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksHybridDiesel2023
TO,PUBTRAFLEROATRUMETPHEVDSLBELCF_23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,PUBTRAFLEROATRUMETBEVBELCF____23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,PUBTRAFLEROATRUMETCONVGAS____23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline2023
TO,PUBTRAFLEROATRUMETCELLHH2____23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRAFLEROATRUMETCONVNGA____23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalNatural Gas2023
TO,PUBTRAFLEROATRUMETCONVPRO____23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalPropane2023
TO,PUBTRAFLEROATRUMETCONVRDSL____23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalRenewable Diesel2023
TO,PUBTRAFLEROATRUMETHYBRDSL____23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksHybridRenewable Diesel2023
TO,PUBTRAFLEROATRUMETPHEVRDSLBELCF_23,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023
TO,PUBTRAFLEROATRUMETCONVDSL____16,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel2016
