regions,periods,tech,minact,minact_units,minact_notes
TO,2021,PUBTRAPOLROACAR___CONVDSL____16,0,,
TO,2021,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2021,PUBTRAPOLROATRULGTCONVDSL____16,0.3,,
TO,2021,PUBTRAPOLROATRUMETCONVDSL____16,0.4,,
TO,2021,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2021,PUBTRATHCROACAR___CONVDSL____16,0,,
TO,2021,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2021,PUBTRATHCROATRULGTCONVDSL____16,0.2,,
TO,2021,PUBTRATHCROATRUMETCONVDSL____16,0.2,,
TO,2021,PUBTRAFLEROACAR___CONVGAS____16,1,,
TO,2021,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2021,PUBTRAFLEROATRULGTCONVGAS____16,15.3,,
TO,2021,PUBTRAFLEROATRUMETCONVGAS____16,0.9,,
TO,2021,PUBTRAPOLROACAR___CONVGAS____16,26,,
TO,2021,PUBTRAPOLROAMOR___CONVGAS____16,0.2,,
TO,2021,PUBTRAPOLROATRULGTCONVGAS____16,6.3,,
TO,2021,PUBTRAPOLROATRUMETCONVGAS____16,0,,
TO,2021,PUBTRATHCROACAR___CONVGAS____16,5.1,,
TO,2021,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2021,PUBTRATHCROATRULGTCONVGAS____16,1.2,,
TO,2021,PUBTRATHCROATRUMETCONVGAS____16,0.4,,
TO,2022,PUBTRAFLEROABUSURBCONVDSL____16,0,,
TO,2022,PUBTRAFLEROACAR___CONVDSL____16,0,,
TO,2022,PUBTRAFLEROATRUHETCONVDSL____16,10,,
TO,2022,PUBTRAFLEROATRULGTCONVDSL____16,8.7,,
TO,2022,PUBTRAFLEROATRUMETCONVDSL____16,3.3,,
TO,2022,PUBTRAPOLROABUSURBCONVDSL____16,0,,
TO,2022,PUBTRAPOLROACAR___CONVDSL____16,0,,
TO,2022,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2022,PUBTRAPOLROATRULGTCONVDSL____16,0.3,,
TO,2022,PUBTRAPOLROATRUMETCONVDSL____16,0.5,,
TO,2022,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2022,PUBTRATHCROACAR___CONVDSL____16,0,,
TO,2022,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2022,PUBTRATHCROATRULGTCONVDSL____16,0.2,,
TO,2022,PUBTRATHCROATRUMETCONVDSL____16,0.2,,
TO,2022,PUBTRAFLEROACAR___CONVGAS____16,1.1,,
TO,2022,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2022,PUBTRAFLEROATRULGTCONVGAS____16,16.6,,
TO,2022,PUBTRAFLEROATRUMETCONVGAS____16,1,,
TO,2022,PUBTRAPOLROACAR___CONVGAS____16,28.2,,
TO,2022,PUBTRAPOLROAMOR___CONVGAS____16,0.2,,
TO,2022,PUBTRAPOLROATRULGTCONVGAS____16,6.8,,
TO,2022,PUBTRAPOLROATRUMETCONVGAS____16,0,,
TO,2022,PUBTRATHCROACAR___CONVGAS____16,5.5,,
TO,2022,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2022,PUBTRATHCROATRULGTCONVGAS____16,1.3,,
TO,2022,PUBTRATHCROATRUMETCONVGAS____16,0.5,,
