regions,tech,c2a,c2a_notes
TO,PUBTRATHCROATRUMETHYBRDSL____23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksHybridRenewable Diesel2023
TO,PUBTRATHCROATRUMETPHEVRDSLBELCF_23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023
TO,PUBTRATHCROATRUMETCONVDSL____16,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel2016
TO,PUBTRATHCROATRUMETCONVGAS____16,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline2016
TO,PUBTRAPOLROATRUMETCONVDSL____23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel2023
TO,PUBTRAPOLROATRUMETHYBDSL____23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksHybridDiesel2023
TO,PUBTRAPOLROATRUMETPHEVDSLBELCF_23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,PUBTRAPOLROATRUMETBEVBELCF____23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,PUBTRAPOLROATRUMETCONVGAS____23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline2023
TO,PUBTRAPOLROATRUMETCELLHH2____23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRAPOLROATRUMETCONVNGA____23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalNatural Gas2023
TO,PUBTRAPOLROATRUMETCONVPRO____23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalPropane2023
TO,PUBTRAPOLROATRUMETCONVRDSL____23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalRenewable Diesel2023
TO,PUBTRAPOLROATRUMETHYBRDSL____23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksHybridRenewable Diesel2023
TO,PUBTRAPOLROATRUMETPHEVRDSLBELCF_23,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023
TO,PUBTRAPOLROATRUMETCONVDSL____16,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel2016
TO,PUBTRAPOLROATRUMETCONVGAS____16,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline2016
TO,PUBTRAPOLROACAR___CONVDSL____23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel2023
TO,PUBTRAPOLROACAR___HYBDSL____23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsHybridDiesel2023
TO,PUBTRAPOLROACAR___BEV320BELC____23,350.40000000000003,PublicTransportationPolice ServicesRoadCars320VElectricityBattery Electric Vehicle2023
TO,PUBTRAPOLROACAR___BEV480BELC____23,350.40000000000003,PublicTransportationPolice ServicesRoadCars480VElectricityBattery Electric Vehicle2023
TO,PUBTRAPOLROACAR___BEV640BELC____23,350.40000000000003,PublicTransportationPolice ServicesRoadCars640VElectricityBattery Electric Vehicle2023
TO,PUBTRAPOLROACAR___CONVGAS____23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline2023
TO,PUBTRAPOLROACAR___HYBGAS____23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsHybridGasoline2023
TO,PUBTRAPOLROACAR___PHEVGASBELC_23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsPlug Hybrid VehicleGasolineBattery Electric Vehicle2023
TO,PUBTRAPOLROACAR___CELLHH2____23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsFuel Cell VehicleHydrogen2023
TO,PUBTRAPOLROACAR___CONVNGABIF_23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalNatural GasBi Fuel2023
TO,PUBTRAPOLROACAR___CONVNGA____23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalNatural Gas2023
TO,PUBTRAPOLROACAR___CONVPROBIF_23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalPropaneBi Fuel2023
TO,PUBTRAPOLROACAR___CONVPRO____23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalPropane2023
TO,PUBTRAPOLROACAR___CONVRDSL____23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalRenewable Diesel2023
TO,PUBTRAPOLROACAR___HYBRDSL____23,350.40000000000003,PublicTransportationPolice ServicesRoadCarsHybridRenewable Diesel2023
TO,PUBTRAPOLROACAR___CONVDSL____16,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel2016
TO,PUBTRAPOLROACAR___CONVGAS____16,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline2016
TO,PUBTRAFLEROACAR___CONVDSL____23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalDiesel2023
TO,PUBTRAFLEROACAR___HYBDSL____23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsHybridDiesel2023
TO,PUBTRAFLEROACAR___BEV320BELC____23,350.40000000000003,PublicTransportationFleet ServicesRoadCars320VElectricityBattery Electric Vehicle2023
TO,PUBTRAFLEROACAR___BEV480BELC____23,350.40000000000003,PublicTransportationFleet ServicesRoadCars480VElectricityBattery Electric Vehicle2023
TO,PUBTRAFLEROACAR___BEV640BELC____23,350.40000000000003,PublicTransportationFleet ServicesRoadCars640VElectricityBattery Electric Vehicle2023
TO,PUBTRAFLEROACAR___CONVGAS____23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline2023
TO,PUBTRAFLEROACAR___HYBGAS____23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsHybridGasoline2023
TO,PUBTRAFLEROACAR___PHEVGASBELC_23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsPlug Hybrid VehicleGasolineBattery Electric Vehicle2023
TO,PUBTRAFLEROACAR___CELLHH2____23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsFuel Cell VehicleHydrogen2023
