regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2021,PUBTRAFLEROACAR___CONVGAS____16,0.139592273,,
TO,2021,PUBTRAFLEROAMOR___CONVGAS____16,1.29E-05,,
TO,2021,PUBTRAFLEROATRULGTCONVGAS____16,0.538100762,,
TO,2021,PUBTRAFLEROATRUMETCONVGAS____16,0.101690971,,
TO,2021,PUBTRAPOLROACAR___CONVGAS____16,0.574693816,,
TO,2021,PUBTRAPOLROAMOR___CONVGAS____16,0.000582051,,
TO,2021,PUBTRAPOLROATRULGTCONVGAS____16,0.191226409,,
TO,2021,PUBTRAPOLROATRUMETCONVGAS____16,0.000222481,,
TO,2021,PUBTRATHCROACAR___CONVGAS____16,0.032296542,,
TO,2021,PUBTRATHCROAMOR___CONVGAS____16,1.29E-05,,
TO,2021,PUBTRATHCROATRULGTCONVGAS____16,0.022376798,,
TO,2021,PUBTRATHCROATRUMETCONVGAS____16,0.009865897,,
TO,2022,PUBTRAFLEROABUSURBCONVDSL____16,1.79E-05,,
TO,2022,PUBTRAFLEROACAR___CONVDSL____16,0.001488327,,
TO,2022,PUBTRAFLEROATRUHETCONVDSL____16,0.454367148,,
TO,2022,PUBTRAFLEROATRULGTCONVDSL____16,0.314185076,,
TO,2022,PUBTRAFLEROATRUMETCONVDSL____16,0.352269733,,
TO,2022,PUBTRAPOLROABUSURBCONVDSL____16,0.000960118,,
TO,2022,PUBTRAPOLROACAR___CONVDSL____16,0.007559728,,
TO,2022,PUBTRAPOLROATRUHETCONVDSL____16,1.17E-05,,
TO,2022,PUBTRAPOLROATRULGTCONVDSL____16,0.012509768,,
TO,2022,PUBTRAPOLROATRUMETCONVDSL____16,0.011794078,,
TO,2022,PUBTRATHCROABUSURBCONVDSL____16,1.79E-05,,
TO,2022,PUBTRATHCROACAR___CONVDSL____16,0.000381404,,
TO,2022,PUBTRATHCROATRUHETCONVDSL____16,1.17E-05,,
TO,2022,PUBTRATHCROATRULGTCONVDSL____16,0.004389451,,
TO,2022,PUBTRATHCROATRUMETCONVDSL____16,0.004734713,,
TO,2022,PUBTRAFLEROACAR___CONVGAS____16,0.151206818,,
TO,2022,PUBTRAFLEROAMOR___CONVGAS____16,1.48E-05,,
TO,2022,PUBTRAFLEROATRULGTCONVGAS____16,0.579743046,,
TO,2022,PUBTRAFLEROATRUMETCONVGAS____16,0.117368851,,
TO,2022,PUBTRAPOLROACAR___CONVGAS____16,0.621708034,,
TO,2022,PUBTRAPOLROAMOR___CONVGAS____16,0.00059162,,
TO,2022,PUBTRAPOLROATRULGTCONVGAS____16,0.206349244,,
TO,2022,PUBTRAPOLROATRUMETCONVGAS____16,0.000259076,,
TO,2022,PUBTRATHCROACAR___CONVGAS____16,0.034796119,,
TO,2022,PUBTRATHCROAMOR___CONVGAS____16,1.48E-05,,
TO,2022,PUBTRATHCROATRULGTCONVGAS____16,0.023840347,,
TO,2022,PUBTRATHCROATRUMETCONVGAS____16,0.011789344,,
