tech,flag,sector,tech_desc,tech_category
PUBTRAPOLROATRUMETHYBDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksHybridDiesel2023,
PUBTRAPOLROATRUMETBEVBELCF____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023,
PUBTRAPOLROATRUMETCONVGAS____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline2023,
PUBTRAPOLROATRUMETCELLHH2____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023,
PUBTRAPOLROATRUMETCONVPRO____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalPropane2023,
PUBTRAPOLROATRUMETCONVDSL____16,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel2016,
PUBTRAPOLROATRUMETCONVGAS____16,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline2016,
PUBTRAPOLROACAR___CONVDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel2023,
PUBTRAPOLROACAR___HYBDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsHybridDiesel2023,
PUBTRAPOLROACAR___BEV320BELC____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCars320VElectricityBattery Electric Vehicle2023,
PUBTRAPOLROACAR___BEV480BELC____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCars480VElectricityBattery Electric Vehicle2023,
PUBTRAPOLROACAR___BEV640BELC____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCars640VElectricityBattery Electric Vehicle2023,
PUBTRAPOLROACAR___CONVGAS____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline2023,
PUBTRAPOLROACAR___HYBGAS____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsHybridGasoline2023,
PUBTRAPOLROACAR___CELLHH2____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsFuel Cell VehicleHydrogen2023,
PUBTRAPOLROACAR___CONVPROBIF_23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalPropaneBi Fuel2023,
PUBTRAPOLROACAR___CONVPRO____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalPropane2023,
PUBTRAPOLROACAR___CONVDSL____16,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel2016,
PUBTRAPOLROACAR___CONVGAS____16,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline2016,
PUBTRAFLEROACAR___CONVDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsConventionnalDiesel2023,
PUBTRAFLEROACAR___HYBDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsHybridDiesel2023,
PUBTRAFLEROACAR___BEV320BELC____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCars320VElectricityBattery Electric Vehicle2023,
PUBTRAFLEROACAR___BEV480BELC____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCars480VElectricityBattery Electric Vehicle2023,
PUBTRAFLEROACAR___BEV640BELC____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCars640VElectricityBattery Electric Vehicle2023,
PUBTRAFLEROACAR___CONVGAS____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline2023,
PUBTRAFLEROACAR___HYBGAS____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsHybridGasoline2023,
PUBTRAFLEROACAR___CELLHH2____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsFuel Cell VehicleHydrogen2023,
PUBTRAFLEROACAR___CONVPROBIF_23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsConventionnalPropaneBi Fuel2023,
PUBTRAFLEROACAR___CONVPRO____23,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsConventionnalPropane2023,
PUBTRAFLEROACAR___CONVDSL____16,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsConventionnalDiesel2016,
PUBTRAFLEROACAR___CONVGAS____16,p,PUBTRA,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline2016,
PUBTRATHCROACAR___CONVDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsConventionnalDiesel2023,
PUBTRATHCROACAR___HYBDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsHybridDiesel2023,
PUBTRATHCROACAR___BEV320BELC____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCars320VElectricityBattery Electric Vehicle2023,
PUBTRATHCROACAR___BEV480BELC____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCars480VElectricityBattery Electric Vehicle2023,
PUBTRATHCROACAR___BEV640BELC____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCars640VElectricityBattery Electric Vehicle2023,
PUBTRATHCROACAR___CONVGAS____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline2023,
PUBTRATHCROACAR___HYBGAS____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsHybridGasoline2023,
PUBTRATHCROACAR___CELLHH2____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsFuel Cell VehicleHydrogen2023,
PUBTRATHCROACAR___CONVPROBIF_23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsConventionnalPropaneBi Fuel2023,
PUBTRATHCROACAR___CONVPRO____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsConventionnalPropane2023,
PUBTRATHCROACAR___CONVDSL____16,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsConventionnalDiesel2016,
PUBTRATHCROACAR___CONVGAS____16,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline2016,
PUBTRAPOLROAMOR___BEVBELC____23,p,PUBTRA,PublicTransportationPolice ServicesRoadMotorcyclesBattery Electric VehicleBattery Electric Vehicle2023,
PUBTRAPOLROAMOR___CONVGAS____23,p,PUBTRA,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline2023,
PUBTRAPOLROAMOR___CONVGAS____16,p,PUBTRA,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline2016,
PUBTRAFLEROAMOR___BEVBELC____23,p,PUBTRA,PublicTransportationFleet ServicesRoadMotorcyclesBattery Electric VehicleBattery Electric Vehicle2023,
PUBTRAFLEROAMOR___CONVGAS____23,p,PUBTRA,PublicTransportationFleet ServicesRoadMotorcyclesConventionnalGasoline2023,
PUBTRAFLEROAMOR___CONVGAS____16,p,PUBTRA,PublicTransportationFleet ServicesRoadMotorcyclesConventionnalGasoline2016,
PUBTRATHCROAMOR___BEVBELC____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadMotorcyclesBattery Electric VehicleBattery Electric Vehicle2023,
PUBTRATHCROAMOR___CONVGAS____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadMotorcyclesConventionnalGasoline2023,
PUBTRATHCROAMOR___CONVGAS____16,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadMotorcyclesConventionnalGasoline2016,
PUBTRAPOLROABUSURBCONVDSL____16,p,PUBTRA,PublicTransportationPolice ServicesRoadInter-city BusesUrban Bus ConventionnalDiesel2016,
PUBTRAFLEROABUSURBCONVDSL____16,p,PUBTRA,PublicTransportationFleet ServicesRoadInter-city BusesUrban Bus ConventionnalDiesel2016,
